CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORP,1011273,48173,176.37M,8.4M,+5%,8%
65339F101,NEE,NEXTERA ENERGY INC,82450,82450,7.66M,7.66M,NEW,0.35%
194162103,CL,COLGATE-PALMOLIVE CO,117562,85621,10.02M,7.3M,+268.1%,0.46%
291011104,EMR,EMERSON ELECTRIC CO,75781,52658,9.93M,6.9M,+227.7%,0.45%
872540109,TJX,TJX COMPANIES INC,83059,38694,13.26M,6.18M,+87.2%,0.6%
11135F101,AVGO,BROADCOM INC,197470,19663,61.12M,6.09M,+11.1%,2.8%
23804L103,DDOG,DATADOG INC - CLASS A,60266,47146,7.11M,5.57M,+359.3%,0.32%
651639106,NEM,NEWMONT CORP,95411,50030,10.33M,5.42M,+110.2%,0.47%
518439104,EL,ESTEE LAUDER COMPANIES-CL A,63484,52774,4.56M,3.79M,+492.8%,0.21%
83444M101,SOLV,SOLVENTUM CORP,51485,51485,3.36M,3.36M,NEW,0.15%
75513E101,RTX,RTX CORP,82543,14224,15.92M,2.74M,+20.8%,0.72%
55024U109,LITE,LUMENTUM HOLDINGS INC,2852,2852,2M,2M,NEW,0.09%
21037T109,CEG,CONSTELLATION ENERGY,28501,7175,7.96M,2M,+33.6%,0.36%
023135106,AMZN,AMAZON.COM INC,419474,9374,87.36M,1.95M,+2.3%,4%
19247G107,COHR,COHERENT CORP,7805,7805,1.86M,1.86M,NEW,0.08%
74743L100,Q,QNITY ELECTRONICS INC,14498,14498,1.67M,1.67M,NEW,0.08%
594918104,MSFT,MICROSOFT CORP,301310,4074,111.54M,1.51M,+1.4%,5.1%
231561101,CW,CURTISS-WRIGHT CORP,2126,2126,1.45M,1.45M,NEW,0.07%
74834L100,DGX,QUEST DIAGNOSTICS INC,7136,7136,1.4M,1.4M,NEW,0.06%
969904101,WSM,WILLIAMS-SONOMA INC,6237,6237,1.14M,1.14M,NEW,0.05%
87612G101,TRGP,TARGA RESOURCES CORP,37483,4236,9.4M,1.06M,+12.7%,0.43%
237194105,DRI,DARDEN RESTAURANTS INC,5405,5405,1.06M,1.06M,NEW,0.05%
460146103,IP,INTERNATIONAL PAPER CO,29637,29637,1.06M,1.06M,NEW,0.05%
171340102,CHD,CHURCH & DWIGHT CO INC,10885,10885,1.02M,1.02M,NEW,0.05%
281020107,EIX,EDISON INTERNATIONAL,52913,13879,3.87M,1.02M,+35.6%,0.18%
816851109,SRE,SEMPRA,39722,10371,3.86M,1.01M,+35.3%,0.18%
697435105,PANW,PALO ALTO NETWORKS INC,33258,6152,5.33M,986.29K,+22.7%,0.24%
75734B100,RDDT,REDDIT INC-CL A,12460,7021,1.68M,945.38K,+129.1%,0.08%
05722G100,BKR,BAKER HUGHES CO,153502,15342,9.37M,936.63K,+11.1%,0.43%
29364G103,ETR,ENTERGY CORP,31034,8211,3.49M,922.59K,+36%,0.16%
98980G102,ZS,ZSCALER INC,11442,6206,1.61M,870.64K,+118.5%,0.07%
493267108,KEY,KEYCORP,42579,42579,853.71K,853.71K,NEW,0.04%
30161N101,EXC,EXELON CORP,65226,17298,3.2M,847.95K,+36.1%,0.15%
00217D100,ASTS,AST SPACEMOBILE INC,9185,9185,761.16K,761.16K,NEW,0.03%
16411R208,LNG,CHENIERE ENERGY INC,33170,2555,9.41M,725.01K,+8.3%,0.43%
02079K305,GOOGL,ALPHABET INC-CL A,232989,2439,67M,701.36K,+1.1%,3%
30303M102,META,META PLATFORMS INC-CLASS A,87204,1207,49.89M,690.56K,+1.4%,2.3%
278768106,SATS,ECHOSTAR CORP-A,5876,5876,687.9K,687.9K,NEW,0.03%
744573106,PEG,PUBLIC SERVICE ENTERPRISE GP,31512,8406,2.55M,680.47K,+36.4%,0.12%
209115104,ED,CONSOLIDATED EDISON INC,23130,5871,2.62M,664.48K,+34%,0.12%
98980L101,ZM,ZOOM COMMUNICATIONS INC,22102,8244,1.78M,662.74K,+59.5%,0.08%
21873S108,CRWV,COREWEAVE INC-CL A,21832,8490,1.69M,657.72K,+63.6%,0.08%
69331C108,PCG,P G & E CORP,138159,37039,2.43M,650.78K,+36.6%,0.11%
049560105,ATO,ATMOS ENERGY CORP,11839,3229,2.19M,596.46K,+37.5%,0.1%
30040W108,ES,EVERSOURCE ENERGY,26597,7668,1.84M,531.24K,+40.5%,0.08%
941848103,WAT,WATERS CORP,5232,1624,1.56M,483.63K,+45%,0.07%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE,83189,20083,1.98M,478.18K,+31.8%,0.09%
030420103,AWK,AMERICAN WATER WORKS CO INC,13068,3420,1.78M,465.43K,+35.4%,0.08%
98138H101,WDAY,WORKDAY INC-CLASS A,12760,3454,1.66M,448.74K,+37.1%,0.08%
316773100,FITB,FIFTH THIRD BANCORP,37006,9334,1.72M,433.66K,+33.7%,0.08%
35137L204,FOX,FOX CORP - CLASS B,19979,8106,1.06M,430.43K,+68.3%,0.05%
88160R101,TSLA,TESLA INC,113174,1154,42.07M,429K,+1%,1.9%
192446102,CTSH,COGNIZANT TECH SOLUTIONS-A,28335,6528,1.74M,400.49K,+29.9%,0.08%
682189105,ON,ON SEMICONDUCTOR,27833,6332,1.72M,392.08K,+29.4%,0.08%
776696106,ROP,ROPER TECHNOLOGIES INC,5622,1026,1.99M,363.06K,+22.3%,0.09%
466313103,JBL,JABIL INC,6910,1339,1.84M,355.68K,+24%,0.08%
478160104,JNJ,JOHNSON & JOHNSON,131317,1435,32.1M,350.77K,+1.1%,1.5%
594972408,MSTR,STRATEGY INC,13746,2637,1.72M,329.1K,+23.7%,0.08%
02079K107,GOOG,ALPHABET INC-CL C,194817,1127,55.89M,323.29K,+0.6%,2.5%
