CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
443628102,HBM,HUDBAY MINERALS INC,15885729,1350000,333.2M,28.32M,+9.3%,10%
75513E101,RTX,RTX CORPORATION,128000,128000,24.69M,24.69M,NEW,0.74%
666807102,NOC,NORTHROP GRUMMAN CORP,35500,35500,24.22M,24.22M,NEW,0.73%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,70000,70000,24.16M,24.16M,NEW,0.73%
539830109,LMT,LOCKHEED MARTIN CORP,39000,39000,23.57M,23.57M,NEW,0.71%
651639106,NEM,NEWMONT CORP,190000,190000,20.57M,20.57M,NEW,0.62%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,41349,41349,16.14M,16.14M,NEW,0.48%
35137L204,FOX,FOX CORP,1014096,261470,53.85M,13.88M,+34.7%,1.6%
46090E103,QQQ,INVESCO QQQ TR,1277709,0,737.47M,0,NO CHANGE,22.1%
553368101,MP,MP MATERIALS CORP,14861212,0,717.2M,0,NO CHANGE,21.5%
878742204,TECK,TECK RESOURCES LTD,10298293,0,532.94M,0,NO CHANGE,16%
65340P106,NXE,NEXGEN ENERGY LTD,9078245,0,105.5M,0,NO CHANGE,3.2%
78464A847,SPMD,SPDR SERIES TRUST,1410470,0,83.53M,0,NO CHANGE,2.5%
023135106,AMZN,AMAZON COM INC,351000,0,73.1M,0,NO CHANGE,2.2%
37954Y632,AIQ,GLOBAL X FDS,1494534,0,69.75M,0,NO CHANGE,2.1%
30303M102,META,META PLATFORMS INC,108000,0,61.79M,0,NO CHANGE,1.9%
594918104,MSFT,MICROSOFT CORP,159000,0,58.86M,0,NO CHANGE,1.8%
02079K305,GOOGL,ALPHABET INC,200000,0,57.51M,0,NO CHANGE,1.7%
46435U556,ARTY,ISHARES TR,1055190,0,49.1M,0,NO CHANGE,1.5%
11135F101,AVGO,BROADCOM INC,140000,0,43.33M,0,NO CHANGE,1.3%
67066G104,NVDA,NVIDIA CORPORATION,226790,0,39.55M,0,NO CHANGE,1.2%
26884L109,EQT,EQT CORP,606502,0,38.6M,0,NO CHANGE,1.2%
00214Q203,ARKQ,ARK ETF TR,252500,0,28.39M,0,NO CHANGE,0.85%
165167735,EXE,EXPAND ENERGY CORPORATION,171804,0,18.86M,0,NO CHANGE,0.57%
64110L106,NFLX,NETFLIX INC.,194000,0,18.65M,0,NO CHANGE,0.56%
03674X106,AR,ANTERO RESOURCES CORP,427643,0,18.15M,0,NO CHANGE,0.55%
78468R853,SPSM,SPDR SERIES TRUST,342840,0,16.57M,0,NO CHANGE,0.5%
24703L202,DELL,DELL TECHNOLOGIES INC,76890,0,12.62M,0,NO CHANGE,0.38%
97717Y543,WTAI,WISDOMTREE TR,274505,0,7.75M,0,NO CHANGE,0.23%
88160R101,TSLA,TESLA INC,20837,0,7.75M,0,NO CHANGE,0.23%
25400Q105,DJT,TRUMP MEDIA & TECHNOLOGY GRO,430000,0,3.99M,0,NO CHANGE,0.12%
301505731,THNQ,EXCHANGE TRADED CONCEPTS TRU,49756,0,2.94M,0,NO CHANGE,0.09%
37954Y715,BOTZ,GLOBAL X FDS,45766,0,1.52M,0,NO CHANGE,0.05%
301505707,ROBO,EXCHANGE TRADED CONCEPTS TRU,21793,0,1.49M,0,NO CHANGE,0.04%
33738R720,ROBT,FIRST TR EXCHANGE TRADED FD,27460,0,1.27M,0,NO CHANGE,0.04%
85208P600,NIKL,SPROTT FDS TR,70000,0,1.12M,0,NO CHANGE,0.03%
833635105,SQM,SOCIEDAD QUIMICA Y MINERA DE,0,-610100,0,-41.97M,CLOSE,0%
Total,,,,,3.33B,133.58M,+4.1%,100%
