CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88160R101,TSLA,TESLA INC,1016725,48743,377.97M,18.12M,+5%,51.9%
25460G286,TSLL,DIREXION SHARES ETF TRUST,2387379,698977,29.01M,8.49M,+41.4%,4%
389930207,BTC,GRAYSCALE BITCOIN MINI TR ET,850614,43318,25.51M,1.3M,+5.4%,3.5%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,172279,3517,25.2M,514.47K,+2.1%,3.5%
19260Q107,COIN,COINBASE GLOBAL INC,128591,2786,22.45M,486.46K,+2.2%,3.1%
38964R203,ETH,GRAYSCALE ETHEREUM STAKING,747550,16809,14.85M,333.83K,+2.3%,2%
718546104,PSX,PHILLIPS 66,1197,1197,218.07K,218.07K,NEW,0.03%
94106L109,WM,WASTE MGMT INC DEL,910,910,209.11K,209.11K,NEW,0.03%
921932885,IVOO,VANGUARD ADMIRAL FDS INC,1770,1770,202.35K,202.35K,NEW,0.03%
53656G191,XXRP,LISTED FDS TR,67618,47578,259.65K,182.7K,+237.4%,0.04%
33939L845,QDEF,FLEXSHARES TR,72178,1551,5.76M,123.8K,+2.2%,0.79%
29287L205,PWRD,TCW ETF TRUST,18629,1234,1.82M,120.64K,+7.1%,0.25%
09175A206,BMNR,BITMINE IMMERSION TECNOLOGIE,19530,4460,386.31K,88.22K,+29.6%,0.05%
922908629,VO,VANGUARD INDEX FDS,2694,291,773.74K,83.58K,+12.1%,0.11%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,52534,1405,2.92M,78.01K,+2.7%,0.4%
594918104,MSFT,MICROSOFT CORP,32651,169,12.09M,62.56K,+0.5%,1.7%
88340C685,BMNG,THEMES ETF TR,619699,50154,749.84K,60.69K,+8.8%,0.1%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,26827,1030,1.52M,58.38K,+4%,0.21%
922908637,VV,VANGUARD INDEX FDS,5196,178,1.55M,53.2K,+3.5%,0.21%
921909768,VXUS,VANGUARD STAR FDS,10584,671,816.19K,51.74K,+6.8%,0.11%
464287432,TLT,ISHARES TR,5115,455,443.42K,39.44K,+9.8%,0.06%
22160K105,COST,COSTCO WHOLESALE CORPORATION,1474,35,1.47M,34.86K,+2.4%,0.2%
922908751,VB,VANGUARD INDEX FDS,1507,131,394.73K,34.31K,+9.5%,0.05%
92647N527,UITB,VICTORY PORTFOLIOS II,116813,721,5.49M,33.9K,+0.6%,0.75%
922042858,VWO,VANGUARD INTL EQUITY INDEX F,8728,529,471.71K,28.59K,+6.5%,0.06%
921937835,BND,VANGUARD BD INDEX FDS,30824,286,2.27M,21.06K,+0.9%,0.31%
97717X594,IHDG,WISDOMTREE TR,21420,404,1.03M,19.45K,+1.9%,0.14%
