CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,400000,200000,83.31M,41.65M,+100%,4.5%
02079K305,GOOGL,ALPHABET INC,1400000,100000,402.58M,28.76M,+7.7%,21.9%
46090E103,QQQ,INVESCO QQQ TR,2200000,0,1.27B,0,NO CHANGE,69.1%
747525103,QCOM,QUALCOMM INC,100000,0,12.88M,0,NO CHANGE,0.7%
98944F109,ZEO,ZEO ENERGY CORP,37249,0,21.38K,0,NO CHANGE,<.01%
00130H105,AES,AES CORP,0,-300000,0,-4.3M,CLOSE,0%
60770K107,MRNA,MODERNA INC,0,-300000,0,-8.85M,CLOSE,0%
458140100,INTC,INTEL CORP,0,-500000,0,-18.45M,CLOSE,0%
21873S108,CRWV,COREWEAVE INC,0,-400000,0,-28.64M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,400000,-600000,69.76M,-104.64M,-60%,3.8%
Total,,,,,1.84B,-94.47M,-4.6%,100%
