CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
146869102,CVNA,CARVANA CO,775000,637500,51.01M,41.96M,+463.6%,13.7%
24703L202,DELL,DELL TECHNOLOGIES INC,90000,90000,38.83M,38.83M,NEW,10.4%
458140100,INTC,INTEL CORP,250000,250000,34.91M,34.91M,NEW,9.4%
80004C200,SNDK,SANDISK CORP,9000,9000,20.46M,20.46M,NEW,5.5%
N97284108,NBIS,NEBIUS GROUP N.V.,65000,65000,17.95M,17.95M,NEW,4.8%
G39387108,GFS,GLOBALFOUNDRIES INC,200000,200000,16.48M,16.48M,NEW,4.4%
882508104,TXN,TEXAS INSTRS INC,55000,55000,16.39M,16.39M,NEW,4.4%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,55000,55000,8.64M,8.64M,NEW,2.3%
81141R100,SE,SEA LTD,75000,75000,7.19M,7.19M,NEW,1.9%
17253J106,CIFR,CIPHER DIGITAL INC,125000,125000,3.06M,3.06M,NEW,0.82%
35137L105,FOXA,FOX CORP,40000,40000,2.09M,2.09M,NEW,0.56%
03831W108,APP,APPLOVIN CORP,95000,0,48.95M,0,NO CHANGE,13.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,25000,0,11.94M,0,NO CHANGE,3.2%
01609W102,BABA,ALIBABA GROUP HLDG LTD,75000,-75000,7.2M,-7.2M,-50%,1.9%
02079K305,GOOGL,ALPHABET INC,90000,-22500,32.16M,-8.04M,-20%,8.6%
032654105,ADI,ANALOG DEVICES INC,0,-40000,0,-12.73M,CLOSE,0%
58733R102,MELI,MERCADOLIBRE INC,10000,-7500,16.97M,-12.73M,-42.9%,4.5%
038222105,AMAT,APPLIED MATLS INC,15000,-20000,10.85M,-14.46M,-57.1%,2.9%
023135106,AMZN,AMAZON COM INC,0,-125000,0,-26.03M,CLOSE,0%
30303M102,META,META PLATFORMS INC,50000,-55000,28.16M,-30.98M,-52.4%,7.5%
Total,,,,,373.24M,95.79M,+34%,100%
