CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,295573,226708,59.14M,45.36M,+329.2%,13.4%
92189F676,SMH,VANECK ETF TRUST,63911,63911,41.92M,41.92M,NEW,9.5%
11135F101,AVGO,BROADCOM INC,104941,104141,39.64M,39.34M,+13017.6%,9%
594918104,MSFT,MICROSOFT CORP,129673,86003,48.37M,32.08M,+196.9%,11%
500767306,KWEB,KRANESHARES TRUST,1184601,1184601,28.99M,28.99M,NEW,6.6%
46434G822,EWJ,ISHARES INC,203245,203245,18.96M,18.96M,NEW,4.3%
02079K107,GOOG,ALPHABET INC,53147,53147,18.78M,18.78M,NEW,4.3%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,108609,108309,12.67M,12.64M,+36103%,2.9%
717081103,PFE,PFIZER INC,465783,465783,11.22M,11.22M,NEW,2.5%
78463V107,GLD,SPDR GOLD TR,70240,30000,25.88M,11.05M,+74.6%,5.9%
654106103,NKE,NIKE INC,310138,221292,12.73M,9.08M,+249.1%,2.9%
052769106,ADSK,AUTODESK INC,57099,44078,11.1M,8.57M,+338.5%,2.5%
037833100,AAPL,APPLE INC,19536,16059,5.65M,4.65M,+461.9%,1.3%
92343V104,VZ,VERIZON COMMUNICATIONS INC,99866,99866,4.23M,4.23M,NEW,0.96%
30303M102,META,META PLATFORMS INC,62964,7381,35.47M,4.16M,+13.3%,8%
20825C104,COP,CONOCOPHILLIPS,35703,35703,3.71M,3.71M,NEW,0.84%
68389X105,ORCL,ORACLE CORP,64819,14905,9.5M,2.18M,+29.9%,2.2%
983134107,WYNN,WYNN RESORTS LTD,2446,2379,237.48K,230.98K,+3550.7%,0.05%
032654105,ADI,ANALOG DEVICES INC,270,270,107.24K,107.24K,NEW,0.02%
30231G102,XOM,EXXON MOBIL CORP,59100,0,8.08M,0,NO CHANGE,1.8%
949746101,WFC,WELLS FARGO & CO,56002,-660,4.63M,-54.54K,-1.2%,1%
17275R102,CSCO,CISCO SYS INC,0,-981,0,-76.12K,CLOSE,0%
009066101,ABNB,AIRBNB INC,0,-912,0,-115.17K,CLOSE,0%
09857L108,BKNG,BOOKING HOLDINGS INC,0,-77,0,-324.19K,CLOSE,0%
172967424,C,CITIGROUP INC,0,-5801,0,-657.89K,CLOSE,0%
855244109,SBUX,STARBUCKS CORP,0,-18416,0,-1.65M,CLOSE,0%
747525103,QCOM,QUALCOMM INC,0,-13588,0,-1.75M,CLOSE,0%
40434L105,HPQ,HP INC,0,-135699,0,-2.61M,CLOSE,0%
79466L302,CRM,SALESFORCE INC,5005,-16948,784.08K,-2.66M,-77.2%,0.18%
00724F101,ADBE,ADOBE INC,0,-11247,0,-2.73M,CLOSE,0%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,0,-6192,0,-2.97M,CLOSE,0%
375558103,GILD,GILEAD SCIENCES INC,38365,-24800,4.85M,-3.13M,-39.3%,1.1%
46625H100,JPM,JPMORGAN CHASE & CO,0,-12329,0,-3.63M,CLOSE,0%
060505104,BAC,BANK AMERICA CORP,0,-80759,0,-3.94M,CLOSE,0%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,1894,-12499,601.4K,-3.97M,-86.8%,0.14%
91324P102,UNH,UNITEDHEALTH GROUP INC,0,-16470,0,-4.46M,CLOSE,0%
88160R101,TSLA,TESLA INC,2859,-33792,1.2M,-14.21M,-92.2%,0.27%
532457108,LLY,ELI LILLY & CO,0,-15873,0,-14.6M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-93463,0,-19.01M,CLOSE,0%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,0,-114525,0,-27.76M,CLOSE,0%
882508104,TXN,TEXAS INSTRS INC,52414,-95737,15.62M,-28.54M,-64.6%,3.5%
023135106,AMZN,AMAZON COM INC,71982,-123695,17.16M,-29.48M,-63.2%,3.9%
Total,,,,,441.22M,128.93M,+43.8%,100%
