CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
722304102,PDD,PDD HOLDINGS INC,327700,327700,25M,25M,NEW,13.3%
47215P106,JD,JD.COM INC,509900,509900,12.99M,12.99M,NEW,6.9%
01609W102,BABA,ALIBABA GROUP HLDG LTD,132236,126536,12.69M,12.14M,+2219.9%,6.8%
747525103,QCOM,QUALCOMM INC,57990,57990,10.72M,10.72M,NEW,5.7%
056752108,BIDU,BAIDU INC,156308,91750,17.86M,10.49M,+142.1%,9.5%
N97284108,NBIS,NEBIUS GROUP N.V.,33362,33362,9.21M,9.21M,NEW,4.9%
852312305,STAA,STAAR SURGICAL CO,542420,274336,15.56M,7.87M,+102.3%,8.3%
21873S108,CRWV,COREWEAVE INC,69661,69661,6.93M,6.93M,NEW,3.7%
15675D103,CBRS,CEREBRAS SYSTEMS INC,26900,26900,5.94M,5.94M,NEW,3.2%
654902204,NOK,NOKIA CORP,413500,413500,5.49M,5.49M,NEW,2.9%
90138A103,VNET,VNET GROUP INC,1026500,412100,8.25M,3.31M,+67.1%,4.4%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,17800,4395,8.5M,2.1M,+32.8%,4.5%
172573107,CRCL,CIRCLE INTERNET GROUP INC,7400,7400,463.46K,463.46K,NEW,0.25%
89677Q107,TCOM,TRIP COM GROUP LTD,101800,7010,4.06M,279.28K,+7.4%,2.2%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,301984,6300,9.6M,200.34K,+2.1%,5.1%
67066G104,NVDA,NVIDIA CORPORATION,34200,-5525,6.84M,-1.11M,-13.9%,3.6%
871607107,SNPS,SYNOPSYS INC,0,-5728,0,-2.27M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-4020,0,-2.3M,CLOSE,0%
750917106,RMBS,RAMBUS INC DEL,0,-49578,0,-4.27M,CLOSE,0%
36165L108,GDS,GDS HLDGS LTD,0,-106200,0,-4.28M,CLOSE,0%
880770102,TER,TERADYNE INC,0,-15500,0,-4.6M,CLOSE,0%
36118L106,FUTU,FUTU HLDGS LTD,0,-33767,0,-4.62M,CLOSE,0%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,0,-81500,0,-6.99M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,0,-36321,0,-25.52M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,7600,-48300,4.41M,-28.06M,-86.4%,2.4%
80004C200,SNDK,SANDISK CORP,7400,-13740,16.83M,-31.24M,-65%,9%
595112103,MU,MICRON TECHNOLOGY INC,5300,-32084,6.12M,-37.03M,-85.8%,3.3%
Total,,,,,187.48M,-39.14M,-28.5%,100%
