CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287614,IWF,ISHARES TR,16021,11278,1.99M,1.4M,+237.8%,0.96%
46429B663,HDV,ISHARES TR,61677,47864,1.69M,1.31M,+346.5%,0.81%
92537N108,VRT,VERTIV HOLDINGS CO,1430,1430,478.79K,478.79K,NEW,0.23%
09857L108,BKNG,BOOKING HOLDINGS INC,2150,2049,383.22K,365.21K,+2028.7%,0.18%
833445109,SNOW,SNOWFLAKE INC,880,880,223.96K,223.96K,NEW,0.11%
824348106,SHW,SHERWIN WILLIAMS CO,615,615,211.76K,211.76K,NEW,0.1%
74348A467,NOBL,PROSHARES TR,6356,3183,356.98K,178.77K,+100.3%,0.17%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,20190,2885,1.14M,162.95K,+16.7%,0.55%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,26463,2429,1.63M,149.29K,+10.1%,0.78%
617446448,MS,MORGAN STANLEY,2950,165,616.67K,34.49K,+5.9%,0.3%
33738D812,TDVI,FIRST TR EXCHANGE-TRADED FD,12010,426,381.44K,13.53K,+3.7%,0.18%
33738D879,RDVI,FIRST TR EXCHANGE-TRADED FD,13544,417,398.2K,12.26K,+3.2%,0.19%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,1458,15,1.09M,11.2K,+1%,0.52%
92189F486,FLTR,VANECK ETF TRUST,24758,40,634.07K,1.02K,+0.2%,0.31%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,1823,4,387.98K,851.29,+0.2%,0.19%
464287622,IWB,ISHARES TR,922,2,377.81K,819.55,+0.2%,0.18%
46138E362,SPHD,INVESCO EXCH TRADED FD TR II,4180,16,212.51K,813.44,+0.4%,0.1%
464287200,IVV,ISHARES TR,362,1,271.69K,750.53,+0.3%,0.13%
464288836,IHE,ISHARES TR,3454,7,342.04K,693.19,+0.2%,0.16%
464287671,IUSG,ISHARES TR,2412,3,453.72K,564.33,+0.1%,0.22%
464287226,AGG,ISHARES TR,2585,4,255.89K,395.96,+0.2%,0.12%
464289438,IWY,ISHARES TR,1272,1,369.78K,290.71,+0.1%,0.18%
464289446,IWL,ISHARES TR,3160,1,584.55K,184.98,+0%,0.28%
33738R506,RDVY,FIRST TR EXCHANGE TRADED FD,4113,1,333.43K,81.07,+0%,0.16%
02079K107,GOOG,ALPHABET INC,5617,0,1.98M,0,NO CHANGE,0.95%
N07059210,ASML,ASML HLDG NV,838,0,1.67M,0,NO CHANGE,0.8%
880770102,TER,TERADYNE INC,3301,0,1.6M,0,NO CHANGE,0.77%
464287655,IWM,ISHARES TR,4259,0,1.28M,0,NO CHANGE,0.62%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,2340,0,1.12M,0,NO CHANGE,0.54%
842587107,SO,SOUTHERN CO,11423,0,1.09M,0,NO CHANGE,0.53%
025816109,AXP,AMERICAN EXPRESS CO,2616,0,884.86K,0,NO CHANGE,0.43%
007903107,AMD,ADVANCED MICRO DEVICES INC,1182,0,686.63K,0,NO CHANGE,0.33%
863667101,SYK,STRYKER CORPORATION,1770,0,557.27K,0,NO CHANGE,0.27%
78468R721,TFI,SPDR SERIES TRUST,11750,0,538.15K,0,NO CHANGE,0.26%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,1275,0,446.34K,0,NO CHANGE,0.21%
001055102,AFL,AFLAC INC,3675,0,430.89K,0,NO CHANGE,0.21%
921943858,VEA,VANGUARD TAX-MANAGED FDS,5200,0,370.5K,0,NO CHANGE,0.18%
891160509,TD,TORONTO DOMINION BK ONT,2450,0,297.5K,0,NO CHANGE,0.14%
45168D104,IDXX,IDEXX LABS INC,552,0,290.6K,0,NO CHANGE,0.14%
166764100,CVX,CHEVRON CORPORATION,1323,0,219.3K,0,NO CHANGE,0.11%
452308109,ITW,ILLINOIS TOOL WKS INC,800,0,216.38K,0,NO CHANGE,0.1%
46138G870,VRP,INVESCO EXCH TRADED FD TR II,10315,-14,250.78K,-340.36,-0.1%,0.12%
30303M102,META,META PLATFORMS INC,4539,-10,2.56M,-5.63K,-0.2%,1.2%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,11545,-233,424.41K,-8.57K,-2%,0.2%
427866108,HSY,HERSHEY CO,1515,-57,265.81K,-10K,-3.6%,0.13%
