CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
038222105,AMAT,APPLIED MATLS INC,1504800,1504800,1.09B,1.09B,NEW,4.2%
482480100,KLAC,KLA CORP,3759150,3178235,1.13B,958.91M,+547.1%,4.4%
654902204,NOK,NOKIA CORP,36000000,36000000,478.08M,478.08M,NEW,1.8%
55306N104,MKSI,MKS INC.,1072040,1072040,476.84M,476.84M,NEW,1.8%
82706C108,SIMO,SILICON MOTION TECHNOLOGY CO,1100000,1100000,366.66M,366.66M,NEW,1.4%
46090E103,QQQ,INVESCO QQQ TR,1608257,282480,1.18B,208.02M,+21.3%,4.6%
G6700G107,NVT,NVENT ELEC PLC,1217317,1217317,206.47M,206.47M,NEW,0.8%
032095101,APH,AMPHENOL CORP,5731348,1113400,1.01B,196.31M,+24.1%,3.9%
29444U700,EQIX,EQUINIX INC,333775,100000,347.92M,104.24M,+42.8%,1.3%
90138F102,TWLO,TWILIO INC,2335700,495700,481.92M,102.28M,+26.9%,1.9%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,204000,204000,93.66M,93.66M,NEW,0.36%
01609W102,BABA,ALIBABA GROUP HLDG LTD,1200000,700000,115.18M,67.19M,+140%,0.44%
05605H100,BWXT,BWX TECHNOLOGIES INC,2022748,283400,393.73M,55.16M,+16.3%,1.5%
464287523,SOXX,ISHARES TR,371200,60500,237.85M,38.77M,+19.5%,0.92%
90353T100,UBER,UBER TECHNOLOGIES INC,4336005,475000,312.89M,34.28M,+12.3%,1.2%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,206000,206000,18.79M,18.79M,NEW,0.07%
98386P102,XE,X-ENERGY INC,1000000,1000000,18.36M,18.36M,NEW,0.07%
122017106,BURL,BURLINGTON STORES INC,585000,40000,185.33M,12.67M,+7.3%,0.71%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,9398535,500000,76.32M,4.06M,+5.6%,0.29%
007903107,AMD,ADVANCED MICRO DEVICES INC,4510,4510,2.62M,2.62M,NEW,0.01%
458140100,INTC,INTEL CORP,18320,18320,2.56M,2.56M,NEW,<.01%
Q4982L109,IREN,IREN LIMITED,550000,50000,25.15M,2.29M,+10%,0.1%
67066G104,NVDA,NVIDIA CORPORATION,439459,10000,87.93M,2M,+2.3%,0.34%
29364G103,ETR,ENTERGY CORP NEW,3341012,15000,383.75M,1.72M,+0.5%,1.5%
032654105,ADI,ANALOG DEVICES INC,2069083,2000,821.78M,794.34K,+0.1%,3.2%
023135106,AMZN,AMAZON COM INC,5808299,0,1.38B,0,NO CHANGE,5.3%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,1622874,0,609.1M,0,NO CHANGE,2.3%
92826C839,V,VISA INC,1468618,0,503.87M,0,NO CHANGE,1.9%
929160109,VMC,VULCAN MATLS CO,1478646,0,436.22M,0,NO CHANGE,1.7%
872540109,TJX,TJX COS INC NEW,2799971,0,424.2M,0,NO CHANGE,1.6%
57636Q104,MA,MASTERCARD INCORPORATED,778465,0,399.82M,0,NO CHANGE,1.5%
74762E102,PWR,QUANTA SVCS INC,400983,0,288.72M,0,NO CHANGE,1.1%
14316J108,CG,CARLYLE GROUP INC,5941316,0,250.19M,0,NO CHANGE,0.96%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,1800310,0,221.64M,0,NO CHANGE,0.85%
893641100,TDG,TRANSDIGM GROUP INC,149078,0,198.58M,0,NO CHANGE,0.77%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,2004000,0,173.65M,0,NO CHANGE,0.67%
65473P105,NI,NISOURCE INC,3365500,0,160.03M,0,NO CHANGE,0.62%
78467J100,SSNC,SS&C TECH HLDGS,1764916,0,109.51M,0,NO CHANGE,0.42%
824348106,SHW,SHERWIN WILLIAMS CO,306735,0,105.62M,0,NO CHANGE,0.41%
778296103,ROST,ROSS STORES INC,472635,0,100.6M,0,NO CHANGE,0.39%
04626A103,ALAB,ASTERA LABS INC,200000,0,96.6M,0,NO CHANGE,0.37%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,1727986,0,79.33M,0,NO CHANGE,0.31%
78409V104,SPGI,S&P GLOBAL INC,190416,0,77.55M,0,NO CHANGE,0.3%
988498101,YUM,YUM BRANDS INC,465603,0,74.43M,0,NO CHANGE,0.29%
172908105,CTAS,CINTAS CORP,401539,0,68.29M,0,NO CHANGE,0.26%
78467X109,DIA,STATE STR SPDR DOW JONES IND,119700,0,62.53M,0,NO CHANGE,0.24%
548661107,LOW,LOWES COS INC,213594,0,47.1M,0,NO CHANGE,0.18%
558868105,MDGL,MADRIGAL PHARMACEUTICALS INC,80000,0,42.96M,0,NO CHANGE,0.17%
888787108,TOST,TOAST INC,1238096,0,34.44M,0,NO CHANGE,0.13%
90364P105,PATH,UIPATH INC,2611276,0,28.38M,0,NO CHANGE,0.11%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,500289,0,17.01M,0,NO CHANGE,0.07%
037833100,AAPL,APPLE INC,56627,0,16.39M,0,NO CHANGE,0.06%
G29018101,DLO,DLOCAL LTD,823837,0,10.71M,0,NO CHANGE,0.04%
70438V106,PCTY,PAYLOCITY HLDG CORP,24683,0,2.58M,0,NO CHANGE,<.01%
M6191J100,FROG,JFROG LTD,14425,0,1.31M,0,NO CHANGE,<.01%
G25508105,CRH,CRH PLC,2046550,-3450,218.98M,-369.15K,-0.2%,0.84%
02157Q109,ANRO,ALTO NEUROSCIENCE INC,102101,-125000,2.69M,-3.3M,-55%,0.01%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,0,-475000,0,-4.11M,CLOSE,0%
464287432,TLT,ISHARES TR,463000,-48000,40.01M,-4.15M,-9.4%,0.15%
68622P109,ORIC,ORIC PHARMACEUTICALS INC,3739096,-765000,40.49M,-8.28M,-17%,0.16%
85423L103,SARO,STANDARDAERO INC,852019,-350000,25.48M,-10.47M,-29.1%,0.1%
639193101,NAVN,NAVAN INC,2185278,-501550,49.98M,-11.47M,-18.7%,0.19%
433313103,HNGE,HINGE HEALTH INC,466104,-225000,38.69M,-18.68M,-32.6%,0.15%
21037T109,CEG,CONSTELLATION ENERGY CORP,1284739,-90000,319.09M,-22.35M,-6.5%,1.2%
781154109,RBRK,RUBRIK INC.,0,-500000,0,-24.48M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-98090,0,-30.36M,CLOSE,0%
G51502105,JCI,JOHNSON CONTROLS INTERNATION,0,-270000,0,-35.36M,CLOSE,0%
25809K105,DASH,DOORDASH INC,933210,-250000,172.21M,-46.13M,-21.1%,0.66%
75513E101,RTX,RTX CORPORATION,890000,-360000,168.86M,-68.3M,-28.8%,0.65%
573284106,MLM,MARTIN MARIETTA MATLS INC,627351,-120000,361.79M,-69.2M,-16.1%,1.4%
92840M102,VST,VISTRA CORP,1946357,-600000,308.75M,-95.18M,-23.6%,1.2%
87305R109,TTMI,TTM TECHNOLOGIES INC,0,-1050000,0,-102.29M,CLOSE,0%
30303M102,META,META PLATFORMS INC,1945399,-200000,1.1B,-112.66M,-9.3%,4.2%
58733R102,MELI,MERCADOLIBRE INC,109499,-71000,185.86M,-120.51M,-39.3%,0.72%
594918104,MSFT,MICROSOFT CORP,851176,-350000,317.51M,-130.56M,-29.1%,1.2%
871607107,SNPS,SYNOPSYS INC,1270948,-298400,566.93M,-133.11M,-19%,2.2%
369604301,GE,GE AEROSPACE,320000,-380000,119.59M,-142.02M,-54.3%,0.46%
30212P303,EXPE,EXPEDIA GROUP INC,1825276,-650000,467.05M,-166.32M,-26.3%,1.8%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,0,-3668020,0,-279.36M,CLOSE,0%
880770102,TER,TERADYNE INC,2163010,-626500,1.05B,-303.13M,-22.5%,4%
N07059210,ASML,ASML HLDG NV,825,-180000,1.64M,-358.1M,-99.5%,<.01%
92537N108,VRT,VERTIV HOLDINGS CO,1421980,-1080000,476.11M,-361.61M,-43.2%,1.8%
512807306,LRCX,LAM RESEARCH CORP,3050456,-850000,1.32B,-368.33M,-21.8%,5.1%
02079K305,GOOGL,ALPHABET INC,3686368,-1372250,1.32B,-490.4M,-27.1%,5.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,3536218,-1885450,1.69B,-900.43M,-34.8%,6.5%
Total,,,,,25.93B,119.68M,+0.5%,100%
