CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
98954M200,Z,ZILLOW GROUP INC,2160359,2160359,68.09M,68.09M,NEW,13.9%
77311W101,RKT,ROCKET COS INC,1500000,1500000,23.62M,23.62M,NEW,4.8%
22266T109,CPNG,COUPANG INC,1784799,1190000,31M,20.67M,+200.1%,6.3%
91688F104,UPWK,UPWORK INC,7228530,1268621,60.43M,10.61M,+21.3%,12.3%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,1285193,0,111.86M,0,NO CHANGE,22.9%
02005N100,ALLY,ALLY FINL INC,1308399,0,60.12M,0,NO CHANGE,12.3%
37637K108,GTLB,GITLAB INC,750000,0,22.9M,0,NO CHANGE,4.7%
85209W109,SPT,SPROUT SOCIAL INC,2537074,0,19.15M,0,NO CHANGE,3.9%
G0896C103,TBBB,BBB FOODS INC,451497,0,18.81M,0,NO CHANGE,3.8%
N82405106,STLA,STELLANTIS N.V,3199412,0,18.36M,0,NO CHANGE,3.8%
54150E104,LOMA,LOMA NEGRA C I A S A MTN 14,1435809,0,16.44M,0,NO CHANGE,3.4%
87507T101,TBN,TAMBORAN RES CORP,437142,0,14.21M,0,NO CHANGE,2.9%
21240E105,VLRS,CONTROLADORA VUELA COMP DE A,406139,0,3.81M,0,NO CHANGE,0.78%
G29018101,DLO,DLOCAL LTD,10068,0,130.83K,0,NO CHANGE,0.03%
886029206,THRY,THRYV HLDGS INC,377593,-1183315,1.49M,-4.66M,-75.8%,0.3%
35909R108,ULCC,FRONTIER GROUP HLDGS INC,2395119,-727585,18.95M,-5.76M,-23.3%,3.9%
58733R102,MELI,MERCADOLIBRE INC,0,-31935,0,-55.22M,CLOSE,0%
278768106,SATS,ECHOSTAR CORP,0,-545189,0,-63.83M,CLOSE,0%
Total,,,,,489.39M,-6.46M,-1.4%,100%
