CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G6683N103,NU,NU HLDGS LTD,23637075,5617462,315.79M,75.05M,+31.2%,39.7%
58733R102,MELI,MERCADOLIBRE INC,73971,42798,125.56M,72.64M,+137.3%,15.8%
G4R20B107,INTR,INTER & CO INC,7504483,7504483,40.75M,40.75M,NEW,5.1%
G29018101,DLO,DLOCAL LTD,3990466,1918747,51.86M,24.93M,+92.6%,6.5%
30303M102,META,META PLATFORMS INC,57015,40579,32.12M,22.86M,+246.9%,4%
02079K305,GOOGL,ALPHABET INC,88993,38277,31.8M,13.68M,+75.5%,4%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,59225,16964,28.28M,8.1M,+40.1%,3.6%
67066G104,NVDA,NVIDIA CORPORATION,119301,34024,23.87M,6.81M,+39.9%,3%
09857L108,BKNG,BOOKING HOLDINGS INC,73101,14676,13.03M,2.62M,+25.1%,1.6%
G9470A102,VTEX,VTEX,191255,-1918,765.02K,-7.67K,-1%,0.1%
64110L106,NFLX,NETFLIX INC.,127225,-1101,9.08M,-78.61K,-0.9%,1.1%
037833100,AAPL,APPLE INC,52922,-520,15.31M,-150.47K,-1%,1.9%
009066101,ABNB,AIRBNB INC,99452,-1106,14.23M,-158.27K,-1.1%,1.8%
G98239109,XP,XP INC,2082802,-299736,33.87M,-4.87M,-12.6%,4.3%
594918104,MSFT,MICROSOFT CORP,83749,-36807,31.24M,-13.73M,-30.5%,3.9%
023135106,AMZN,AMAZON COM INC,121071,-107080,28.86M,-25.52M,-46.9%,3.6%
Total,,,,,796.41M,222.92M,+38.5%,100%
