CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
833445109,SNOW,SNOWFLAKE INC,505700,505700,128.7M,128.7M,NEW,4.7%
23804L103,DDOG,DATADOG INC,417465,417465,108.69M,108.69M,NEW,4%
17253J106,CIFR,CIPHER DIGITAL INC,4413315,4413315,108.13M,108.13M,NEW,4%
44812J104,HUT,HUT 8 CORP,1252562,893662,144.6M,103.17M,+249%,5.3%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,3975334,3975334,101.73M,101.73M,NEW,3.8%
093712107,BE,BLOOM ENERGY CORP,283000,283000,85.66M,85.66M,NEW,3.2%
632307104,NTRA,NATERA INC,460000,307900,124.87M,83.58M,+202.4%,4.6%
007903107,AMD,ADVANCED MICRO DEVICES INC,118500,118500,68.84M,68.84M,NEW,2.5%
670346105,NUE,NUCOR CORP,307156,307156,68.42M,68.42M,NEW,2.5%
20464U100,COMP,COMPASS INC,7291665,5183668,89.91M,63.91M,+245.9%,3.3%
91332U101,U,UNITY SOFTWARE INC,2187605,2187605,62.52M,62.52M,NEW,2.3%
04010E109,AGX,ARGAN INC,76500,76500,61.09M,61.09M,NEW,2.3%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,6211390,6211390,58.32M,58.32M,NEW,2.2%
34631F102,FPS,FORGENT POWER SOLUTIONS INC,980783,980783,54.79M,54.79M,NEW,2%
458140100,INTC,INTEL CORP,275700,275700,38.5M,38.5M,NEW,1.4%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,2309082,2309082,36.65M,36.65M,NEW,1.4%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,200000,200000,34.17M,34.17M,NEW,1.3%
53626N102,LION,LIONSGATE STUDIOS CORP,1786857,1786857,27.36M,27.36M,NEW,1%
15675D103,CBRS,CEREBRAS SYSTEMS INC,107300,107300,23.71M,23.71M,NEW,0.87%
958102105,WDC,WESTERN DIGITAL CORP,189100,0,120.78M,0,NO CHANGE,4.5%
55024U109,LITE,LUMENTUM HLDGS INC,182037,-20000,156.2M,-17.16M,-9.9%,5.8%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,1375396,-313497,107.83M,-24.58M,-18.6%,4%
25809K105,DASH,DOORDASH INC,0,-198920,0,-29.87M,CLOSE,0%
G0260P102,AS,AMER SPORTS INC,3422412,-933100,115.81M,-31.58M,-21.4%,4.3%
097023105,BA,BOEING CO,203543,-207800,44.06M,-44.98M,-50.5%,1.6%
36165L108,GDS,GDS HLDGS LTD,0,-1230580,0,-49.58M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,0,-182800,0,-52.57M,CLOSE,0%
60937P106,MDB,MONGODB INC,60200,-208872,20.22M,-70.16M,-77.6%,0.75%
146869102,CVNA,CARVANA CO,0,-224080,0,-70.45M,CLOSE,0%
G6683N103,NU,NU HLDGS LTD,0,-4965100,0,-71.35M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-237140,0,-73.4M,CLOSE,0%
910047109,UAL,UNITED AIRLS HLDGS INC,517300,-559300,70.35M,-76.06M,-52%,2.6%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,250760,-165600,119.76M,-79.09M,-39.8%,4.4%
023135106,AMZN,AMAZON.COM INC,837205,-344700,199.54M,-82.16M,-29.2%,7.4%
30303M102,META,META PLATFORMS INC,0,-146040,0,-83.55M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,517500,-608010,103.55M,-121.66M,-54%,3.8%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,235520,-143910,227.28M,-138.87M,-37.9%,8.4%
594918104,MSFT,MICROSOFT CORP,0,-399180,0,-147.76M,CLOSE,0%
Total,,,,,2.71B,53.12M,+2.6%,100%
