CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,1982242,1042823,396.63M,208.66M,+111%,33%
595112103,MU,MICRON TECHNOLOGY INC,130028,130028,150.09M,150.09M,NEW,12.5%
80004C200,SNDK,SANDISK CORP,54196,47861,123.23M,108.82M,+755.5%,10.3%
458140100,INTC,INTEL CORP,362460,362460,50.61M,50.61M,NEW,4.2%
88160R101,TSLA,TESLA INC,109423,109423,46.02M,46.02M,NEW,3.8%
037833100,AAPL,APPLE INC,94232,94232,27.27M,27.27M,NEW,2.3%
023135106,AMZN,AMAZON COM INC,134137,114066,31.97M,27.19M,+568.3%,2.7%
77926X320,DRAM,ROUNDHILL,338013,338013,24.96M,24.96M,NEW,2.1%
11135F101,AVGO,BROADCOM INC,62009,62009,23.42M,23.42M,NEW,2%
46152A668,SNXX,INVESTMENT MANAGERS SER TR I TRAD 2X,360328,333539,15.15M,14.03M,+1245.1%,1.3%
464287721,IYW,ISHARES TR U.S.,52411,41533,13.22M,10.48M,+381.8%,1.1%
37954Y871,URA,GLOBAL X FDS GLOBAL,221436,190971,9.68M,8.35M,+626.9%,0.81%
25461H572,SOXS,DIREXION SHARES ETF TRUST DAI SEM,2219988,2119758,7.19M,6.87M,+2114.9%,0.6%
86800U302,SMCI,SUPER MICRO COMPUTER INC,222038,222038,6.51M,6.51M,NEW,0.54%
500767363,AGIX,KRANESHARES,93789,93789,4.4M,4.4M,NEW,0.37%
37954Y848,SIL,GLOBAL X FDS GLOBAL,173824,54285,13.46M,4.2M,+45.4%,1.1%
87975E776,NASA,TEMA,123836,123836,3.76M,3.76M,NEW,0.31%
74347Y656,SCO,PROSHARES TR,100577,100577,3.52M,3.52M,NEW,0.29%
464287184,FXI,ISHARES,106540,106540,3.37M,3.37M,NEW,0.28%
46138E339,SPMO,INVESCO EXCH TRADED FD TR II,19547,19547,3.16M,3.16M,NEW,0.26%
92189F585,CRAK,VANECK ETF TRUST,68199,68199,3.14M,3.14M,NEW,0.26%
594972408,MSTR,STRATEGY INC CL,346855,36082,30.15M,3.14M,+11.6%,2.5%
74347Y888,UCO,PROSHARES TR II,87430,87430,2.88M,2.88M,NEW,0.24%
464287432,TLT,ISHARES TR 20 YR TR,32667,32667,2.82M,2.82M,NEW,0.24%
464287200,IVV,ISHARES TR,3996,3336,2.99M,2.5M,+505.5%,0.25%
46140H700,DBB,INVESCO DB MULTI-SECTOR COMM,92031,83119,2.22M,2M,+932.7%,0.18%
301505475,NUKZ,EXCHANGE TRADED CONCEPTS TRU RANG NUCL,28569,28569,1.95M,1.95M,NEW,0.16%
88636J600,CHAT,TIDAL TRUST,19659,19659,1.94M,1.94M,NEW,0.16%
