CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
595112103,MU,"Micron Technology, Inc.",32790,32780,37.85M,37.84M,+327800%,8.2%
007903107,AMD,"Advanced Micro Devices, Inc.",63650,63640,36.97M,36.97M,+636400%,8%
958102105,WDC,Western Digital Corp.,36120,36110,23.07M,23.06M,+361100%,5%
458140100,INTC,Intel Corp.,160840,160840,22.46M,22.46M,NEW,4.9%
G7945M107,STX,Segate Technology,19590,19580,18.9M,18.89M,+195800%,4.1%
G25457105,CRDO,Credo Technology Group Holding LTD,69380,69370,18.87M,18.87M,+693700%,4.1%
04626A103,ALAB,"Astera Labs, Inc.",32880,32870,15.88M,15.88M,+328700%,3.4%
82706C108,SIMO,Silicon Motion Technology Corporation,44280,44280,14.76M,14.76M,NEW,3.2%
031652100,AMKR,"Amkor Technology, Inc.",161800,161800,13.95M,13.95M,NEW,3%
773122106,RKLB,Rocket Lab Corporation,136690,136680,13.89M,13.89M,+1366800%,3%
00760J108,AEHR,"Aehr Test Systems, Inc.",142640,142640,13.7M,13.7M,NEW,3%
57776J100,MXL,"MaxLinear, Inc.",73470,73470,9.41M,9.41M,NEW,2%
482480100,KLAC,KLA Corporation,30660,30650,9.25M,9.25M,+306500%,2%
512807108,LRCX,Lam Research Corp.,21170,21160,9.17M,9.17M,+211600%,2%
74743L100,Q,"Qnity Electronics, Inc.",94760,46980,15.48M,7.67M,+98.3%,3.3%
N97284108,NBIS,Nebius Group N.V.,102240,21900,28.24M,6.05M,+27.3%,6.1%
093712107,BE,Bloom Energy Corporation,91090,9280,27.57M,2.81M,+11.3%,6%
874039100,TSM,Taiwan Semiconductor Manufacturing Company Ltd. ADR,77910,3940,37.21M,1.88M,+5.3%,8%
219350105,GLW,Corning Inc. Glass Works,88230,2540,22.54M,648.79K,+3%,4.9%
880770102,TER,"Teradyne, Inc.",28750,710,13.91M,343.53K,+2.5%,3%
29444U502,,"Equinix, Inc.",10,10,10.42K,10.42K,NEW,<.01%
146869102,CVNA,Carvana Co. Class A,50,40,3.29K,2.63K,+400%,<.01%
15675D103,CBRS,Cerebras Systems Inc. Class A,10,10,2.21K,2.21K,NEW,<.01%
747525103,QCOM,"Qualcomm, Inc.",10,10,1.85K,1.85K,NEW,<.01%
84615Q103,SPCX,Space Exploration Technologies Corp. Class A,10,10,1.71K,1.71K,NEW,<.01%
816850101,SMTC,Semtech Corp.,10,10,1.62K,1.62K,NEW,<.01%
00971T101,AKAM,"Akamai Technologies, Inc.",10,10,1.18K,1.18K,NEW,<.01%
17275R102,CSCO,"Cisco Systems, Inc.",10,10,1.18K,1.18K,NEW,<.01%
861012102,STM,Stmicroelectronics Adr,10,10,749,749,NEW,<.01%
77926X320,DRAM,Roundhill Memory ETF,10,10,739,739,NEW,<.01%
00246W103,AXTI,"AXT, Inc.",10,10,721,721,NEW,<.01%
43289P106,HIMX,"Himax Technologies, Inc.",10,10,153,153,NEW,<.01%
80004C200,SNDK,Sandisk Corp.,10,0,22.74K,0,NO CHANGE,<.01%
58733R102,MELI,"MercadoLibre, Inc. (Argentina)",10,0,16.97K,0,NO CHANGE,<.01%
697435105,PANW,"Palo Alto Networks, Inc.",42,0,14.32K,0,NO CHANGE,<.01%
609839105,MPWR,"Monolithic Power Systems, Inc.",10,0,13.82K,0,NO CHANGE,<.01%
04010E109,AGX,"Argan, Inc.",10,0,7.99K,0,NO CHANGE,<.01%
22788C105,CRWD,"CrowdStrike Holdings, Inc. Class A",10,0,7.63K,0,NO CHANGE,<.01%
82982T106,SITM,SiTime Corporation,10,0,7.46K,0,NO CHANGE,<.01%
46090E103,QQQ,Invesco QQQ ETF,10,0,7.36K,0,NO CHANGE,<.01%
64110L106,NFLX,"Netflix, Inc.",100,0,7.14K,0,NO CHANGE,<.01%
92189F676,SMH,VanEck Semiconductor ETF,10,0,6.56K,0,NO CHANGE,<.01%
30303M102,META,"Meta Platforms, Inc. Class A",10,0,5.63K,0,NO CHANGE,<.01%
03831W108,APP,AppLovin Corporation,10,0,5.15K,0,NO CHANGE,<.01%
81762P102,NOW,"ServiceNow, Inc.",50,0,4.96K,0,NO CHANGE,<.01%
171779309,CIEN,Ciena Corp.,10,0,4.91K,0,NO CHANGE,<.01%
88262P102,TPL,Texas Pacific Land Corporation,10,0,4.38K,0,NO CHANGE,<.01%
24703L202,DELL,"Dell Technologies, Inc.",10,0,4.32K,0,NO CHANGE,<.01%
G29183103,ETN,Eaton Corporation PLC,10,0,4.26K,0,NO CHANGE,<.01%
88160R101,TSLA,"Tesla, Inc.",10,0,4.21K,0,NO CHANGE,<.01%
466313103,JBL,Jabil Circuit,10,0,3.85K,0,NO CHANGE,<.01%
87422Q109,TLN,Talen Energy Corporation,10,0,3.84K,0,NO CHANGE,<.01%
11135F101,AVGO,Broadcom Ltd.,10,0,3.78K,0,NO CHANGE,<.01%
369604301,GE,GE Aerospace,10,0,3.74K,0,NO CHANGE,<.01%
594918104,MSFT,Microsoft Corp.,10,0,3.73K,0,NO CHANGE,<.01%
15101Q207,CLS,Celestica Inc.,10,0,3.65K,0,NO CHANGE,<.01%
02079K305,GOOGL,"Alphabet, Inc. Class A",10,0,3.57K,0,NO CHANGE,<.01%
60937P106,MDB,"MongoDB, Inc. Class A",10,0,3.36K,0,NO CHANGE,<.01%
037833100,AAPL,"Apple, Inc.",10,0,2.89K,0,NO CHANGE,<.01%
23804L103,DDOG,"Datadog, Inc. Class A",10,0,2.6K,0,NO CHANGE,<.01%
833445109,SNOW,"Snowflake, Inc. Class A",10,0,2.54K,0,NO CHANGE,<.01%
21037T109,CEG,Constellation Energy Corporation,10,0,2.48K,0,NO CHANGE,<.01%
023135106,AMZN,"Amazon.com, Inc.",10,0,2.38K,0,NO CHANGE,<.01%
05605H100,BWXT,"BWX Technologies, Inc.",10,0,1.95K,0,NO CHANGE,<.01%
25809K105,DASH,"DoorDash, Inc. Class A",10,0,1.84K,0,NO CHANGE,<.01%
032095101,APH,Amphenol Corporation,10,0,1.76K,0,NO CHANGE,<.01%
75734B100,RDDT,"Reddit, Inc.",10,0,1.74K,0,NO CHANGE,<.01%
040413205,ANET,"Arista Networks, Inc.",10,0,1.7K,0,NO CHANGE,<.01%
92840M102,VST,Vistra Corp.,10,0,1.59K,0,NO CHANGE,<.01%
64110D104,NTAP,"Netapp, Inc.",10,0,1.55K,0,NO CHANGE,<.01%
03823U102,AAOI,"Applied Optoelectronics, Inc.",10,0,1.48K,0,NO CHANGE,<.01%
68389X105,ORCL,Oracle Corp.,10,0,1.47K,0,NO CHANGE,<.01%
19260Q107,COIN,"Coinbase Global, Inc. Class A",10,0,1.46K,0,NO CHANGE,<.01%
98980G102,ZS,"Zscaler, Inc.",10,0,1.41K,0,NO CHANGE,<.01%
77543R102,ROKU,"Roku, Inc. Class A",10,0,1.38K,0,NO CHANGE,<.01%
679295105,OKTA,"Okta, Inc. Class A",10,0,1.36K,0,NO CHANGE,<.01%
44812J104,HUT,Hut 8 Corp.,10,0,1.15K,0,NO CHANGE,<.01%
82509L107,SHOP,"Shopify, Inc. Class A (Canada)",10,0,1.14K,0,NO CHANGE,<.01%
770700102,HOOD,"Robinhood Markets, Inc.",10,0,1K,0,NO CHANGE,<.01%
218735108,CRWV,"CoreWeave, Inc.",10,0,995,0,NO CHANGE,<.01%
81141R100,SE,Sea Ltd. (Singapore),10,0,958,0,NO CHANGE,<.01%
464287515,IGV,iShares Expanded Tech-Software Sector ETF,10,0,906,0,NO CHANGE,<.01%
594972408,MSTR,"Micro Strategy, Inc. Class A",10,0,869,0,NO CHANGE,<.01%
00827B106,AFRM,"Affirm Holdings, Inc. Class A",10,0,816,0,NO CHANGE,<.01%
74624M102,P,"Everpure, Inc.",10,0,788,0,NO CHANGE,<.01%
90353T100,UBER,"Uber Technologies, Inc.",10,0,722,0,NO CHANGE,<.01%
172573107,CRCL,Circle Internet Group Inc.,10,0,626,0,NO CHANGE,<.01%
88023B103,TEM,"Tempus AI, Inc.",10,0,579,0,NO CHANGE,<.01%
771049103,RBLX,Roblox Corporation Class A,10,0,544,0,NO CHANGE,<.01%
46222L108,IONQ,"IonQ, Inc.",10,0,533,0,NO CHANGE,<.01%
02156V109,OKLO,Oklo Inc.,10,0,523,0,NO CHANGE,<.01%
000018599,IREN,IREN Limited,10,0,457,0,NO CHANGE,<.01%
003819207,AMAT,Applied Digital Corporation,10,0,373,0,NO CHANGE,<.01%
98954M101,ZG,"Zillow Group, Inc. Class C",10,0,315,0,NO CHANGE,<.01%
86800U104,SUPER,"Super Micro Computer, Inc.",10,0,293,0,NO CHANGE,<.01%
91332U101,U,"Unity Software, Inc.",10,0,286,0,NO CHANGE,<.01%
767292105,RIOT,"Riot Platforms, Inc",10,0,274,0,NO CHANGE,<.01%
21874A106,CORZ,"Core Scientific, Inc.",10,0,256,0,NO CHANGE,<.01%
26740W109,QBTS,D-Wave Quantum Inc.,10,0,240,0,NO CHANGE,<.01%
76655K103,RGTI,"Rigetti Computing, Inc.",10,0,193,0,NO CHANGE,<.01%
83406F102,SOFI,"SoFi Technologies, Inc.",10,0,179,0,NO CHANGE,<.01%
77311W101,RKT,"Rocket Companies, Inc.",10,0,158,0,NO CHANGE,<.01%
18452B209,CLSK,"CleanSpark, Inc.",10,0,146,0,NO CHANGE,<.01%
09175A206,BMNR,"Bitmine Immersion Technologies, Inc.",10,0,133,0,NO CHANGE,<.01%
74766W108,QUBT,Quantum Computing Inc.,10,0,97,0,NO CHANGE,<.01%
683712103,OPEN,"Opendoor Technologies, Inc.",10,0,46,0,NO CHANGE,<.01%
G2949D104,DYNC,Dynamix Corporation Class A,0,-10,0,-105,CLOSE,0%
76954A103,RIVN,"Rivian Automotive, Inc. Class A",0,-10,0,-151,CLOSE,0%
775781206,RYCEY,Rolls-Royce Holdings plc,0,-10,0,-154,CLOSE,0%
46438R105,ETHA,iShares Ethereum Trust,0,-10,0,-158,CLOSE,0%
82846H405,QXO,"QXO, Inc.",0,-10,0,-194,CLOSE,0%
46438F101,IBIT,ishares Bitcoin Trust,0,-10,0,-384,CLOSE,0%
05464C101,AXON,"Axon Enterprise, Inc.",0,-10,0,-4.25K,CLOSE,0%
L8681T102,SPOT,Spotify Technology S.A. (Luxembourg),0,-10,0,-4.85K,CLOSE,0%
038222105,AMAT,"Applied Materials, Inc.",31120,-1350,22.5M,-976.05K,-4.2%,4.9%
573874104,MRVL,"Marvell Technology, Inc.",76080,-6500,22.66M,-1.94M,-7.9%,4.9%
31188V100,FSLY,"Fastly, Inc.",10,-403820,184,-7.43M,-100%,<.01%
278768106,SATS,EchoStar Corporation,10,-92090,1.01K,-9.35M,-100%,<.01%
18915M107,NET,"Cloudflare, Inc. Class A",10,-39400,2.45K,-9.66M,-100%,<.01%
69608A108,PLTR,"Palantir Technologies, Inc. Class A",10,-91690,1.17K,-10.7M,-100%,<.01%
N07059111,ASML,ASML Holding N.V. ADR,10,-6130,19.89K,-12.2M,-99.8%,<.01%
001082379,,Tower Semiconductor Ltd.,10,-47790,2.61K,-12.45M,-100%,<.01%
042068205,ARM,Arm Holdings plc,38840,-41610,13.77M,-14.75M,-51.7%,3%
25402D102,DOCN,"DigitalOcean Holdings, Inc.",10,-99000,1.57K,-15.54M,-100%,<.01%
501242101,KLIC,Kulicke & Soffa Industries,10,-123680,1.34K,-16.55M,-100%,<.01%
92537N108,VRT,Vertiv Holdings Co,10,-54150,3.35K,-18.13M,-100%,<.01%
36828A101,GEV,GE Vernova Inc.,10,-19000,11.75K,-22.32M,-99.9%,<.01%
55024U109,LITE,Lumentum Holdings Inc.,10,-31940,8.58K,-27.41M,-100%,<.01%
19247G107,COHR,Coherent Corp.,10,-76290,3.94K,-30.1M,-100%,<.01%
67066G104,NVDA,NVIDIA Corp.,10,-158490,2K,-31.71M,-100%,<.01%
Total,,,,,462.33M,36.3M,+13.1%,100%
