CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
038222105,AMAT,Applied Materials Inc,599538,599538,433.47M,433.47M,NEW,13.8%
607828100,MOD,Modine Manufacturing Co,463437,463437,123.75M,123.75M,NEW,3.9%
02079K305,GOOGL,Alphabet Inc,382963,266919,136.86M,95.39M,+230%,4.3%
438516205,HON,Honeywell International Inc,329840,329840,73.85M,73.85M,NEW,2.3%
43849R105,HONA,Honeywell Aerospace Inc,332058,332058,73.41M,73.41M,NEW,2.3%
82846H405,QXO,QXO Inc,4814003,2970269,83.19M,51.33M,+161.1%,2.6%
11135F101,AVGO,Broadcom Inc,530478,90992,200.39M,34.37M,+20.7%,6.4%
G7997R103,STX,Seagate Technology Holdings PL,109222,32148,105.4M,31.02M,+41.7%,3.3%
012653101,ALB,Albemarle Corp,122267,122267,16.51M,16.51M,NEW,0.52%
67066G104,NVDA,NVIDIA Corp,1624430,47606,325.03M,9.53M,+3%,10.3%
03831W108,APP,AppLovin Corp,163694,14594,84.34M,7.52M,+9.8%,2.7%
532457108,LLY,Eli Lilly & Co,89985,1807,107.93M,2.17M,+2%,3.4%
651639106,NEM,Newmont Corp,788273,21802,73.62M,2.04M,+2.8%,2.3%
03990B101,ARES,Ares Management Corp,194657,8376,21.67M,932.33K,+4.5%,0.69%
808513105,SCHW,Charles Schwab Corp/The,342398,9250,31.59M,853.5K,+2.8%,1%
303250104,FICO,Fair Isaac Corp,31645,-63,37.81M,-75.27K,-0.2%,1.2%
718172109,PM,Philip Morris International Inc,0,-18201,0,-3.01M,CLOSE,0%
03769M106,APO,Apollo Global Management Inc,191268,-32075,22.63M,-3.79M,-14.4%,0.72%
45841N107,IBKR,Interactive Brokers Group Inc,669562,-44622,58.28M,-3.88M,-6.2%,1.8%
94106L109,WM,Waste Management Inc,157721,-45902,35.15M,-10.23M,-22.5%,1.1%
235851102,DHR,Danaher Corp,91913,-61953,17.51M,-11.8M,-40.3%,0.56%
92537N108,VRT,Vertiv Holdings Co,420515,-35793,140.8M,-11.98M,-7.8%,4.5%
90353T100,UBER,Uber Technologies Inc,594111,-188402,42.87M,-13.6M,-24.1%,1.4%
G3643J108,FLUT,Flutter Entertainment PLC,0,-152275,0,-15.52M,CLOSE,0%
55024U109,LITE,Lumentum Holdings Inc,185019,-27037,158.76M,-23.2M,-12.7%,5%
759916109,RGEN,Repligen Corp,178377,-225823,24.34M,-30.81M,-55.9%,0.77%
80004C200,SNDK,Sandisk Corp/DE,97653,-16952,222.04M,-38.54M,-14.8%,7%
438516106,HON,Honeywell International Inc,0,-429551,0,-97.09M,CLOSE,0%
620076307,MSI,Motorola Solutions Inc,143194,-237596,59.47M,-98.67M,-62.4%,1.9%
512807306,LRCX,Lam Research Corp,1017021,-273568,440.71M,-118.55M,-21.2%,14%
874039100,TSM,Taiwan Semiconductor Manufacturing Co Ltd,0,-408679,0,-138.11M,CLOSE,0%
Total,,,,,3.15B,337.26M,+16%,100%
