CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,APPLE INC,34687,27021,10.04M,7.82M,+352.5%,5.3%
855244109,SBUX,STARBUCKS CORP,69021,69021,7.05M,7.05M,NEW,3.7%
594918104,MSFT,MICROSOFT CORP,29036,16012,10.83M,5.97M,+122.9%,5.7%
80004C200,SNDK,SANDISK CORP,2467,2467,5.61M,5.61M,NEW,2.9%
833445109,SNOW,SNOWFLAKE INC,22776,16396,5.8M,4.17M,+257%,3%
82509L107,SHOP,SHOPIFY INC,30080,28340,3.44M,3.24M,+1628.7%,1.8%
02079K305,GOOGL,ALPHABET INC,13620,8402,4.87M,3M,+161%,2.5%
01609W102,BABA,ALIBABA GROUP HLDG LTD,84201,29190,8.08M,2.8M,+53.1%,4.2%
482480100,KLAC,KLA CORP,9508,8970,2.87M,2.71M,+1667.3%,1.5%
70450Y103,PYPL,PAYPAL HLDGS INC,94279,54665,4.07M,2.36M,+138%,2.1%
345370860,F,FORD MTR CO,189656,166967,2.64M,2.32M,+735.9%,1.4%
06849F108,B,BARRICK MNG CORP,59218,59218,2.17M,2.17M,NEW,1.1%
71654V408,PBR,PETROLEO BRASILEIRO S A,134494,134494,2.17M,2.17M,NEW,1.1%
47215P106,JD,JD.COM INC,83864,83864,2.14M,2.14M,NEW,1.1%
62914V106,NIO,NIO INC,370762,370762,1.88M,1.88M,NEW,0.98%
983134107,WYNN,WYNN RESORTS LTD,16217,16217,1.57M,1.57M,NEW,0.82%
77926X320,DRAM,ROUNDHILL ETF TRUST,19517,19517,1.44M,1.44M,NEW,0.75%
060505104,BAC,BANK OF AMER CORP,24811,24811,1.41M,1.41M,NEW,0.74%
038222105,AMAT,APPLIED MATLS INC,1924,1924,1.39M,1.39M,NEW,0.73%
30303M102,META,META PLATFORMS INC,32829,1596,18.49M,899K,+5.1%,9.7%
500767306,KWEB,KRANESHARES TRUST,69718,34571,1.71M,845.95K,+98.4%,0.89%
76954A103,RIVN,RIVIAN AUTOMOTIVE INC,73083,48662,1.27M,844.29K,+199.3%,0.66%
81369Y506,XLE,SELECT SECTOR SPDR TR,14081,14081,748K,748K,NEW,0.39%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,1355,1355,647K,647K,NEW,0.34%
384802104,GWW,WW GRAINGER INC,474,474,645K,645K,NEW,0.34%
15135B101,CNC,CENTENE CORP DEL,36873,9369,2.37M,601.43K,+34.1%,1.2%
512807306,LRCX,LAM RESEARCH CORP,3483,1334,1.51M,577.95K,+62.1%,0.79%
097023105,BA,BOEING CO,2666,2666,577K,577K,NEW,0.3%
92189F791,GDXJ,VANECK ETF TRUST,15639,5761,1.54M,566.19K,+58.3%,0.8%
92826C839,V,VISA INC,1602,1602,550K,550K,NEW,0.29%
032654105,ADI,ANALOG DEVICES INC,1364,1364,542K,542K,NEW,0.28%
670100205,NVO,NOVO-NORDISK A S,10978,10978,526K,526K,NEW,0.28%
654106103,NKE,NIKE INC,12800,12800,525K,525K,NEW,0.27%
882508104,TXN,TEXAS INSTRS INC,1607,1607,479K,479K,NEW,0.25%
98422D105,XPEV,XPENG INC,54675,34910,724K,462.27K,+176.6%,0.38%
717081103,PFE,PFIZER INC,18782,18782,452K,452K,NEW,0.24%
254687106,DIS,DISNEY WALT CO,4060,4060,391K,391K,NEW,0.2%
19260Q107,COIN,COINBASE GLOBAL INC,7771,2351,1.14M,343.68K,+43.4%,0.59%
532457108,LLY,ELI LILLY & CO,527,269,632K,322.6K,+104.3%,0.33%
722304102,PDD,PDD HOLDINGS INC,18381,3948,1.4M,301.13K,+27.4%,0.73%
770700102,HOOD,ROBINHOOD MKTS INC,2847,2847,285K,285K,NEW,0.15%
166764100,CVX,CHEVRON CORPORATION,1618,1618,268K,268K,NEW,0.14%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,924,924,260K,260K,NEW,0.14%
91332U101,U,UNITY SOFTWARE INC,22507,8746,643K,249.86K,+63.6%,0.34%
009066101,ABNB,AIRBNB INC,15579,1717,2.23M,245.66K,+12.4%,1.2%
37045V100,GM,GENERAL MTRS CO,2769,2769,213K,213K,NEW,0.11%
21873S108,CRWV,COREWEAVE INC,2102,2102,209K,209K,NEW,0.11%
G2004J103,CCL,CARNIVAL CORP LTD,7274,7274,208K,208K,NEW,0.11%
G6683N103,NU,NU HLDGS LTD,34130,14183,456K,189.49K,+71.1%,0.24%
57636Q104,MA,MASTERCARD INCORPORATED,976,329,501K,168.88K,+50.9%,0.26%
86800U302,SMCI,SUPER MICRO COMPUTER INC,21145,5266,620K,154.41K,+33.2%,0.32%
78463V107,GLD,SPDR GOLD TR,1624,325,598K,119.67K,+25%,0.31%
594972408,MSTR,STRATEGY INC,3665,820,319K,71.37K,+28.8%,0.17%
172967424,C,CITIGROUP INC,5160,457,722K,63.94K,+9.7%,0.38%
910047109,UAL,UNITED AIRLS HLDGS INC,5688,251,774K,34.16K,+4.6%,0.41%
83304A106,SNAP,SNAP INC,74977,6047,333K,26.86K,+8.8%,0.17%
55087P104,LYFT,LYFT INC,18779,53,274K,773.31,+0.3%,0.14%
00724F101,ADBE,ADOBE INC,12164,-22,2.49M,-4.51K,-0.2%,1.3%
94419L101,W,WAYFAIR INC,4893,-685,452K,-63.28K,-12.3%,0.24%
02376R102,AAL,AMERICAN AIRLINES GROUP INC,212316,-3984,3.84M,-72K,-1.8%,2%
963320106,WHR,WHIRLPOOL CORP,15539,-2558,613K,-100.91K,-14.1%,0.32%
03769M106,APO,APOLLO GLOBAL MGMT INC,2683,-871,317K,-102.91K,-24.5%,0.17%
90353T100,UBER,UBER TECHNOLOGIES INC,6091,-2015,440K,-145.56K,-24.9%,0.23%
N07059210,ASML,ASML HLDG NV,2054,-88,4.09M,-175.06K,-4.1%,2.1%
36828A101,GEV,GE VERNOVA INC,944,-159,1.11M,-186.79K,-14.4%,0.58%
25179M103,DVN,DEVON ENERGY CORP NEW,0,-4100,0,-206K,CLOSE,0%
651639106,NEM,NEWMONT CORP,5091,-2421,475K,-225.88K,-32.2%,0.25%
35671D857,FCX,FREEPORT MCMORAN INC,12621,-4102,794K,-258.06K,-24.5%,0.42%
30231G102,XOM,EXXON MOBIL CORP,0,-1548,0,-263K,CLOSE,0%
518439104,EL,LAUDER ESTEE COS INC,0,-3753,0,-269K,CLOSE,0%
844741108,LUV,SOUTHWEST AIRLS CO,0,-7500,0,-282K,CLOSE,0%
871607107,SNPS,SYNOPSYS INC,838,-633,374K,-282.51K,-43%,0.2%
17275R102,CSCO,CISCO SYS INC,4951,-2462,582K,-289.41K,-33.2%,0.3%
50202M102,LI,LI AUTO INC,0,-16463,0,-294K,CLOSE,0%
500754106,KHC,KRAFT HEINZ CO,26994,-12761,638K,-301.6K,-32.1%,0.33%
464287515,IGV,ISHARES TR,0,-4000,0,-320K,CLOSE,0%
09260D107,BX,BLACKSTONE INC,7778,-2874,915K,-338.1K,-27%,0.48%
81762P102,NOW,SERVICENOW INC,0,-3279,0,-343K,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,782,-808,337K,-348.2K,-50.8%,0.18%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,7165,-3114,836K,-363.34K,-30.3%,0.44%
68389X105,ORCL,ORACLE CORP,18694,-3158,2.74M,-462.87K,-14.5%,1.4%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,0,-1234,0,-482K,CLOSE,0%
931142103,WMT,WALMART INC,0,-3950,0,-491K,CLOSE,0%
697435105,PANW,PALO ALTO NETWORKS INC,0,-3191,0,-512K,CLOSE,0%
617446448,MS,MORGAN STANLEY,1093,-2479,228K,-517.12K,-69.4%,0.12%
20825C104,COP,CONOCOPHILLIPS,0,-4000,0,-528K,CLOSE,0%
052769106,ADSK,AUTODESK INC,0,-2446,0,-586K,CLOSE,0%
149123101,CAT,CATERPILLAR INC,538,-555,573K,-591.11K,-50.8%,0.3%
46428Q109,SLV,ISHARES SILVER TR,11513,-11212,616K,-599.9K,-49.3%,0.32%
747525103,QCOM,QUALCOMM INC,1756,-3428,324K,-632.5K,-66.1%,0.17%
550021109,LULU,LULULEMON ATHLETICA INC,6764,-6157,772K,-702.72K,-47.7%,0.4%
