CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,268957,268957,200.85M,200.85M,NEW,11.8%
023135106,AMZN,AMAZON COM INC,679326,616380,161.91M,146.91M,+979.2%,9.5%
38141G104,GS,GOLDMAN SACHS GROUP INC,118463,118463,119.81M,119.81M,NEW,7%
458140100,INTC,INTEL CORP,745232,745232,104.06M,104.06M,NEW,6.1%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,747832,620344,87.25M,72.38M,+486.6%,5.1%
747525103,QCOM,QUALCOMM INC,345250,345250,63.8M,63.8M,NEW,3.7%
01609W102,BABA,ALIBABA GROUP HLDG LTD,617248,530726,59.24M,50.94M,+613.4%,3.5%
149123101,CAT,CATERPILLAR INC,47638,47638,50.73M,50.73M,NEW,3%
037833100,AAPL,APPLE INC,185934,142303,53.8M,41.18M,+326.2%,3.2%
57636Q104,MA,MASTERCARD INCORPORATED,78491,78491,40.31M,40.31M,NEW,2.4%
58733R102,MELI,MERCADOLIBRE INC,39051,23545,66.28M,39.97M,+151.8%,3.9%
N07059210,ASML,ASML HLDG NV,48226,18679,95.94M,37.16M,+63.2%,5.6%
46625H100,JPM,JPMORGAN CHASE & CO,81497,81497,26.68M,26.68M,NEW,1.6%
81369Y506,XLE,SELECT SECTOR SPDR TR,451784,451784,24.22M,24.22M,NEW,1.4%
91324P102,UNH,UNITEDHEALTH GROUP INC,51033,51033,21.21M,21.21M,NEW,1.2%
038222105,AMAT,APPLIED MATLS INC,29288,29288,21.18M,21.18M,NEW,1.2%
09857L108,BKNG,BOOKING HOLDINGS INC,109202,104794,19.46M,18.68M,+2377.4%,1.1%
949746101,WFC,WELLS FARGO & CO,166557,166557,13.76M,13.76M,NEW,0.81%
172967424,C,CITIGROUP INC,93668,93668,13.11M,13.11M,NEW,0.77%
060505104,BAC,BANK OF AMER CORP,77572,53806,4.42M,3.07M,+226.4%,0.26%
532457108,LLY,ELI LILLY & CO,1360,1360,1.63M,1.63M,NEW,0.1%
254687106,DIS,DISNEY WALT CO,25453,-6507,2.45M,-626.3K,-20.4%,0.14%
146869102,CVNA,CARVANA CO,0,-3866,0,-1.22M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,0,-8529,0,-1.29M,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC,362218,-37014,52.95M,-5.41M,-9.3%,3.1%
594972408,MSTR,STRATEGY INC,432111,-73116,37.56M,-6.36M,-14.5%,2.2%
594918104,MSFT,MICROSOFT CORP,0,-20982,0,-7.77M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-30751,0,-17.59M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,270504,-131310,39.64M,-19.24M,-32.7%,2.3%
92189F676,SMH,VANECK ETF TRUST,0,-64420,0,-24.7M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-158061,0,-32.15M,CLOSE,0%
464288513,HYG,ISHARES TR,0,-419774,0,-33.4M,CLOSE,0%
46428Q109,SLV,ISHARES SILVER TR,2930777,-651840,156.71M,-34.85M,-18.2%,9.2%
78463V107,GLD,SPDR GOLD TR,0,-107664,0,-46.33M,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-294809,0,-109.6M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,0,-539819,0,-154.85M,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,137820,-156534,159.08M,-180.69M,-53.2%,9.3%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,11318,-410284,5.41M,-195.94M,-97.3%,0.32%
Total,,,,,1.7B,239.61M,+19.2%,100%
