CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
84615Q103,SPCX,Space Exploration Technologies Corp,120801820,120801820,20.64B,20.64B,NEW,91.8%
31556C106,FRVO,Fervo Energy Company,34227393,34227393,1B,1B,NEW,4.4%
98390R102,XNDU.TO,Xanadu Quantum Technologies,11080951,11080951,134.19M,134.19M,NEW,0.6%
88160R101,TSLA,Tesla Motors,120000,120000,50.47M,50.47M,NEW,0.22%
G65163100,JOBY,Joby Aviation,28470647,0,253.96M,0,NO CHANGE,1.1%
74767V109,QS,Quantumscape Corp.,11496990,0,86.92M,0,NO CHANGE,0.39%
00BLPK443,RNEW,Ecofin US Renewables Infrastructure PLC,22500000,0,3.38M,0,NO CHANGE,0.02%
095924106,OTF,Owl Rock Technology Finance Corp,5648797,-1,58.35M,-10.33,-0%,0.26%
42238D107,HTFL,Heartflow,0,-256701,0,-6.48M,CLOSE,0%
63942X106,NVTS,Navitas Semiconductor,7134285,-858412,127.85M,-15.38M,-10.7%,0.57%
72703X106,PL,Planet Labs,4016886,-1338961,133.08M,-44.36M,-25%,0.59%
Total,,,,,22.49B,21.76B,+3617.3%,100%
