CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,APPLE INC,1343920,826322,388.88M,239.1M,+159.6%,7.3%
81369Y506,XLE,SELECT SECTOR SPDR TR,4432763,4432763,235.42M,235.42M,NEW,4.4%
655844108,NSC,NORFOLK SOUTHN CORP,1043375,705249,328.24M,221.86M,+208.6%,6.2%
055622104,BP,BP PLC,5840899,5840899,215.82M,215.82M,NEW,4.1%
02079K305,GOOGL,ALPHABET INC,375359,363623,134.14M,129.95M,+3098.4%,2.5%
060505104,BAC,BANK OF AMER CORP,2020979,1995267,115.16M,113.69M,+7760.1%,2.2%
553368101,MP,MP MATERIALS CORP,1991899,1985808,111.57M,111.23M,+32602.3%,2.1%
512807306,LRCX,LAM RESEARCH CORP,236500,227159,102.48M,98.43M,+2431.8%,1.9%
023135106,AMZN,AMAZON COM INC,1348189,376988,321.33M,89.85M,+38.8%,6%
80004C200,SNDK,SANDISK CORP,38288,38288,87.06M,87.06M,NEW,1.6%
934423104,WBD,WARNER BROS DISCOVERY INC,19423068,3032306,517.82M,80.84M,+18.5%,9.7%
171779309,CIEN,CIENA CORP,117924,117924,57.85M,57.85M,NEW,1.1%
89055F103,BLD,TOPBUILD COR,137737,134274,48.83M,47.6M,+3877.4%,0.92%
882508104,TXN,TEXAS INSTRS INC,121345,118595,36.17M,35.35M,+4312.5%,0.68%
682189105,ON,ON SEMICONDUCTOR CORP,325000,317000,30.73M,29.97M,+3962.5%,0.58%
56585A102,MPC,MARATHON PETE CORP,50141,50141,12.82M,12.82M,NEW,0.24%
378973507,GSAT,GLOBALSTAR INC,132783,132783,10.79M,10.79M,NEW,0.2%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,47641,40430,11.91M,10.11M,+560.7%,0.22%
87612G101,TRGP,TARGA RES CORP,36626,36626,9.82M,9.82M,NEW,0.18%
403949100,DINO,HF SINCLAIR CORP,215815,139349,15.03M,9.71M,+182.2%,0.28%
02215L209,KNTK,KINETIK HOLDINGS INC,193197,193197,9.34M,9.34M,NEW,0.18%
03676B102,AM,ANTERO MIDSTREAM CORP,394955,394955,8.99M,8.99M,NEW,0.17%
74340E103,PGNY,PROGYNY INC,293287,293287,8.46M,8.46M,NEW,0.16%
651229106,NWL,NEWELL BRANDS INC,1226340,1226340,7.53M,7.53M,NEW,0.14%
892356106,TSCO,TRACTOR SUPPLY CO,226780,226780,7.17M,7.17M,NEW,0.13%
15135B101,CNC,CENTENE CORP DEL,111446,111446,7.15M,7.15M,NEW,0.13%
18914F103,CLOV,CLOVER HEALTH INVESTMENTS CO,1216631,1216631,6.38M,6.38M,NEW,0.12%
550021109,LULU,LULULEMON ATHLETICA INC,57287,53800,6.54M,6.14M,+1542.9%,0.12%
50012A108,KGS,KODIAK GAS SVCS INC,95288,77270,7.16M,5.81M,+428.8%,0.13%
038222105,AMAT,APPLIED MATLS INC,12959,7697,9.37M,5.56M,+146.3%,0.18%
23834J201,DAVE,DAVE INC,14145,14145,5.27M,5.27M,NEW,0.1%
580135101,MCD,MCDONALDS CORP,19653,18883,5.31M,5.1M,+2452.3%,0.1%
98954M101,ZG,ZILLOW GROUP INC,199310,159195,6.25M,4.99M,+396.8%,0.12%
02376R102,AAL,AMERICAN AIRLINES GROUP INC,274049,274049,4.95M,4.95M,NEW,0.09%
910047109,UAL,UNITED AIRLS HLDGS INC,36072,36072,4.91M,4.91M,NEW,0.09%
01625V104,ALHC,ALIGNMENT HEALTHCARE INC,199957,199957,4.76M,4.76M,NEW,0.09%
525327102,LDOS,LEIDOS HOLDINGS INC,45412,45412,4.68M,4.68M,NEW,0.09%
98978V103,ZTS,ZOETIS INC,112856,63952,8.11M,4.6M,+130.8%,0.15%
91324P102,UNH,UNITEDHEALTH GROUP INC,14512,10898,6.03M,4.53M,+301.5%,0.11%
79466L302,CRM,SALESFORCE INC,30011,28527,4.7M,4.47M,+1922.3%,0.09%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,11047,11047,4.27M,4.27M,NEW,0.08%
09739D100,BCC,BOISE CASCADE CO DEL,71169,54800,5.52M,4.25M,+334.8%,0.1%
499049104,KNX,KNIGHT-SWIFT TRANSN HLDGS IN,59208,53138,4.61M,4.14M,+875.4%,0.09%
090572207,BIO,BIO RAD LABS INC,13875,13875,4.07M,4.07M,NEW,0.08%
92537N108,VRT,VERTIV HOLDINGS CO,13257,12110,4.44M,4.05M,+1055.8%,0.08%
49456B101,KMI,KINDER MORGAN INC DEL,126324,126324,4.04M,4.04M,NEW,0.08%
461202103,INTU,INTUIT,37180,15393,9.7M,4.02M,+70.7%,0.18%
744320102,PRU,PRUDENTIAL FINL INC,57739,37101,6.23M,4M,+179.8%,0.12%
227046109,CROX,CROCS INC,32841,32841,3.96M,3.96M,NEW,0.07%
56418H100,MAN,MANPOWERGROUP INC WIS,116337,116337,3.93M,3.93M,NEW,0.07%
950755108,WERN,WERNER ENTERPRISES INC,165928,89501,7.24M,3.9M,+117.1%,0.14%
69318G106,PBF,PBF ENERGY INC,104918,85276,4.78M,3.88M,+434.2%,0.09%
43283X105,HGV,HILTON GRAND VACATIONS INC,79576,73934,4.17M,3.87M,+1310.4%,0.08%
412822108,HOG,HARLEY DAVIDSON INC,197826,150514,4.84M,3.68M,+318.1%,0.09%
09857L108,BKNG,BOOKING HOLDINGS INC,21742,20578,3.88M,3.67M,+1767.9%,0.07%
018581108,BFH,BREAD FINANCIAL HOLDINGS INC,32797,32797,3.55M,3.55M,NEW,0.07%
679580100,ODFL,OLD DOMINION FREIGHT LINE IN,16372,16372,3.55M,3.55M,NEW,0.07%
235851102,DHR,DANAHER CORP DEL,24074,18462,4.59M,3.52M,+329%,0.09%
92345Y106,VRSK,VERISK ANALYTICS INC,25233,18840,4.53M,3.38M,+294.7%,0.09%
833445109,SNOW,SNOWFLAKE INC,16320,13160,4.15M,3.35M,+416.5%,0.08%
038923108,ABR,ARBOR REALTY TRUST INC,872985,612426,4.73M,3.32M,+235%,0.09%
88339J105,TTD,THE TRADE DESK INC,380269,181598,6.88M,3.28M,+91.4%,0.13%
981475106,WKC,WORLD KINECT CORPORATION,138902,99371,4.58M,3.27M,+251.4%,0.09%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,70680,70680,3.19M,3.19M,NEW,0.06%
03957W106,AROC,ARCHROCK INC,147931,76829,6.02M,3.13M,+108.1%,0.11%
368736104,GNRC,GENERAC HLDGS INC,10620,10620,3.11M,3.11M,NEW,0.06%
315616102,FFIV,F5 INC,16006,7245,6.66M,3.01M,+82.7%,0.13%
37959E102,GL,GLOBE LIFE INC,16820,16820,3.01M,3.01M,NEW,0.06%
72352L106,PINS,PINTEREST INC,141872,141872,2.98M,2.98M,NEW,0.06%
539830109,LMT,LOCKHEED MARTIN CORP,5725,5725,2.92M,2.92M,NEW,0.05%
10950A106,BTSG,BRIGHTSPRING HEALTH SVCS INC,49390,41328,3.44M,2.88M,+512.6%,0.06%
60855R100,MOH,MOLINA HEALTHCARE INC,12497,12497,2.86M,2.86M,NEW,0.05%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,9776,9776,2.84M,2.84M,NEW,0.05%
199908104,FIX,COMFORT SYS USA INC,1580,1429,3.13M,2.83M,+946.4%,0.06%
577081102,MAT,MATTEL INC,200681,200681,2.79M,2.79M,NEW,0.05%
29414B104,EPAM,EPAM SYS INC,34183,34183,2.71M,2.71M,NEW,0.05%
20030N101,CMCSA,COMCAST CORP NEW,229913,109563,5.64M,2.69M,+91%,0.11%
536797103,LAD,LITHIA MTRS INC,12560,9220,3.65M,2.68M,+276%,0.07%
34959E109,FTNT,FORTINET INC,49858,17407,7.66M,2.67M,+53.6%,0.14%
04010E109,AGX,ARGAN INC,3310,3310,2.64M,2.64M,NEW,0.05%
