CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
458140100,INTC,INTEL CORP,1773028,1773028,247.57M,247.57M,NEW,11.4%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,860709,860709,147.06M,147.06M,NEW,6.8%
835699307,SONY,SONY GROUP CORP,6899554,6899554,138.41M,138.41M,NEW,6.4%
67066G104,NVDA,NVIDIA CORPORATION,622243,622243,124.5M,124.5M,NEW,5.7%
N07059210,ASML,ASML HOLDING N V,52827,52827,105.1M,105.1M,NEW,4.8%
24703L202,DELL,DELL TECHNOLOGIES INC,236463,236463,102.02M,102.02M,NEW,4.7%
007903107,AMD,ADVANCED MICRO DEVICES INC,172552,172552,100.24M,100.24M,NEW,4.6%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,221093,201658,105.59M,96.31M,+1037.6%,4.9%
278768106,SATS,ECHOSTAR CORP,2557855,675631,259.62M,68.58M,+35.9%,12%
595112103,MU,MICRON TECHNOLOGY INC,54113,54113,62.46M,62.46M,NEW,2.9%
07373V105,BEAM,BEAM THERAPEUTICS INC,1614538,1081095,55.41M,37.1M,+202.7%,2.6%
88160R101,TSLA,TESLA INC,643163,84029,270.51M,35.34M,+15%,12.5%
88023B103,TEM,TEMPUS AI INC,554750,554750,32.14M,32.14M,NEW,1.5%
35137L204,FOX,FOX CORP,582585,582585,27.29M,27.29M,NEW,1.3%
771049103,RBLX,ROBLOX CORP,404316,404316,21.99M,21.99M,NEW,1%
01609W102,BABA,ALIBABA GROUP HLDG LTD,396320,216379,38.04M,20.77M,+120.2%,1.8%
679295105,OKTA,OKTA INC,130607,130607,17.82M,17.82M,NEW,0.82%
30303M102,META,META PLATFORMS INC,29797,29797,16.78M,16.78M,NEW,0.77%
49271V100,KDP,KEURIG DR PEPPER INC,3262484,474585,106.78M,15.53M,+17%,4.9%
98980L101,ZM,ZOOM COMMUNICATIONS INC,161720,161720,13.96M,13.96M,NEW,0.64%
056752108,BIDU,BAIDU INC,343344,113154,39.24M,12.93M,+49.2%,1.8%
550021109,LULU,LULULEMON ATHLETICA INC,96214,96214,10.99M,10.99M,NEW,0.51%
670100205,NVO,NOVO-NORDISK A S,327154,100203,15.68M,4.8M,+44.2%,0.72%
172573107,CRCL,CIRCLE INTERNET GROUP INC,216104,39037,13.53M,2.44M,+22%,0.62%
654106103,NKE,NIKE INC,32865,32865,1.35M,1.35M,NEW,0.06%
45826J105,NTLA,INTELLIA THERAPEUTICS INC,1955228,43389,33.08M,734.14K,+2.3%,1.5%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,138,138,6.22K,6.22K,NEW,<.01%
98262P200,WGHTQ,WW INTL INC,307168,0,4.91M,0,NO CHANGE,0.23%
19260Q107,COIN,COINBASE GLOBAL INC,133503,-2760,19.52M,-403.48K,-2%,0.9%
74915M605,QVCGA,QVC GROUP INC,0,-702768,0,-1.53M,CLOSE,0%
26884L109,EQT,EQT CORP,0,-102753,0,-6.54M,CLOSE,0%
75281A109,RRC,RANGE RES CORP,0,-149945,0,-6.77M,CLOSE,0%
67077M108,NTR,NUTRIEN LTD,0,-93641,0,-7.07M,CLOSE,0%
227046109,CROX,CROCS INC,0,-97571,0,-8.1M,CLOSE,0%
69047Q102,OVV,OVINTIV INC,0,-164559,0,-9.77M,CLOSE,0%
125269100,CF,CF INDUSTRIES HOLD,0,-76715,0,-9.96M,CLOSE,0%
020764106,AMR,ALPHA METALLURGICAL RESOUR I,0,-48660,0,-9.99M,CLOSE,0%
70450Y103,PYPL,PAYPAL HLDGS INC,0,-220923,0,-9.99M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,186,-69003,27.26K,-10.11M,-99.7%,<.01%
G65431127,NE,NOBLE CORP PLC,0,-227247,0,-11.15M,CLOSE,0%
61945C103,MOS,MOSAIC CO,0,-502751,0,-12.82M,CLOSE,0%
15135U109,CVE,CENOVUS ENERGY INC,0,-513537,0,-13.58M,CLOSE,0%
G7997W102,SDRL,SEADRILL LTD,0,-318958,0,-14.51M,CLOSE,0%
H8817H100,RIG,TRANSOCEAN LTD,0,-2470095,0,-16.38M,CLOSE,0%
21036P108,STZ,CONSTELLATION BRANDS INC,56151,-133221,7.81M,-18.53M,-70.3%,0.36%
47215P106,JD,JD.COM INC,0,-639327,0,-18.9M,CLOSE,0%
934423104,WBD,WARNER BROS DISCOVERY INC,0,-1496154,0,-41.08M,CLOSE,0%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,986733,-6939416,9.73M,-68.42M,-87.6%,0.45%
713448108,PEP,PEPSICO INC,0,-472477,0,-73.37M,CLOSE,0%
02209S103,MO,ALTRIA GROUP INC,0,-1275522,0,-84.17M,CLOSE,0%
60871R209,TAP,MOLSON COORS BEVERAGE CO,0,-1971886,0,-84.91M,CLOSE,0%
609207105,MDLZ,MONDELEZ INTL INC,0,-1480120,0,-85.31M,CLOSE,0%
500754106,KHC,KRAFT HEINZ CO,0,-4242061,0,-95.4M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,23128,-277475,8.27M,-99.16M,-92.3%,0.38%
718172109,PM,PHILIP MORRIS INTL INC,0,-822766,0,-136.04M,CLOSE,0%
110448107,BTI,BRITISH AMERN TOB PLC,206521,-2616920,12.75M,-161.62M,-92.7%,0.59%
Total,,,,,2.17B,348.62M,+19.7%,100%
