CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
40412C101,HCA,HCA HEALTHCARE INC,1151792,1151792,449.07M,449.07M,NEW,10.7%
037833100,AAPL,APPLE INC,890000,890000,257.53M,257.53M,NEW,6.2%
844741108,LUV,SOUTHWEST AIRLS CO,7065875,4145899,363.33M,213.18M,+142%,8.7%
02079K107,GOOG,ALPHABET INC,737500,411000,260.58M,145.22M,+125.9%,6.2%
64110L106,NFLX,NETFLIX INC.,2541660,1874526,181.47M,133.84M,+281%,4.3%
872590104,TMUS,T-MOBILE US INC,544935,464767,91.4M,77.96M,+579.7%,2.2%
023135106,AMZN,AMAZON COM INC,2306270,203458,549.68M,48.49M,+9.7%,13.2%
254687106,DIS,DISNEY WALT CO,769707,492707,74.08M,47.42M,+177.9%,1.8%
23331A109,DHI,D R HORTON INC,822891,246000,134.03M,40.07M,+42.6%,3.2%
949746101,WFC,WELLS FARGO & CO,453796,453796,37.5M,37.5M,NEW,0.9%
060505104,BAC,BANK OF AMER CORP,1722061,245000,98.12M,13.96M,+16.6%,2.3%
172967424,C,CITIGROUP INC,290000,97000,40.59M,13.58M,+50.3%,0.97%
92343V104,VZ,VERIZON COMMUNICATIONS INC,265000,265000,11.22M,11.22M,NEW,0.27%
88033G407,THC,TENET HEALTHCARE CORP,37000,37000,6.92M,6.92M,NEW,0.17%
47215P106,JD,JD.COM INC,245000,245000,6.24M,6.24M,NEW,0.15%
35671D857,FCX,FREEPORT MCMORAN INC,9275434,0,583.33M,0,NO CHANGE,14%
78464A698,KRE,SPDR SERIES TRUST,1750000,0,130.99M,0,NO CHANGE,3.1%
722304102,PDD,PDD HOLDINGS INC,55000,0,4.2M,0,NO CHANGE,0.1%
30303M102,META,META PLATFORMS INC,127000,-13000,71.54M,-7.32M,-9.3%,1.7%
79466L302,CRM,SALESFORCE INC,0,-170371,0,-31.8M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO,0,-129019,0,-37.95M,CLOSE,0%
91324P102,UNH,UNITEDHEALTH GROUP INC,0,-152896,0,-41.37M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,1174442,-230558,234.99M,-46.13M,-16.4%,5.6%
11135F101,AVGO,BROADCOM INC,421977,-330000,159.4M,-124.66M,-43.9%,3.8%
595112103,MU,MICRON TECHNOLOGY INC,63000,-129000,72.72M,-148.9M,-67.2%,1.7%
594918104,MSFT,MICROSOFT CORP,965833,-495591,360.28M,-184.87M,-33.9%,8.6%
Total,,,,,4.18B,879.2M,+30.7%,100%
