CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,14028230,13282720,10.48B,9.92B,+1781.7%,6.5%
023135106,AMZN,AMAZON COM INC,10945883,6214659,2.61B,1.48B,+131.4%,1.6%
67066G104,NVDA,NVIDIA CORPORATION,20042818,5337603,4.01B,1.07B,+36.3%,2.5%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,5340000,5340000,912.39M,912.39M,NEW,0.56%
30303M102,META,META PLATFORMS INC,3397091,1510567,1.91B,850.89M,+80.1%,1.2%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,1920532,1452328,961.02M,726.73M,+310.2%,0.59%
934423104,WBD,WARNER BROS DISCOVERY INC,40750490,25861087,1.09B,689.46M,+173.7%,0.67%
573874104,MRVL,MARVELL TECHNOLOGY INC,2504623,2174103,746.1M,647.64M,+657.8%,0.46%
02079K107,GOOG,ALPHABET INC,6751217,1763382,2.39B,623.06M,+35.4%,1.5%
19247G107,COHR,COHERENT CORP,1642670,1530168,647.98M,603.61M,+1360.1%,0.4%
55024U109,LITE,LUMENTUM HLDGS INC,668011,654005,573.19M,561.18M,+4669.5%,0.35%
461202103,INTU,INTUIT,2135509,2117580,557.37M,552.69M,+11810.9%,0.34%
949746101,WFC,WELLS FARGO & CO,8575688,6332444,708.69M,523.31M,+282.3%,0.44%
02079K404,ABE2.F,ALPHABET INC,9855000,9855000,497.95M,497.95M,NEW,0.31%
02079K602,ABE1.F,ALPHABET INC,9855000,9855000,494.03M,494.03M,NEW,0.31%
14040H105,COF,CAPITAL ONE FINL CORP,4579708,2216757,918.78M,444.73M,+93.8%,0.57%
57636Q104,MA,MASTERCARD INCORPORATED,1987325,851106,1.02B,437.13M,+74.9%,0.63%
24703L202,DELL,DELL TECHNOLOGIES INC,973711,966082,420.12M,416.83M,+12663.3%,0.26%
17275R102,CSCO,CISCO SYS INC,4092136,3510932,480.66M,412.39M,+604.1%,0.3%
031162100,AMGN,AMGEN INC,1290217,1112208,467.21M,402.75M,+624.8%,0.29%
81369Y506,XLE,SELECT SECTOR SPDR TR,7531605,7515165,400M,399.13M,+45712.7%,0.25%
02079K305,GOOGL,ALPHABET INC,7915724,1055455,2.83B,377.19M,+15.4%,1.7%
00287Y109,ABBV,ABBVIE INC,2102316,1429326,529.03M,359.68M,+212.4%,0.33%
36467WAG4,,GAMESTOP CORP,336725000,336725000,341.86M,341.86M,NEW,0.21%
25179M103,DVN,DEVON ENERGY CORP NEW,12044728,8210181,497.69M,339.24M,+214.1%,0.31%
09857L108,BKNG,BOOKING HOLDINGS INC,2019094,1872445,359.88M,333.74M,+1276.8%,0.22%
86800UAF1,,SUPER MICRO COMPUTER INC,372692000,372692000,332.14M,332.14M,NEW,0.21%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,5145207,2670742,633.43M,328.8M,+107.9%,0.39%
58155Q103,MCK,MCKESSON CORP,483843,430496,365.59M,325.28M,+807%,0.23%
15101Q207,CLS,CELESTICA INC,1876165,881280,684.28M,321.42M,+88.6%,0.42%
34959E109,FTNT,FORTINET INC,4849811,1982474,745.03M,304.55M,+69.1%,0.46%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,1054602,1034716,306.46M,300.68M,+5203.2%,0.19%
38141G104,GS,GOLDMAN SACHS GROUP INC,299500,295828,302.91M,299.19M,+8056.3%,0.19%
336433107,FSLR,FIRST SOLAR INC,1319431,1260255,311.33M,297.37M,+2129.7%,0.19%
808513105,SCHW,SCHWAB CHARLES CORP,5779607,3163794,533.28M,291.92M,+120.9%,0.33%
75513E101,RTX,RTX CORPORATION,2760281,1478237,523.71M,280.47M,+115.3%,0.32%
G5960L103,MDT,MEDTRONIC PLC,4396781,3502166,343.96M,273.97M,+391.5%,0.21%
375558103,GILD,GILEAD SCIENCES INC,2294789,2093870,289.92M,264.54M,+1042.1%,0.18%
12572Q105,CME,CME GROUP INC,1322996,1185134,292.16M,261.71M,+859.7%,0.18%
G51502105,JCI,JOHNSON CONTROLS INTERNATION,1877590,1740604,274.33M,254.32M,+1270.6%,0.17%
097023204,BAPA,BOEING CO,3664000,3664000,248.4M,248.4M,NEW,0.15%
464286400,EWZ,ISHARES INC,7120968,7120968,245.67M,245.67M,NEW,0.15%
92189F106,GDX,VANECK ETF TRUST,3715926,3237940,280.37M,244.3M,+677.4%,0.17%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,2133301,318833,1.63B,243.31M,+17.6%,1%
57776J100,MXL,MAXLINEAR INC,1861351,1835443,238.31M,234.99M,+7084.5%,0.15%
12504L109,CBRE,CBRE GROUP INC,2064267,1640138,278.04M,220.91M,+386.7%,0.17%
007973100,AEIS,ADVANCED ENERGY INDS,585573,583973,218.34M,217.75M,+36498.3%,0.13%
904767803,UL,UNILEVER PLC,3762722,3609127,226.21M,216.98M,+2349.8%,0.14%
632307104,NTRA,NATERA INC,1279255,787919,347.25M,213.88M,+160.4%,0.21%
76954A103,RIVN,RIVIAN AUTOMOTIVE INC,20832777,12203342,361.45M,211.73M,+141.4%,0.22%
824348106,SHW,SHERWIN WILLIAMS CO,2100884,614302,723.38M,211.52M,+41.3%,0.45%
37045V100,GM,GENERAL MTRS CO,15000837,2682798,1.16B,206.79M,+21.8%,0.71%
687793109,OSCR,OSCAR HEALTH INC,12643617,7158332,360.6M,204.16M,+130.5%,0.22%
G0593M107,AZN,ASTRAZENECA PLC,1094593,1069588,207.56M,202.82M,+4277.5%,0.13%
910047109,UAL,UNITED AIRLS HLDGS INC,2158134,1463660,293.48M,199.04M,+210.8%,0.18%
437076102,HD,HOME DEPOT INC,4315830,555621,1.52B,195.96M,+14.8%,0.94%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,695266,695266,195.39M,195.39M,NEW,0.12%
801056102,SANM,SANMINA CORP,846681,730431,214.28M,184.86M,+628.3%,0.13%
36467WAE9,,GAMESTOP CORP,180120000,180120000,184.09M,184.09M,NEW,0.11%
871829107,SYY,SYSCO CORP,6047049,2121521,505.41M,177.32M,+54%,0.31%
25278X109,FANG,DIAMONDBACK ENERGY INC,2693758,1004964,473.51M,176.65M,+59.5%,0.29%
98980L101,ZM,ZOOM COMMUNICATIONS INC,2736806,2031121,236.21M,175.31M,+287.8%,0.15%
G2004J103,CCL,CARNIVAL CORP LTD,6115089,6115089,174.71M,174.71M,NEW,0.11%
166764100,CVX,CHEVRON CORPORATION,1736226,1043871,287.8M,173.03M,+150.8%,0.18%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,687763,658913,179.26M,171.74M,+2283.9%,0.11%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,641637,338789,321.69M,169.86M,+111.9%,0.2%
86800U500,SMCIP,SUPER MICRO COMPUTER INC,3200000,3200000,164.16M,164.16M,NEW,0.1%
09228F103,BB,BLACKBERRY LTD,13321027,12951940,168.42M,163.75M,+3509.2%,0.1%
18915M107,NET,CLOUDFLARE INC,1947802,660556,477.76M,162.02M,+51.3%,0.3%
