CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,101461915,101461915,17.34B,17.34B,NEW,77.8%
023135106,AMZN,AMAZON COM INC,2500000,2500000,595.85M,595.85M,NEW,2.7%
30303M102,META,META PLATFORMS INC,300000,300000,168.99M,168.99M,NEW,0.76%
40412C101,HCA,HCA HEALTHCARE INC,1100000,350000,428.88M,136.46M,+46.7%,1.9%
974155103,WING,WINGSTOP INC,1500000,250000,260.12M,43.35M,+20%,1.2%
253393102,DKS,DICKS SPORTING GOODS INC,1500000,125000,340.21M,28.35M,+9.1%,1.5%
83601L102,SHC,SOTERA HEALTH CO,27000000,1000000,479.25M,17.75M,+3.8%,2.2%
934550203,WMG,WARNER MUSIC GROUP CORP,11943199,93199,323.3M,2.52M,+0.8%,1.5%
531229755,FWONK,LIBERTY MEDIA CORP DEL,4300000,0,409.1M,0,NO CHANGE,1.8%
294429105,EFX,EQUIFAX INC,1500000,0,238.08M,0,NO CHANGE,1.1%
808513105,SCHW,SCHWAB CHARLES CORP,2250000,0,207.61M,0,NO CHANGE,0.93%
531229771,FWONA,LIBERTY MEDIA CORP DEL,850000,0,74.41M,0,NO CHANGE,0.33%
650111107,NYT,NEW YORK TIMES CO MTN BE,5000000,-38727,349.9M,-2.71M,-0.8%,1.6%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,3804000,-196000,468.08M,-24.12M,-4.9%,2.1%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,0,-2655469,0,-196.29M,CLOSE,0%
278768106,SATS,ECHOSTAR CORP,5000000,-2000000,507.5M,-203M,-28.6%,2.3%
92537N108,VRT,VERTIV HOLDINGS CO,244906,-755094,82M,-252.82M,-75.5%,0.37%
Total,,,,,22.27B,17.65B,+375.8%,100%
