CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46120E602,ISRG,INTUITIVE SURGICAL INC,27000,11575,10.74M,4.6M,+75%,11.6%
02079K107,GOOG,ALPHABET INC,61812,7812,22.08M,2.79M,+14.5%,23.9%
292671708,UUUU,ENERGY FUELS INC,200000,150000,2.9M,2.17M,+300%,3.1%
45826J105,NTLA,INTELLIA THERAPEUTICS INC,100000,100000,1.69M,1.69M,NEW,1.8%
31816X106,FLY,FIREFLY AEROSPACE INC,20000,20000,588K,588K,NEW,0.64%
023135106,AMZN,AMAZON COM INC,54000,0,12.87M,0,NO CHANGE,13.9%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,58630,0,6.84M,0,NO CHANGE,7.4%
553368101,MP,MP MATERIALS CORP,100000,0,5.6M,0,NO CHANGE,6.1%
68389X105,ORCL,ORACLE CORP,36000,0,5.28M,0,NO CHANGE,5.7%
67066G104,NVDA,NVIDIA CORPORATION,18990,0,3.8M,0,NO CHANGE,4.1%
22160K105,COST,COSTCO WHOLESALE CORPORATION,4050,0,3.79M,0,NO CHANGE,4.1%
594918104,MSFT,MICROSOFT CORP,7500,0,2.8M,0,NO CHANGE,3%
46438R105,ETHA,ISHARES ETHEREUM TR,192708,0,2.29M,0,NO CHANGE,2.5%
H17182108,CRSP,CRISPR THERAPEUTICS AG,25000,0,1.36M,0,NO CHANGE,1.5%
576690101,MTRN,MATERION CORP,4540,0,1.35M,0,NO CHANGE,1.5%
37954Y871,URA,GLOBAL X FDS,27169,0,1.19M,0,NO CHANGE,1.3%
293594107,ENVX,ENOVIX CORPORATION,138375,0,839.94K,0,NO CHANGE,0.91%
85208P303,URNM,SPROTT FDS TR,15000,0,788.85K,0,NO CHANGE,0.85%
G9460G101,VAL,VALARIS LTD,10000,0,726K,0,NO CHANGE,0.79%
916896103,UEC,URANIUM ENERGY CORP,41835,0,445.96K,0,NO CHANGE,0.48%
248356107,DNN,DENISON MINES CORP,120243,0,367.94K,0,NO CHANGE,0.4%
H8817H100,RIG,TRANSOCEAN LTD,60000,0,293.4K,0,NO CHANGE,0.32%
389638107,ETHE,GRAYSCALE ETHEREUM STAKING E,10000,0,127.6K,0,NO CHANGE,0.14%
Y3894J187,IMPP,IMPERIAL PETE INC,790000,-36754,3.64M,-169.44K,-4.4%,3.9%
G7997W102,SDRL,SEADRILL LTD,0,-5000,0,-227.5K,CLOSE,0%
640268306,NKTR,NEKTAR THERAPEUTICS,0,-18000,0,-1.3M,CLOSE,0%
87612E106,TGT,TARGET CORP,0,-20000,0,-2.42M,CLOSE,0%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,0,-300000,0,-4.49M,CLOSE,0%
Total,,,,,92.39M,3.24M,+3.8%,100%
