CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,302555831,302555831,51.66B,51.66B,NEW,2.2%
482480100,KLAC,KLA CORP,43007912,38606425,12.98B,11.65B,+877.1%,0.56%
11135F101,AVGO,BROADCOM INC,144359173,20246297,54.53B,7.65B,+16.3%,2.4%
91324P102,UNH,UNITEDHEALTH GROUP INC,27992995,15973949,11.63B,6.64B,+132.9%,0.51%
67066G104,NVDA,NVIDIA CORPORATION,1026051548,32198580,205.3B,6.44B,+3.2%,8.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,25558552,10269781,14.85B,5.97B,+67.2%,0.64%
037833100,AAPL,APPLE INC,325348754,17906714,94.14B,5.18B,+5.8%,4.1%
458140100,INTC,INTEL CORP,94431754,36916621,13.19B,5.15B,+64.2%,0.57%
02079K305,GOOGL,ALPHABET INC,250714005,14169330,89.6B,5.06B,+6%,3.9%
02079K107,GOOG,ALPHABET INC,121958993,13398953,43.09B,4.73B,+12.3%,1.9%
N07059210,ASML,ASML HLDG NV,5478341,2329935,10.9B,4.64B,+74%,0.47%
697435105,PANW,PALO ALTO NETWORKS INC,20054462,11949672,6.84B,4.08B,+147.4%,0.3%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,7847117,4406915,5.99B,3.36B,+128.1%,0.26%
464287614,IWF,ISHARES TR,33169533,24853456,4.12B,3.09B,+298.9%,0.18%
532457108,LLY,ELI LILLY & CO,28462475,2121444,34.14B,2.54B,+8.1%,1.5%
149123101,CAT,CATERPILLAR INC,5781969,1957676,6.16B,2.08B,+51.2%,0.27%
038222105,AMAT,APPLIED MATLS INC,9274335,2876511,6.71B,2.08B,+45%,0.29%
15675D103,CBRS,CEREBRAS SYSTEMS INC,8435095,8435095,1.86B,1.86B,NEW,0.08%
771049103,RBLX,ROBLOX CORP,79723713,33104614,4.34B,1.8B,+71%,0.19%
146869102,CVNA,CARVANA CO,33604708,26157893,2.21B,1.72B,+351.3%,0.1%
23804L103,DDOG,DATADOG INC,19758680,6470261,5.14B,1.68B,+48.7%,0.22%
023135106,AMZN,AMAZON COM INC,365660364,6961673,87.15B,1.66B,+1.9%,3.8%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,14084488,3308052,7.06B,1.66B,+30.7%,0.31%
09857L108,BKNG,BOOKING HOLDINGS INC,9522286,9202528,1.7B,1.64B,+2878%,0.07%
88160R101,TSLA,TESLA INC,39766224,3738248,16.73B,1.57B,+10.4%,0.73%
437076102,HD,HOME DEPOT INC,18088396,4363087,6.38B,1.54B,+31.8%,0.28%
235851102,DHR,DANAHER CORP DEL,29540895,7006566,5.63B,1.33B,+31.1%,0.24%
92556V106,VTRS,VIATRIS INC,96662102,80073588,1.53B,1.27B,+482.7%,0.07%
548661107,LOW,LOWES COS INC,37267356,5411705,8.22B,1.19B,+17%,0.36%
770700102,HOOD,ROBINHOOD MKTS INC,29907700,11850309,3B,1.19B,+65.6%,0.13%
09062X103,BIIB,BIOGEN INC,18217239,5409698,3.94B,1.17B,+42.2%,0.17%
922908736,VUG,VANGUARD INDEX FDS,15218429,12639124,1.31B,1.09B,+490%,0.06%
609839105,MPWR,MONOLITHIC PWR SYS INC,5177258,776427,7.16B,1.07B,+17.6%,0.31%
494368103,KMB,KIMBERLY-CLARK CORP,13133613,9507375,1.44B,1.04B,+262.2%,0.06%
G2004J103,CCL,CARNIVAL CORP LTD,35769442,35769442,1.02B,1.02B,NEW,0.04%
17275R102,CSCO,CISCO SYS INC,76063526,8677963,8.93B,1.02B,+12.9%,0.39%
750917106,RMBS,RAMBUS INC DEL,10460026,7141577,1.39B,947.97M,+215.2%,0.06%
K08588103,ASND,ASCENDIS PHARMA A/S,3545575,3545575,945.68M,945.68M,NEW,0.04%
363576109,AJG,GALLAGHER ARTHUR J & CO,18645620,4024657,4.28B,923.94M,+27.5%,0.19%
49271V100,KDP,KEURIG DR PEPPER INC,172397835,26768840,5.64B,876.14M,+18.4%,0.24%
955306105,WST,WEST PHARMACEUTICAL SVSC INC,3574816,2325068,1.28B,834.7M,+186%,0.06%
03831W108,APP,APPLOVIN CORP,17293553,1602139,8.91B,825.47M,+10.2%,0.39%
780087102,RY,ROYAL BK CDA,17803517,3895270,3.69B,806.56M,+28%,0.16%
808513105,SCHW,SCHWAB CHARLES CORP,44265455,8577286,4.08B,791.43M,+24%,0.18%
632307104,NTRA,NATERA INC,5451396,2897142,1.48B,786.43M,+113.4%,0.06%
858119100,STLD,STEEL DYNAMICS INC,7720913,3309313,1.77B,759.35M,+75%,0.08%
743315103,PGR,PROGRESSIVE CORP,11213445,3384651,2.45B,739.38M,+43.2%,0.11%
76155X100,RVMD,REVOLUTION MEDICINES INC,12200422,3736108,2.28B,699.7M,+44.1%,0.1%
679295105,OKTA,OKTA INC,16272067,4929243,2.22B,672.6M,+43.5%,0.1%
256746108,DLTR,DOLLAR TREE INC,24960305,5465910,3.02B,661.1M,+28%,0.13%
87612E106,TGT,TARGET CORP,24630329,4729055,3.22B,617.66M,+23.8%,0.14%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,7433148,2187458,2.09B,615.14M,+41.7%,0.09%
464287457,SHY,ISHARES TR,11506634,7427817,944.81M,609.9M,+182.1%,0.04%
24703L202,DELL,DELL TECHNOLOGIES INC,5654576,1412435,2.44B,609.41M,+33.3%,0.11%
244199105,DE,DEERE & CO,7488674,958880,4.75B,608.25M,+14.7%,0.21%
03938L203,MT,ARCELORMITTAL SA LUXEMBOURG,11391416,9833857,685.99M,592.19M,+631.4%,0.03%
042068205,ARM,ARM HOLDINGS PLC,4062977,1613947,1.44B,572.26M,+65.9%,0.06%
G50871105,JAZZ,JAZZ PHARMACEUTICALS PLC,4609326,2333564,1.11B,562.32M,+102.5%,0.05%
00846U101,A,AGILENT TECHNOLOGIES INC,5076167,4159361,674.27M,552.49M,+453.7%,0.03%
55658T105,MAIR,MADISON AIR SOLUTIONS CORP,14084999,14084999,549.31M,549.31M,NEW,0.02%
247361702,DAL,DELTA AIR LINES INC,33187319,5683286,3.11B,532.3M,+20.7%,0.13%
38141G104,GS,GOLDMAN SACHS GROUP INC,3866640,525408,3.91B,531.38M,+15.7%,0.17%
00187Y100,APG,API GROUP CORP,17499605,12450793,741.11M,527.29M,+246.6%,0.03%
452327109,ILMN,ILLUMINA INC,4523417,2976556,795.35M,523.37M,+192.4%,0.03%
22052L104,CTVA,CORTEVA INC,41072288,6100388,3.48B,516.64M,+17.4%,0.15%
26701L100,BROS,DUTCH BROS INC,16724132,7157735,1.2B,514M,+74.8%,0.05%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,10702508,2803783,1.96B,513.4M,+35.5%,0.09%
Y2573F102,FLEX,FLEX LTD,19538636,3157171,3.17B,511.68M,+19.3%,0.14%
60937P106,MDB,MONGODB INC,3660780,1467897,1.23B,493.07M,+66.9%,0.05%
984245100,YPF,YPF SOCIEDAD ANONIMA,10705516,10705426,486.78M,486.78M,+11894917.8%,0.02%
G39387108,GFS,GLOBALFOUNDRIES INC,69848379,5790213,5.76B,477.17M,+9%,0.25%
316188705,FSEC,FIDELITY MERRIMACK STR TR,217976663,10830230,9.56B,474.8M,+5.2%,0.41%
00508Y102,AYI,ACUITY INC,3604071,1248463,1.36B,470.25M,+53%,0.06%
231021106,CMI,CUMMINS INC,6085944,657632,4.34B,469.03M,+12.1%,0.19%
25754A201,DPZ,DOMINOS PIZZA INC,4136482,1568880,1.22B,464.45M,+61.1%,0.05%
110448107,BTI,BRITISH AMERN TOB PLC,44158315,7470096,2.73B,461.35M,+20.4%,0.12%
68389X105,ORCL,ORACLE CORP,26025909,3145069,3.81B,460.91M,+13.7%,0.17%
624756102,MLI,MUELLER INDS INC,5513679,3707422,677.8M,455.75M,+205.3%,0.03%
617446448,MS,MORGAN STANLEY,24903987,2173964,5.21B,454.45M,+9.6%,0.23%
097023105,BA,BOEING CO,58951274,2074892,12.76B,449.15M,+3.6%,0.55%
929740108,WAB,WABTEC,21383543,1661114,5.77B,447.84M,+8.4%,0.25%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,3131652,1155933,1.21B,447.03M,+58.5%,0.05%
316188408,FLDR,FIDELITY MERRIMACK STR TR,8873080,8863473,444.63M,444.15M,+92260.6%,0.02%
025537101,AEP,AMERICAN ELEC PWR CO INC,9302934,3223596,1.27B,441.02M,+53%,0.06%
60770K107,MRNA,MODERNA INC,51859891,6187867,3.63B,433.34M,+13.5%,0.16%
83671M105,SOBO,SOUTH BOW CORP,21894771,12223172,771.3M,430.59M,+126.4%,0.03%
883203101,TXT,TEXTRON INC,16084547,4682165,1.48B,429.5M,+41.1%,0.06%
032654105,ADI,ANALOG DEVICES INC,7794859,1064172,3.1B,422.66M,+15.8%,0.13%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,2378726,1200533,832.72M,420.27M,+101.9%,0.04%
49177J102,KVUE,KENVUE INC,157051418,21958324,3B,419.62M,+16.3%,0.13%
199908104,FIX,COMFORT SYS USA INC,1659799,210282,3.29B,416.77M,+14.5%,0.14%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,22568609,3566624,2.63B,416.12M,+18.8%,0.11%
58507V107,MDLN,MEDLINE INC,46963203,10407002,1.85B,410.45M,+28.5%,0.08%
857477103,STT,STATE STR CORP,13911287,2370660,2.36B,402.06M,+20.5%,0.1%
21871X109,CRBG,COREBRIDGE FINL INC,14609508,13823607,418.27M,395.77M,+1759%,0.02%
063671101,BMO,BANK MONTREAL MEDIUM,9527449,2234256,1.68B,394.89M,+30.6%,0.07%
H1467J104,CB,CHUBB LIMITED,13368929,1146455,4.56B,390.64M,+9.4%,0.2%
778296103,ROST,ROSS STORES INC,10973537,1818823,2.34B,387.14M,+19.9%,0.1%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,24316233,4157528,2.11B,360.41M,+20.6%,0.09%
98389B100,XEL,XCEL ENERGY INC,11152597,4433391,895.55M,356M,+66%,0.04%
05464C101,AXON,AXON ENTERPRISE INC,3024957,628618,1.7B,352.41M,+26.2%,0.07%
