CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
15675D103,CBRS,CEREBRAS SYSTEMS INC,62200,62200,13.75M,13.75M,NEW,6.7%
146869102,CVNA,CARVANA CO,209780,183440,13.81M,12.07M,+696.4%,6.7%
18915M107,NET,CLOUDFLARE INC,89800,25200,22.03M,6.18M,+39%,10.7%
888787108,TOST,TOAST INC,236062,79900,6.57M,2.22M,+51.2%,3.2%
093712107,BE,BLOOM ENERGY CORP,205276,0,62.14M,0,NO CHANGE,30.2%
91332U101,U,UNITY SOFTWARE INC,1399900,0,40.01M,0,NO CHANGE,19.4%
81141R100,SE,SEA LTD,190900,0,18.29M,0,NO CHANGE,8.9%
770700102,HOOD,ROBINHOOD MKTS INC,133000,0,13.34M,0,NO CHANGE,6.5%
58733R102,MELI,MERCADOLIBRE INC,5567,0,9.45M,0,NO CHANGE,4.6%
732908108,PONY,PONY AI INC,839900,0,5.84M,0,NO CHANGE,2.8%
00835Q202,AEVA,AEVA TECHNOLOGIES INC,25904,-781117,743.96K,-22.43M,-96.8%,0.36%
Total,,,,,205.96M,11.79M,+8.6%,100%
