CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81369Y506,XLE,SELECT SECTOR SPDR TR,65685,47678,3.49M,2.53M,+264.8%,0.95%
02156V109,OKLO,OKLO INC,31285,31285,1.64M,1.64M,NEW,0.45%
67079K100,SMR,NUSCALE PWR CORP,148809,148809,1.49M,1.49M,NEW,0.41%
038222105,AMAT,APPLIED MATLS INC,2036,2036,1.47M,1.47M,NEW,0.4%
573874104,MRVL,MARVELL TECHNOLOGY INC,8161,4676,2.43M,1.39M,+134.2%,0.66%
02072L565,BOXX,EA SERIES TRUST,49857,11166,5.84M,1.31M,+28.9%,1.6%
67066G104,NVDA,NVIDIA CORPORATION,106433,5697,21.3M,1.14M,+5.7%,5.8%
46090E103,QQQ,INVESCO QQQ TR,7353,1363,5.41M,1M,+22.8%,1.5%
219350105,GLW,CORNING INC,3273,3273,836.02K,836.02K,NEW,0.23%
11135F101,AVGO,BROADCOM INC,12087,2191,4.57M,827.66K,+22.1%,1.2%
02079K305,GOOGL,ALPHABET INC,12819,2234,4.58M,798.39K,+21.1%,1.3%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,1013,1013,773.06K,773.06K,NEW,0.21%
921932703,VOOV,VANGUARD ADMIRAL FDS INC,7791,3330,1.71M,729.96K,+74.6%,0.47%
02072Q523,ACEP,EA SERIES TRUST,54654,36010,1.08M,710.68K,+193.1%,0.29%
91324P102,UNH,UNITEDHEALTH GROUP INC,2932,1657,1.22M,688.76K,+130%,0.33%
20030N101,CMCSA,COMCAST CORP NEW,48471,27830,1.19M,683.22K,+134.8%,0.33%
87612E106,TGT,TARGET CORP,11026,5019,1.44M,655.53K,+83.6%,0.39%
92189F676,SMH,VANECK ETF TRUST,3681,958,2.41M,628.26K,+35.2%,0.66%
74348A467,NOBL,PROSHARES TR,22131,11080,1.24M,622.24K,+100.3%,0.34%
040413205,ANET,ARISTA NETWORKS INC,3515,3515,597.13K,597.13K,NEW,0.16%
78464A870,XBI,SPDR SERIES TRUST,3742,3742,592.18K,592.18K,NEW,0.16%
458140100,INTC,INTEL CORP,4207,4207,587.44K,587.44K,NEW,0.16%
949746101,WFC,WELLS FARGO & CO,10185,6854,841.67K,566.4K,+205.8%,0.23%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,13000,1163,6.21M,555.41K,+9.8%,1.7%
17275R102,CSCO,CISCO SYS INC,12097,4679,1.42M,549.61K,+63.1%,0.39%
14448C104,CARR,CARRIER GLOBAL CORPORATION,14483,7038,1.06M,516.24K,+94.5%,0.29%
369604301,GE,GE AEROSPACE,4557,1348,1.7M,503.78K,+42%,0.47%
58933Y105,MRK,MERCK & CO INC,8543,3667,1.1M,471.19K,+75.2%,0.3%
81762P102,NOW,SERVICENOW INC,4664,4664,463.04K,463.04K,NEW,0.13%
92204A702,VGT,VANGUARD WORLD FD,4069,3816,486.36K,456.12K,+1508.3%,0.13%
65339F101,NEE,NEXTERA ENERGY INC,5137,5137,450.87K,450.87K,NEW,0.12%
713448108,PEP,PEPSICO INC,4973,3320,673.38K,449.55K,+200.8%,0.18%
38149W622,GPIX,GOLDMAN SACHS ETF TR,7814,7814,434.21K,434.21K,NEW,0.12%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,431,431,415.53K,415.53K,NEW,0.11%
460146103,IP,INTERNATIONAL PAPER CO,17182,10403,654.63K,396.35K,+153.5%,0.18%
962166104,WY,WEYERHAEUSER CO,16495,16495,394.88K,394.88K,NEW,0.11%
459506101,IFF,INTERNATIONAL FLAVORS&FRAGRA,4860,4860,385.02K,385.02K,NEW,0.11%
922908736,VUG,VANGUARD INDEX FDS,5283,4434,455.07K,381.94K,+522.3%,0.12%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,1692,1692,378.88K,378.88K,NEW,0.1%
98138H101,WDAY,WORKDAY INC,2954,2954,361.63K,361.63K,NEW,0.1%
26922A420,QTUM,ETF SER SOLUTIONS,2156,2156,356.56K,356.56K,NEW,0.1%
G8267P108,SW,SMURFIT WESTROCK PLC,7439,7439,344.13K,344.13K,NEW,0.09%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,2151,1041,683.01K,330.55K,+93.8%,0.19%
33740F755,BUFR,FIRST TR EXCHNG TRADED FD VI,51576,8949,1.88M,326.91K,+21%,0.52%
750940108,RAL,RALLIANT CORP,4320,4320,318.08K,318.08K,NEW,0.09%
697435105,PANW,PALO ALTO NETWORKS INC,2225,930,758.77K,317.15K,+71.8%,0.21%
075887109,BDX,BECTON DICKINSON & CO,7201,2084,1.09M,315.37K,+40.7%,0.3%
25243Q205,DEO,DIAGEO PLC,3899,3899,313.38K,313.38K,NEW,0.09%
921937835,BND,VANGUARD BD INDEX FDS,4259,4259,312.66K,312.66K,NEW,0.09%
02209S103,MO,ALTRIA GROUP INC,10274,4343,739.24K,312.49K,+73.2%,0.2%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,1799,1799,307.38K,307.38K,NEW,0.08%
81369Y704,XLI,SELECT SECTOR SPDR TR,7076,1596,1.31M,295.63K,+29.1%,0.36%
922908363,VOO,VANGUARD INDEX FDS,10615,430,7.29M,295.34K,+4.2%,2%
79466L302,CRM,SALESFORCE INC,6914,1832,1.08M,287.01K,+36%,0.3%
78433H303,SPYI,NEOS ETF TRUST,5391,5391,286.21K,286.21K,NEW,0.08%
452308109,ITW,ILLINOIS TOOL WKS INC,1046,1046,282.91K,282.91K,NEW,0.08%
G54950103,LIN,LINDE PLC,1037,537,538.14K,278.67K,+107.4%,0.15%
921910816,MGK,VANGUARD WORLD FD,3853,3155,338.71K,277.35K,+452%,0.09%
941848103,WAT,WATERS CORP,735,735,275.65K,275.65K,NEW,0.08%
093712107,BE,BLOOM ENERGY CORP,906,906,274.25K,274.25K,NEW,0.07%
009158106,APD,AIR PRODUCTS AND CHEMICALS I,929,929,272.36K,272.36K,NEW,0.07%
G6700G107,NVT,NVENT ELEC PLC,1557,1557,264.08K,264.08K,NEW,0.07%
907818108,UNP,UNION PAC CORP,4592,943,1.25M,256.52K,+25.8%,0.34%
74933W452,TBIL,RBB FD INC,5122,5122,255.38K,255.38K,NEW,0.07%
032095101,APH,AMPHENOL CORP,4832,1430,851.98K,252.14K,+42%,0.23%
808524797,SCHD,SCHWAB STRATEGIC TR,45116,7925,1.43M,251.3K,+21.3%,0.39%
609207105,MDLZ,MONDELEZ INTL INC,4338,4338,250.91K,250.91K,NEW,0.07%
115236101,BRO,BROWN & BROWN INC,3903,3903,250.38K,250.38K,NEW,0.07%
008474108,AEM,AGNICO EAGLE MINES LTD,1568,1568,243.24K,243.24K,NEW,0.07%
34959E109,FTNT,FORTINET INC,1573,1573,241.64K,241.64K,NEW,0.07%
81369Y100,XLB,SELECT SECTOR SPDR TR,4753,4753,241.59K,241.59K,NEW,0.07%
03769M106,APO,APOLLO GLOBAL MGMT INC,2008,2008,237.57K,237.57K,NEW,0.06%
74933W460,XBIL,RBB FD INC,4748,4748,237.38K,237.38K,NEW,0.06%
670100205,NVO,NOVO-NORDISK A S,4940,4940,236.82K,236.82K,NEW,0.06%
25459Y165,SPUU,DIREXION SHARES ETF TRUST,1095,1095,236.09K,236.09K,NEW,0.06%
351858105,FNV,FRANCO NEV CORP,1125,1125,234.5K,234.5K,NEW,0.06%
25278X109,FANG,DIAMONDBACK ENERGY INC,1281,1281,225.17K,225.17K,NEW,0.06%
01609W102,BABA,ALIBABA GROUP HLDG LTD,2282,2282,219.03K,219.03K,NEW,0.06%
46137V472,XMHQ,INVESCO EXCHANGE TRADED FD T,1873,1873,211.38K,211.38K,NEW,0.06%
30225T102,EXR,EXTRA SPACE STORAGE INC,1452,1452,210.98K,210.98K,NEW,0.06%
759530108,RELX,RELX PLC,6661,6661,210.95K,210.95K,NEW,0.06%
57636Q104,MA,MASTERCARD INCORPORATED,1109,410,569.58K,210.58K,+58.7%,0.16%
24703L202,DELL,DELL TECHNOLOGIES INC,487,487,210.11K,210.11K,NEW,0.06%
464287655,IWM,ISHARES TR,688,688,206.62K,206.62K,NEW,0.06%
16119P108,CHTR,CHARTER COMMUNICATIONS INC,1451,1451,206.35K,206.35K,NEW,0.06%
25459W458,SOXL,DIREXION SHARES ETF TRUST,752,752,200.57K,200.57K,NEW,0.05%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,3543,3543,200.11K,200.11K,NEW,0.05%
G5960L103,MDT,MEDTRONIC PLC,12634,2529,988.36K,197.84K,+25%,0.27%
37960A438,CLIP,GLOBAL X FDS,5190,1908,520.76K,191.45K,+58.1%,0.14%
002824100,ABT,ABBOTT LABORATORIES,4183,2050,379.6K,186.03K,+96.1%,0.1%
594918104,MSFT,MICROSOFT CORP,21914,498,8.17M,185.77K,+2.3%,2.2%
02072Q531,AFOS,EA SERIES TRUST,17120,3919,798.59K,182.81K,+29.7%,0.22%
718172109,PM,PHILIP MORRIS INTL INC,13448,995,2.43M,180K,+8%,0.67%
681919106,OMC,OMNICOM GROUP INC,5931,2339,431.99K,170.36K,+65.1%,0.12%
025816109,AXP,AMERICAN EXPRESS CO,2600,479,879.49K,162.03K,+22.6%,0.24%
855244109,SBUX,STARBUCKS CORP,9529,1549,973.8K,158.3K,+19.4%,0.27%
30231G102,XOM,EXXON MOBIL CORP,17109,1131,2.34M,154.63K,+7.1%,0.64%
922042775,VEU,VANGUARD INTL EQUITY INDEX F,8303,1783,695.38K,149.33K,+27.3%,0.19%
46625H100,JPM,JPMORGAN CHASE & CO,7347,442,2.4M,144.69K,+6.4%,0.66%
465562106,ITUB,ITAU UNIBANCO HLDG S A,58965,17534,481.74K,143.25K,+42.3%,0.13%
44980X109,IPGP,IPG PHOTONICS CORP,3986,1188,467.64K,139.38K,+42.5%,0.13%
693506107,PPG,PPG INDS INC,4440,1130,538.55K,137.06K,+34.1%,0.15%
617446448,MS,MORGAN STANLEY,6324,651,1.32M,136.09K,+11.5%,0.36%
031162100,AMGN,AMGEN INC,1720,374,622.83K,135.43K,+27.8%,0.17%
110448107,BTI,BRITISH AMERN TOB PLC,37157,2140,2.29M,132.17K,+6.1%,0.63%
194162103,CL,COLGATE PALMOLIVE CO,5455,1422,500.1K,130.36K,+35.3%,0.14%
29273V100,ET,ENERGY TRANSFER L P,83981,6675,1.61M,127.63K,+8.6%,0.44%
682680103,OKE,ONEOK INC NEW,6620,1461,575.58K,127.03K,+28.3%,0.16%
886364231,GRNY,TIDAL TRUST I,65478,4582,1.81M,126.69K,+7.5%,0.49%
29476L107,EQR,EQUITY RESIDENTIAL,6340,1822,430.7K,123.78K,+40.3%,0.12%
090572207,BIO,BIO RAD LABS INC,1930,384,566.67K,112.75K,+24.8%,0.15%
256677105,DG,DOLLAR GEN CORP,6105,926,702.73K,106.59K,+17.9%,0.19%
405552100,HLN,HALEON PLC,52974,11391,494.25K,106.28K,+27.4%,0.14%
742718109,PG,PROCTER & GAMBLE CO,3273,724,480.01K,106.18K,+28.4%,0.13%
02319V103,ABEV,AMBEV SA,227158,33727,713.28K,105.9K,+17.4%,0.19%
67077M108,NTR,NUTRIEN LTD,8659,1679,545.08K,105.69K,+24.1%,0.15%
74340W103,PLD,PROLOGIS INC.,3177,764,430.33K,103.49K,+31.7%,0.12%
904767803,UL,UNILEVER PLC,10950,1692,658.33K,101.73K,+18.3%,0.18%
254687106,DIS,DISNEY WALT CO,5358,1042,515.74K,100.3K,+24.1%,0.14%
80004C200,SNDK,SANDISK CORP,445,44,1.01M,100.04K,+11%,0.28%
G96629103,WTW,WILLIS TOWERS WATSON PLC LTD,3280,378,857.29K,98.8K,+13%,0.23%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,658,195,326.85K,96.86K,+42.1%,0.09%
62955J103,NOV,NOV INC,28542,5211,529.46K,96.66K,+22.3%,0.14%
G65431127,NE,NOBLE CORP PLC,11868,2509,442.68K,93.59K,+26.8%,0.12%
68389X105,ORCL,ORACLE CORP,10402,619,1.52M,90.72K,+6.3%,0.42%
539439109,LYG,LLOYDS BANKING GROUP PLC,130781,15527,762.45K,90.52K,+13.5%,0.21%
023135106,AMZN,AMAZON COM INC,19778,373,4.71M,88.9K,+1.9%,1.3%
344419106,FMX,FOMENTO ECONOMICO MEXICANO S,7679,685,982.19K,87.62K,+9.8%,0.27%
149123101,CAT,CATERPILLAR INC,1636,77,1.74M,82.01K,+4.9%,0.48%
913903100,UHS,UNIVERSAL HLTH SVCS INC,4085,530,607.37K,78.8K,+14.9%,0.17%
36828A101,GEV,GE VERNOVA INC,1181,66,1.39M,77.55K,+5.9%,0.38%
922908751,VB,VANGUARD INDEX FDS,2596,241,786.9K,73.05K,+10.2%,0.22%
90353T100,UBER,UBER TECHNOLOGIES INC,4091,990,295.21K,71.44K,+31.9%,0.08%
74762E102,PWR,QUANTA SVCS INC,1443,98,1.04M,70.58K,+7.3%,0.28%
302130109,EXPD,EXPEDITORS INTL WASH INC,4831,428,787.3K,69.75K,+9.7%,0.22%
532457108,LLY,ELI LILLY & CO,4391,57,5.27M,68.37K,+1.3%,1.4%
088606108,BHP,BHP BILLITON LIMITED,4304,820,358.57K,68.31K,+23.5%,0.1%
580135101,MCD,MCDONALDS CORP,6727,245,1.82M,66.22K,+3.8%,0.5%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,1813,157,700.98K,60.7K,+9.5%,0.19%
464289438,IWY,ISHARES TR,1333,177,387.37K,51.44K,+15.3%,0.11%
N07059210,ASML,ASML HLDG NV,311,25,618.72K,49.74K,+8.7%,0.17%
921946406,VYM,VANGUARD WHITEHALL FDS,3202,312,506.03K,49.31K,+10.8%,0.14%
46138E354,SPLV,INVESCO EXCH TRADED FD TR II,6346,637,475.35K,47.71K,+11.2%,0.13%
512807306,LRCX,LAM RESEARCH CORP,4137,107,1.79M,46.37K,+2.7%,0.49%
75513E101,RTX,RTX CORPORATION,9077,244,1.72M,46.29K,+2.8%,0.47%
780259305,SHEL,SHELL PLC,8513,573,660.12K,44.43K,+7.2%,0.18%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,45584,1293,1.52M,43.04K,+2.9%,0.41%
06849F108,B,BARRICK MNG CORP,29611,1063,1.09M,39.04K,+3.7%,0.3%
02079K107,GOOG,ALPHABET INC,10201,102,3.6M,36.04K,+1%,0.99%
931142103,WMT,WALMART INC,15205,314,1.72M,35.56K,+2.1%,0.47%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,2052,141,436.6K,30K,+7.4%,0.12%
78467Y107,MDY,STATE STR SPDR S&P MIDCAP 40,1655,42,1.16M,29.54K,+2.6%,0.32%
92343V104,VZ,VERIZON COMMUNICATIONS INC,14624,683,619.18K,28.92K,+4.9%,0.17%
060505104,BAC,BANK OF AMER CORP,24385,489,1.39M,27.86K,+2%,0.38%
808524300,SCHG,SCHWAB STRATEGIC TR,94155,784,3.19M,26.53K,+0.8%,0.87%
806857108,SLB,SLB LIMITED,16250,543,755.46K,25.24K,+3.5%,0.21%
191216100,KO,COCA COLA CO,9061,263,736.41K,21.37K,+3%,0.2%
464287804,IJR,ISHARES TR,4289,141,636.1K,20.91K,+3.4%,0.17%
301505475,NUKZ,EXCHANGE TRADED CONCEPTS TRU,4069,293,277.36K,19.97K,+7.8%,0.08%
