CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,76000,76000,36.3M,36.3M,NEW,8.8%
146869102,CVNA,CARVANA CO,495000,403000,32.58M,26.53M,+438%,7.9%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,61000,11500,28.01M,5.28M,+23.2%,6.8%
57636Q104,MA,MASTERCARD INCORPORATED,53500,4000,27.48M,2.05M,+8.1%,6.7%
58733R102,MELI,MERCADOLIBRE INC,20700,1200,35.14M,2.04M,+6.2%,8.6%
30303M102,META,META PLATFORMS INC,64500,3500,36.33M,1.97M,+5.7%,8.8%
N07059210,ASML,ASML HLDG NV,19500,0,38.79M,0,NO CHANGE,9.4%
82509L107,SHOP,SHOPIFY INC,230000,0,26.26M,0,NO CHANGE,6.4%
22266T109,CPNG,COUPANG INC,1465000,0,25.45M,0,NO CHANGE,6.2%
92826C839,V,VISA INC,63000,0,21.61M,0,NO CHANGE,5.3%
771049103,RBLX,ROBLOX CORP,310000,0,16.86M,0,NO CHANGE,4.1%
90353T100,UBER,UBER TECHNOLOGIES INC,230000,0,16.6M,0,NO CHANGE,4%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,305000,-80000,12.39M,-3.25M,-20.8%,3%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,95000,-54500,11.69M,-6.71M,-36.5%,2.8%
023135106,AMZN,AMAZON COM INC,190000,-40000,45.28M,-9.53M,-17.4%,11%
Total,,,,,410.76M,54.67M,+14.7%,100%
