CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287523,SOXX,ISHARES TR,12961,12961,8.3M,8.3M,NEW,9.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,5224,5224,3.03M,3.03M,NEW,3.6%
458140100,INTC,INTEL CORP,18399,18399,2.57M,2.57M,NEW,3.1%
573874104,MRVL,MARVELL TECHNOLOGY INC,7002,7002,2.09M,2.09M,NEW,2.5%
861012102,STM,STMICROELECTRONICS N V,25606,25606,1.92M,1.92M,NEW,2.3%
093712107,BE,BLOOM ENERGY CORP,6040,6040,1.83M,1.83M,NEW,2.2%
46090E103,QQQ,INVESCO QQQ TR,2200,2200,1.62M,1.62M,NEW,1.9%
747525103,QCOM,QUALCOMM INC,6953,6953,1.28M,1.28M,NEW,1.5%
219350105,GLW,CORNING INC,4360,4360,1.11M,1.11M,NEW,1.3%
958102105,WDC,WESTERN DIGITAL CORP,1739,1739,1.11M,1.11M,NEW,1.3%
882508104,TXN,TEXAS INSTRS INC,3110,3110,927K,927K,NEW,1.1%
054540208,ACLS,AXCELIS TECHNOLOGIES INC,4341,4341,822.4K,822.4K,NEW,0.98%
816850101,SMTC,SEMTECH CORP,4716,4716,763.28K,763.28K,NEW,0.91%
654902204,NOK,NOKIA CORP,48404,48404,642.8K,642.8K,NEW,0.77%
00760J108,AEHR,AEHR TEST SYS,5188,5188,498.36K,498.36K,NEW,0.59%
63942X106,NVTS,NAVITAS SEMICONDUCTOR CORP,27607,27607,494.72K,494.72K,NEW,0.59%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,501,501,85.6K,85.6K,NEW,0.1%
595112103,MU,MICRON TECHNOLOGY INC,3176,58,3.67M,66.95K,+1.9%,4.4%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,1298,0,969.31K,0,NO CHANGE,1.2%
02079K305,GOOGL,ALPHABET INC,776,0,277.32K,0,NO CHANGE,0.33%
464286772,EWY,ISHARES INC,0,-1067,0,-131.25K,CLOSE,0%
11135F101,AVGO,BROADCOM INC,2102,-756,794.03K,-285.58K,-26.5%,0.95%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,2001,-395,1.93M,-381.18K,-16.5%,2.3%
023135106,AMZN,AMAZON COM INC,7438,-2016,1.77M,-480.49K,-21.3%,2.1%
30303M102,META,META PLATFORMS INC,1777,-1241,1M,-699.04K,-41.1%,1.2%
880770102,TER,TERADYNE INC,4434,-1791,2.15M,-866.56K,-28.8%,2.6%
18915M107,NET,CLOUDFLARE INC,6390,-3569,1.57M,-875.4K,-35.8%,1.9%
594918104,MSFT,MICROSOFT CORP,1959,-3104,730.75K,-1.16M,-61.3%,0.87%
925550105,VIAV,VIAVI SOLUTIONS INC,15890,-29226,758.75K,-1.4M,-64.8%,0.9%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,2395,-1834,1.83M,-1.4M,-43.4%,2.2%
N07059210,ASML,ASML HLDG NV,585,-820,1.16M,-1.63M,-58.4%,1.4%
037833100,AAPL,APPLE INC,1274,-5746,368.64K,-1.66M,-81.9%,0.44%
92537N108,VRT,VERTIV HOLDINGS CO,7928,-4998,2.65M,-1.67M,-38.7%,3.2%
02079K107,GOOG,ALPHABET INC,6601,-5427,2.33M,-1.92M,-45.1%,2.8%
67066G104,NVDA,NVIDIA CORPORATION,14129,-9775,2.83M,-1.96M,-40.9%,3.4%
36828A101,GEV,GE VERNOVA INC,1993,-1745,2.34M,-2.05M,-46.7%,2.8%
88160R101,TSLA,TESLA INC,2317,-5151,974.53K,-2.17M,-69%,1.2%
512807306,LRCX,LAM RESEARCH CORP,8772,-5373,3.8M,-2.33M,-38%,4.5%
171779309,CIEN,CIENA CORP,3765,-5471,1.85M,-2.68M,-59.2%,2.2%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,4794,-11511,1.25M,-3M,-70.6%,1.5%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,7928,-6463,3.79M,-3.09M,-44.9%,4.5%
19247G107,COHR,COHERENT CORP,5744,-8666,2.27M,-3.42M,-60.1%,2.7%
55024U109,LITE,LUMENTUM HLDGS INC,2940,-4060,2.52M,-3.48M,-58%,3%
038222105,AMAT,APPLIED MATLS INC,4480,-5662,3.24M,-4.09M,-55.8%,3.9%
80004C200,SNDK,SANDISK CORP,2617,-3266,5.95M,-7.43M,-55.5%,7.1%
Total,,,,,83.87M,-21.08M,-31.4%,100%
