CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,18470,18470,6.58M,6.58M,NEW,11.3%
24703L202,DELL,DELL TECHNOLOGIES INC,8000,8000,3.24M,3.24M,NEW,5.6%
037833100,AAPL,APPLE INC,8485,5700,2.58M,1.73M,+204.7%,4.4%
023135106,AMZN,AMAZON COM INC,8891,6500,2.34M,1.71M,+271.9%,4%
093712107,BE,BLOOM ENERGY CORP,7100,7100,1.52M,1.52M,NEW,2.6%
136385101,CNQ,CANADIAN NAT RES LTD MED TER,33500,33500,1.32M,1.32M,NEW,2.3%
871607107,SNPS,SYNOPSYS INC,5000,3000,1.94M,1.17M,+150%,3.3%
21036P108,STZ,CONSTELLATION BRANDS INC,34000,34000,1.08M,1.08M,NEW,1.9%
71654V101,PBRA,PETROLEO BRASILEIRO S A,65000,65000,951.6K,951.6K,NEW,1.6%
632307104,NTRA,NATERA INC,6500,3400,1.76M,922.93K,+109.7%,3%
867224107,SU,SUNCOR ENERGY INC NEW,13000,13000,697.84K,697.84K,NEW,1.2%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,705,705,680.33K,680.33K,NEW,1.2%
80004C200,SNDK,SANDISK CORP,312,212,709.4K,482.03K,+212%,1.2%
247361702,DAL,DELTA AIR LINES INC,8100,5100,758.65K,477.67K,+170%,1.3%
464286772,EWY,ISHARES INC,2000,2000,403.8K,403.8K,NEW,0.69%
95040Q104,WELL,WELLTOWER INC,6000,1600,1.36M,363.15K,+36.4%,2.3%
926400102,VSCO,VICTORIAS SECRET AND CO,4200,4200,350.62K,350.62K,NEW,0.6%
37954Y830,COPX,GLOBAL X FDS,4100,4000,315.58K,307.88K,+4000%,0.54%
N97284108,NBIS,NEBIUS GROUP N.V.,1100,1100,303.79K,303.79K,NEW,0.52%
969904101,WSM,WILLIAMS SONOMA INC,1300,1300,303.03K,303.03K,NEW,0.52%
V7780T103,RCL,ROYAL CARIBBEAN GROUP ISIN: LR0008862868,1662,950,527.74K,301.65K,+133.4%,0.91%
18507C103,CLPT,CLEARPOINT NEURO INC,15500,15500,276.52K,276.52K,NEW,0.48%
40131M109,GH,GUARDANT HEALTH INC,1700,1700,255.05K,255.05K,NEW,0.44%
N30577105,ZGN,ERMENEGILDO ZEGNA N V,17000,17000,221.34K,221.34K,NEW,0.38%
925815102,VICR,VICOR CORP,500,500,189.89K,189.89K,NEW,0.33%
861012102,STM,STMICROELECTRONICS N V,2500,2500,187.22K,187.22K,NEW,0.32%
