CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
808513105,SCHW,SCHWAB CHARLES CORP NEW,600673,320248,55.42M,29.55M,+114.2%,2%
36118L106,FUTU,FUTU HLDGS LTD,1500000,274000,140.61M,25.68M,+22.3%,5.1%
30303M102,META,FACEBOOK INC,36688,33215,20.67M,18.71M,+956.4%,0.75%
66987E206,NG,NOVAGOLD RES INC,4685414,2685413,27.97M,16.03M,+134.3%,1%
46050R102,THM,INTERNATIONAL TOWER HILL MIN,16074898,6074898,31.99M,12.09M,+60.7%,1.2%
090168105,BLLN,BILLIONTOONE INC,71625,71625,8.59M,8.59M,NEW,0.31%
03463K752,UYLD,ANGEL OAK FUNDS TRUST,441937,124702,22.54M,6.36M,+39.3%,0.82%
70432V102,PAYC,PAYCOM SOFTWARE INC,40723,40723,5.12M,5.12M,NEW,0.19%
922908629,VO,VANGUARD INDEX FDS MID CAP,56453,42339,4.55M,3.41M,+300%,0.17%
57060D108,MKTX,MARKETAXESS HLDGS INC,26934,26934,3.06M,3.06M,NEW,0.11%
46641Q159,JPIE,J P MORGAN EXCHANGE TRADED F,398349,52159,18.34M,2.4M,+15.1%,0.67%
70450Y103,PYPL,PAYPAL HLDGS INC,507395,51872,21.91M,2.24M,+11.4%,0.8%
47103U746,JSI,JANUS DETROIT STR TR,477767,36402,24.47M,1.86M,+8.2%,0.89%
46429B747,STIP,ISHARES TR,109741,13830,11.21M,1.41M,+14.4%,0.41%
46654Q559,JFLX,J P MORGAN EXCHANGE TRADED F,81112,27767,4.09M,1.4M,+52.1%,0.15%
13321L108,CCJ,CAMECO CORP,250038,12674,25.47M,1.29M,+5.3%,0.93%
91531W106,TIGR,UP FINTECH HLDG LTD,292000,292000,1.28M,1.28M,NEW,0.05%
256163106,DOCU,DOCUSIGN INC,120835,27855,5.37M,1.24M,+30%,0.2%
03463K760,CARY,ANGEL OAK FUNDS TRUST,490759,46210,10.2M,960.25K,+10.4%,0.37%
482480100,KLAC,KLA-TENCOR CORP,3051,2718,920K,819.59K,+816.2%,0.03%
22160K105,COST,COSTCO WHSL CORP NEW,2000,651,1.87M,609.01K,+48.3%,0.07%
573874104,MRVL,MARVELL TECHNOLOGY INC,1904,1904,567K,567K,NEW,0.02%
02072L433,ROE,EA SERIES TRUST,300089,10008,12.79M,426.65K,+3.5%,0.47%
697435105,PANW,PALO ALTO NETWORKS INC,1187,1187,405K,405K,NEW,0.01%
007903107,AMD,ADVANCED MICRO DEVICES INC,682,682,396K,396K,NEW,0.01%
92204A702,VGT,VANGUARD WORLD FDS INF TECH,3658,3201,437K,382.4K,+700.4%,0.02%
47103U852,JMBS,JANUS DETROIT STR TR,14403,8030,648K,361.27K,+126%,0.02%
464287614,IWF,ISHARES TR RUS 1000 GRW,3600,2700,447K,335.25K,+300%,0.02%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,6531,646,3.27M,323.25K,+11%,0.12%
91680M107,UPST,UPSTART HLDGS INC,9091,9091,322K,322K,NEW,0.01%
199908104,FIX,COMFORT SYS USA INC,159,159,316K,316K,NEW,0.01%
47103U845,JAAA,JANUS DETROIT STR TR HENDRSON AAA,238710,5879,12.05M,296.82K,+2.5%,0.44%
84265V105,SCCO,SOUTHERN COPPER CORP,1696,1696,295K,295K,NEW,0.01%
724078100,PIPR,PIPER JAFFRAY COS,420805,4036,30.44M,291.96K,+1%,1.1%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,370,370,282K,282K,NEW,0.01%
042068205,ARM,ARM HOLDINGS PLC,735,735,261K,261K,NEW,<.01%
247361702,DAL,DELTA AIR LINES INC DEL,2685,2685,251K,251K,NEW,<.01%
670346105,NUE,NUCOR CORP,1108,1108,247K,247K,NEW,<.01%
747525103,QCOM,QUALCOMM INC,1310,1310,242K,242K,NEW,<.01%
293828877,XOVR,ENTREPRENEURSHARES SERIES TR,10490,10490,221K,221K,NEW,<.01%
025537101,AEP,AMERICAN ELEC PWR CO INC,1592,1592,218K,218K,NEW,<.01%
036752103,ELV,ANTHEM INC,561,561,217K,217K,NEW,<.01%
025072349,AVLV,AMERICAN CENTY TR US LARGE CAP VLU,164554,2361,15.01M,215.35K,+1.5%,0.55%
37954Y632,AIQ,GLOBAL X FDS,3244,3244,213K,213K,NEW,<.01%
025072877,AVUV,AMERICAN CENTY TR US SML CP VALU,107107,1698,13.36M,211.85K,+1.6%,0.49%
56585A102,MPC,MARATHON PETE CORP,789,789,202K,202K,NEW,<.01%
00123Q104,AGNC,AGNC INVT CORP,16021,16021,175K,175K,NEW,<.01%
68389X105,ORCL,ORACLE CORP,188040,1161,27.56M,170.14K,+0.6%,1%
358054104,FRSH,FRESHWORKS INC,13537,13537,137K,137K,NEW,<.01%
00775Y645,SAMT,ADVISORS INNER CIRCLE FD III,284924,2661,13.6M,127.02K,+0.9%,0.5%
053604104,AVPT,AVEPOINT INC COM,10288,10288,115K,115K,NEW,<.01%
92343V104,VZ,VERIZON COMMUNICATIONS INC,41617,2544,1.76M,107.71K,+6.5%,0.06%
025072703,AVDE,AMERICAN CENTY ETF TR,76825,1128,6.85M,100.62K,+1.5%,0.25%
00090Q103,ADT,ADT INC DEL,14949,14949,97K,97K,NEW,<.01%
47759T100,JKS,JINKOSOLAR HLDG CO LTD,15320,4870,257K,81.7K,+46.6%,<.01%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,2163,365,484K,81.67K,+20.3%,0.02%
67066G104,NVDA,NVIDIA CORP,135666,383,27.14M,76.63K,+0.3%,0.99%
45259A258,GRNJ,TIDAL TRUST III,58084,2425,1.83M,76.24K,+4.4%,0.07%
33737A108,GRID,FIRST TR NASDQ CLN EDGE,6691,369,1.28M,70.76K,+5.8%,0.05%
907818108,UNP,UNION PAC CORP,2040,257,555K,69.92K,+14.4%,0.02%
74168J101,PRME,PRIME MEDICINE INC,768001,18000,2.83M,66.42K,+2.4%,0.1%
G6700G107,NVT,NVENT ELECTRIC PLC,7479,367,1.27M,62.22K,+5.2%,0.05%
46138G649,QQQM,INVESCO EXCH TRADED FD TR II,3983,205,1.21M,62.12K,+5.4%,0.04%
78464A763,SDY,SPDR SERIES TRUST S&P DIVID,3151,375,480K,57.12K,+13.5%,0.02%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC N,230,26,478K,54.03K,+12.7%,0.02%
742718109,PG,PROCTER AND GAMBLE CO,6786,350,995K,51.32K,+5.4%,0.04%
494368103,KMB,KIMBERLY CLARK CORP,6718,425,737K,46.62K,+6.8%,0.03%
30231G102,XOM,EXXON MOBIL CORP,12090,337,1.65M,46.08K,+2.9%,0.06%
78464A474,SPSB,SPDR SERIES TRUST PORTFOLIO SHORT,43055,1500,1.29M,45.01K,+3.6%,0.05%
886364231,GRNY,TIDAL TRUST I,28668,1623,793K,44.89K,+6%,0.03%
