CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,12935100,12935100,2.21B,2.21B,NEW,51.8%
15675D103,CBRS,CEREBRAS SYSTEMS INC,1081283,1081283,238.96M,238.96M,NEW,5.6%
464285204,IAU,ISHARES GOLD TR,1980085,1980085,149.52M,149.52M,NEW,3.5%
64110L106,NFLX,NETFLIX INC.,1104000,1104000,78.83M,78.83M,NEW,1.8%
09857L108,BKNG,BOOKING HOLDINGS INC,414600,379672,73.9M,67.67M,+1087%,1.7%
023135106,AMZN,AMAZON COM INC,982839,265300,234.25M,63.23M,+37%,5.5%
31556C106,FRVO,FERVO ENERGY CO,1255365,1255365,36.69M,36.69M,NEW,0.86%
55024U109,LITE,LUMENTUM HLDGS INC,27243,27243,23.38M,23.38M,NEW,0.55%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,732022,45226,349.59M,21.6M,+6.6%,8.2%
30303M102,META,META PLATFORMS INC,214504,19950,120.83M,11.24M,+10.3%,2.8%
67066G104,NVDA,NVIDIA CORPORATION,787721,43930,157.62M,8.79M,+5.9%,3.7%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,3044612,0,101.36M,0,NO CHANGE,2.4%
370920100,GENB,GENERATE BIOMEDICINES INC,1111100,0,18.74M,0,NO CHANGE,0.44%
88025U109,TXG,10X GENOMICS INC,170000,0,6.52M,0,NO CHANGE,0.15%
74623V111,PCTTW,PURECYCLE TECHNOLOGIES INC,714285,0,1.86M,0,NO CHANGE,0.04%
G3643J108,FLUT,FLUTTER ENTMT PLC,0,-80341,0,-8.19M,CLOSE,0%
98954M101,ZG,ZILLOW GROUP INC,0,-284800,0,-11.79M,CLOSE,0%
98954M200,Z,ZILLOW GROUP INC,0,-562045,0,-23.26M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,392265,-120800,146.32M,-45.06M,-23.5%,3.4%
11135F101,AVGO,BROADCOM INC,338346,-135570,127.81M,-51.21M,-28.6%,3%
02079K305,GOOGL,ALPHABET INC,462160,-154800,165.16M,-55.32M,-25.1%,3.9%
78463V107,GLD,SPDR GOLD TR,58862,-405588,21.68M,-149.41M,-87.3%,0.51%
907818108,UNP,UNION PAC CORP,0,-634376,0,-153.91M,CLOSE,0%
Total,,,,,4.26B,2.41B,+132.8%,100%
