CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,130000,130000,30.98M,30.98M,NEW,6.3%
92826C839,V,VISA INC,70000,70000,24.02M,24.02M,NEW,4.9%
36118L106,FUTU,FUTU HLDGS LTD,315000,215000,29.53M,20.15M,+215%,6%
05605H100,BWXT,BWX TECHNOLOGIES INC,80000,80000,15.57M,15.57M,NEW,3.2%
03831W108,APP,APPLOVIN CORP,20000,20000,10.3M,10.3M,NEW,2.1%
70450C101,PAYP,PAYPAY CORP,500000,500000,7.17M,7.17M,NEW,1.5%
771049103,RBLX,ROBLOX CORP,315000,115000,17.13M,6.25M,+57.5%,3.5%
89677Q107,TCOM,TRIP COM GROUP LTD,605000,-55000,24.1M,-2.19M,-8.3%,4.9%
48553T106,BZ,KANZHUN LTD,0,-300000,0,-4.02M,CLOSE,0%
H5919C104,ONON,ON HLDG AG,0,-300000,0,-10.21M,CLOSE,0%
55024U109,LITE,LUMENTUM HOLDINGS INC,0,-20000,0,-14.06M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,0,-150000,0,-15.33M,CLOSE,0%
770700102,HOOD,ROBINHOOD MKTS INC,210000,-157000,21.06M,-15.74M,-42.8%,4.3%
30303M102,META,META PLATFORMS INC,157500,-31500,88.72M,-17.74M,-16.7%,18%
02079K107,GOOG,ALPHABET INC,213000,-82000,75.26M,-28.97M,-27.8%,15.3%
25809K105,DASH,DOORDASH INC,0,-210000,0,-31.53M,CLOSE,0%
67066G104,NVDA,NVIDIA CORP,0,-315000,0,-54.94M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,70000,-160000,25.02M,-57.18M,-69.6%,5.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,210000,-126000,100.29M,-60.17M,-37.5%,20.3%
595112103,MU,MICRON TECHNOLOGY INC,21000,-86000,24.24M,-99.27M,-80.4%,4.9%
Total,,,,,493.39M,-296.9M,-47.7%,100%
