CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
N07059210,ASML,ASML HLDG NV,34719,25116,69.07M,49.97M,+261.5%,4.2%
482480100,KLAC,KLA CORP,130835,115963,39.47M,34.99M,+779.7%,2.4%
573874104,MRVL,MARVELL TECHNOLOGY INC,44521,44521,13.26M,13.26M,NEW,0.81%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,45487,45487,11.86M,11.86M,NEW,0.73%
165167735,EXE,EXPAND ENERGY CORPORATION,239197,95492,21.81M,8.71M,+66.5%,1.3%
02079K305,GOOGL,ALPHABET INC,22466,22466,8.03M,8.03M,NEW,0.49%
26884L109,EQT,EQT CORP,438294,142618,23.3M,7.58M,+48.2%,1.4%
36118L106,FUTU,FUTU HLDGS LTD,132025,63144,12.38M,5.92M,+91.7%,0.76%
36165L108,GDS,GDS HLDGS LTD,190553,190553,5.72M,5.72M,NEW,0.35%
958102105,WDC,WESTERN DIGITAL CORP,8303,8303,5.3M,5.3M,NEW,0.33%
172573107,CRCL,CIRCLE INTERNET GROUP INC,149752,82378,9.38M,5.16M,+122.3%,0.58%
15675D103,CBRS,CEREBRAS SYSTEMS INC,21196,21196,4.68M,4.68M,NEW,0.29%
21873S108,CRWV,COREWEAVE INC,429274,43276,42.73M,4.31M,+11.2%,2.6%
020398707,ALMTF,ALMONTY INDS INC,270895,253430,4.49M,4.2M,+1451.1%,0.28%
04626A103,ALAB,ASTERA LABS INC,6628,6628,3.2M,3.2M,NEW,0.2%
443628102,HBM,HUDBAY MINERALS INC,131167,131167,3.1M,3.1M,NEW,0.19%
296006109,ERO,ERO COPPER CORP,102831,102831,2.75M,2.75M,NEW,0.17%
156431108,CENX,CENTURY ALUM CO,70667,55391,3.25M,2.55M,+362.6%,0.2%
012653101,ALB,ALBEMARLE CORP,230095,18672,31.07M,2.52M,+8.8%,1.9%
46429B309,EIDO,ISHARES TR,208850,208850,2.36M,2.36M,NEW,0.14%
G5331N101,KYIV,KYIVSTAR GROUP LTD,145000,145000,2.34M,2.34M,NEW,0.14%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,15773,15773,2.34M,2.34M,NEW,0.14%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,40985,40985,2.04M,2.04M,NEW,0.13%
