CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,1177203,1177203,201.14M,201.14M,NEW,5.3%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,264296,264296,126.22M,126.22M,NEW,3.3%
46120E602,ISRG,INTUITIVE SURGICAL INC,419329,139422,166.76M,55.45M,+49.8%,4.4%
02079K305,GOOGL,ALPHABET INC,1380352,142163,493.3M,50.8M,+11.5%,13.1%
26701L100,BROS,DUTCH BROS INC,598044,598044,42.95M,42.95M,NEW,1.1%
594918104,MSFT,MICROSOFT CORP,524265,81754,195.56M,30.5M,+18.5%,5.2%
88160R101,TSLA,TESLA INC,1228138,72118,516.55M,30.33M,+6.2%,13.7%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,1111480,133527,129.68M,15.58M,+13.7%,3.4%
57636Q104,MA,MASTERCARD INCORPORATED,142097,30182,72.98M,15.5M,+27%,1.9%
92826C839,V,VISA INC,257309,42660,88.28M,14.64M,+19.9%,2.3%
852234103,XYZ,BLOCK INC,2682854,172848,203.9M,13.14M,+6.9%,5.4%
22160K105,COST,COSTCO WHOLESALE CORPORATION,68762,5656,64.32M,5.29M,+9%,1.7%
67066G104,NVDA,NVIDIA CORPORATION,1270234,-14478,254.16M,-2.9M,-1.1%,6.7%
05464C101,AXON,AXON ENTERPRISE INC,213509,-7447,119.7M,-4.17M,-3.4%,3.2%
81762P102,NOW,SERVICENOW INC,274946,-88120,27.3M,-8.75M,-24.3%,0.72%
N07059210,ASML,ASML HLDG NV,137309,-12304,273.17M,-24.48M,-8.2%,7.2%
461202103,INTU,INTUIT,0,-90106,0,-38.96M,CLOSE,0%
30303M102,META,META PLATFORMS INC,474893,-92082,267.5M,-51.87M,-16.2%,7.1%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,107725,-128932,49.46M,-59.2M,-54.5%,1.3%
023135106,AMZN,AMAZON COM INC,1227545,-250470,292.57M,-59.7M,-16.9%,7.8%
042068205,ARM,ARM HOLDINGS PLC,531331,-1067206,188.39M,-378.4M,-66.8%,5%
Total,,,,,3.77B,-26.9M,-0.9%,100%
