CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92189F676,SMH,VANECK ETF TRUST,17372,17372,11.39M,11.39M,NEW,1%
482480100,KLAC,KLA CORP,23230,20922,7.01M,6.31M,+906.5%,0.62%
922908736,VUG,VANGUARD INDEX FDS,85781,70922,7.39M,6.11M,+477.3%,0.65%
921910709,EDV,VANGUARD WORLD FD,122588,79101,7.98M,5.15M,+181.9%,0.7%
92206C102,VGSH,VANGUARD SCOTTSDALE FDS,171380,81618,9.97M,4.75M,+90.9%,0.88%
78463V107,GLD,SPDR GOLD TR,16163,10729,5.95M,3.95M,+197.4%,0.53%
30303M102,META,META PLATFORMS INC,25278,5452,14.24M,3.07M,+27.5%,1.3%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,69615,69615,2.32M,2.32M,NEW,0.2%
92204A702,VGT,VANGUARD WORLD FD,22459,17654,2.68M,2.11M,+367.4%,0.24%
09261X102,BXSL,BLACKSTONE SECD LENDING FD,115773,81503,2.74M,1.93M,+237.8%,0.24%
09857L108,BKNG,BOOKING HOLDINGS INC,9575,9192,1.71M,1.64M,+2400%,0.15%
594918104,MSFT,MICROSOFT CORP,52648,3670,19.64M,1.37M,+7.5%,1.7%
12811T571,CAIE,CALAMOS ETF TR,283681,42308,7.72M,1.15M,+17.5%,0.68%
88160R101,TSLA,TESLA INC,30578,2700,12.86M,1.14M,+9.7%,1.1%
Y2573F102,FLEX,FLEX LTD,5541,5541,898.03K,898.03K,NEW,0.08%
314352105,FDXF,FEDEX FGHT HLDG CO INC,5306,5306,801.26K,801.26K,NEW,0.07%
82509L107,SHOP,SHOPIFY INC,20436,6451,2.33M,736.58K,+46.1%,0.21%
82846H405,QXO,QXO INC,43031,30063,743.58K,519.49K,+231.8%,0.07%
43849R105,HONA,HONEYWELL AEROSPACE INC,2349,2349,519.32K,519.32K,NEW,0.05%
64110L106,NFLX,NETFLIX INC.,51612,7093,3.69M,506.44K,+15.9%,0.33%
464288687,PFF,ISHARES TR,15799,15799,481.72K,481.72K,NEW,0.04%
G6683N103,NU,NU HLDGS LTD,33726,33726,450.58K,450.58K,NEW,0.04%
464289867,AOR,ISHARES TR,28027,5936,1.95M,412.55K,+26.9%,0.17%
26614N201,DD,DUPONT DE NEMOURS INC,2968,2968,402.58K,402.58K,NEW,0.04%
550021109,LULU,LULULEMON ATHLETICA INC,5686,3130,649.23K,357.38K,+122.5%,0.06%
343412102,FLR,FLUOR CORP,6758,6758,354.07K,354.07K,NEW,0.03%
71531T105,PSUS,PERSHING SQUARE USA LTD,9085,9085,339.6K,339.6K,NEW,0.03%
032108722,IDVO,AMPLIFY ETF TR,22959,7490,964.28K,314.58K,+48.4%,0.09%
81369Y704,XLI,SELECT SECTOR SPDR TR,43753,1671,8.1M,309.52K,+4%,0.72%
67092P201,NULG,NUSHARES ETF TR,2584,2584,302.48K,302.48K,NEW,0.03%
958102105,WDC,WESTERN DIGITAL CORP,2268,462,1.45M,295.03K,+25.6%,0.13%
67092P409,NUMG,NUSHARES ETF TR,5877,5877,275.98K,275.98K,NEW,0.02%
464287614,IWF,ISHARES TR,2171,2171,269.59K,269.59K,NEW,0.02%
464288588,MBB,ISHARES TR,2759,2759,260.78K,260.78K,NEW,0.02%
452327109,ILMN,ILLUMINA INC,1416,1416,248.98K,248.98K,NEW,0.02%
45259A258,GRNJ,TIDAL TRUST III,27471,7887,863.69K,247.97K,+40.3%,0.08%
808524300,SCHG,SCHWAB STRATEGIC TR,234282,7109,7.93M,240.57K,+3.1%,0.7%
464288752,ITB,ISHARES TR,2266,2266,236.8K,236.8K,NEW,0.02%
67092P300,NULV,NUSHARES ETF TR,4686,4686,234.25K,234.25K,NEW,0.02%
023135106,AMZN,AMAZON COM INC,87168,970,20.78M,231.19K,+1.1%,1.8%
910047109,UAL,UNITED AIRLS HLDGS INC,1682,1682,228.74K,228.74K,NEW,0.02%
126650100,CVS,CVS HEALTH CORP,2206,2206,228.18K,228.18K,NEW,0.02%
67000B104,NOVT,NOVANTA INC,1379,1379,223.73K,223.73K,NEW,0.02%
55306N104,MKSI,MKS INC.,501,501,222.84K,222.84K,NEW,0.02%
D18190898,DB,DEUTSCHE BK AG,6533,6533,220.56K,220.56K,NEW,0.02%
863667101,SYK,STRYKER CORPORATION,695,695,218.91K,218.91K,NEW,0.02%
464287804,IJR,ISHARES TR,15340,1474,2.28M,218.61K,+10.6%,0.2%
921910840,MGV,VANGUARD WORLD FD,1333,1333,217.94K,217.94K,NEW,0.02%
09260K101,BSTZ,BLACKROCK SCIENCE & TECHNOLO,7255,7255,217.87K,217.87K,NEW,0.02%
192422103,CGNX,COGNEX CORP,2988,2988,216.39K,216.39K,NEW,0.02%
46138E875,PIZ,INVESCO EXCH TRADED FD TR II,3772,3772,210.85K,210.85K,NEW,0.02%
67092P508,NUMV,NUSHARES ETF TR,4848,4848,210.84K,210.84K,NEW,0.02%
609207105,MDLZ,MONDELEZ INTL INC,3506,3506,202.79K,202.79K,NEW,0.02%
33939L837,IQDF,FLEXSHARES TR,5835,5835,201.66K,201.66K,NEW,0.02%
336920103,FPX,FIRST TR EXCHANGE-TRADED FD,970,970,200K,200K,NEW,0.02%
464287887,IJT,ISHARES TR,1120,1120,199.95K,199.95K,NEW,0.02%
316188309,FBND,FIDELITY MERRIMACK STR TR,4389,4389,199.67K,199.67K,NEW,0.02%
78464A359,CWB,SPDR SERIES TRUST,1843,1843,198.71K,198.71K,NEW,0.02%
620076307,MSI,MOTOROLA SOLUTIONS INC,476,476,197.81K,197.81K,NEW,0.02%
92189F692,PPH,VANECK ETF TRUST,1800,1800,196.83K,196.83K,NEW,0.02%
771049103,RBLX,ROBLOX CORP,24995,3600,1.36M,195.77K,+16.8%,0.12%
337318109,FFA,FIRST TR ENHANCED EQUITY,8754,8754,195.74K,195.74K,NEW,0.02%
464287176,TIP,ISHARES TR,1774,1774,194.15K,194.15K,NEW,0.02%
33733F101,FAD,FIRST TR EXCHANGE-TRADED ALP,970,970,193.97K,193.97K,NEW,0.02%
281020107,EIX,EDISON INTL,2604,2604,193.87K,193.87K,NEW,0.02%
46138E867,PIE,INVESCO EXCH TRADED FD TR II,5766,5766,192.55K,192.55K,NEW,0.02%
