CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
09857L108,BKNG,BOOKING HOLDINGS INC,576500,556940,102.76M,99.27M,+2847.3%,1.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,179500,179500,85.72M,85.72M,NEW,1.5%
58155Q103,MCK,MCKESSON CORP,99680,99680,75.32M,75.32M,NEW,1.3%
888787108,TOST,TOAST INC,1659800,1659800,46.18M,46.18M,NEW,0.79%
G4705A100,ICLR,ICON PUB LTD CO,188000,188000,32.66M,32.66M,NEW,0.56%
46266C105,IQV,IQVIA HLDGS INC,165000,165000,31.88M,31.88M,NEW,0.55%
918284100,VSEC,VSE CORP,119600,119600,27.33M,27.33M,NEW,0.47%
617700109,MORN,MORNINGSTAR INC,284100,149100,44.33M,23.26M,+110.4%,0.76%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,857700,141100,105.59M,17.37M,+19.7%,1.8%
458140100,INTC,INTEL CORP,563200,78200,78.64M,10.92M,+16.1%,1.3%
G2R11M108,DPC,DPC HOLDINGS PLC,965,965,47.34K,47.34K,NEW,<.01%
443201108,HWM,HOWMET AEROSPACE INC,5083600,0,1.37B,0,NO CHANGE,23.4%
02079K305,GOOGL,ALPHABET INC,1509500,0,539.45M,0,NO CHANGE,9.3%
594918104,MSFT,MICROSOFT CORP,403400,0,150.48M,0,NO CHANGE,2.6%
743315103,PGR,PROGRESSIVE CORP,498500,0,108.9M,0,NO CHANGE,1.9%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,322500,0,106.57M,0,NO CHANGE,1.8%
16411R208,LNG,CHENIERE ENERGY INC,424900,0,101.56M,0,NO CHANGE,1.7%
64107A113,NPWRWS,NET POWER INC,453800,-1400,131.6K,-406,-0.3%,<.01%
892672106,TW,TRADEWEB MKTS INC,1004700,-3100,100.13M,-308.95K,-0.3%,1.7%
92826C839,V,VISA INC,946600,-2500,324.77M,-857.72K,-0.3%,5.6%
78409V104,SPGI,S&P GLOBAL INC,107700,-5800,43.86M,-2.36M,-5.1%,0.75%
303250104,FICO,FAIR ISAAC CORP,373500,-11500,446.25M,-13.74M,-3%,7.7%
023135106,AMZN,AMAZON COM INC,978100,-94000,233.12M,-22.4M,-8.8%,4%
81141R100,SE,SEA LTD,408700,-359400,39.17M,-34.44M,-46.8%,0.67%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,0,-2348200,0,-35.13M,CLOSE,0%
03831W108,APP,APPLOVIN CORP,3182850,-101400,1.64B,-52.24M,-3.1%,28.1%
90353T100,UBER,UBER TECHNOLOGIES INC,0,-1276800,0,-91.84M,CLOSE,0%
Total,,,,,5.83B,196.63M,+4%,100%
