CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,7125795,7125795,1.22B,1.22B,NEW,29.1%
G2R11M108,DPC,DPC HOLDINGS PLC,6931158,6931158,340.04M,340.04M,NEW,8.1%
833445109,SNOW,SNOWFLAKE INC,805000,805000,204.87M,204.87M,NEW,4.9%
532457108,LLY,ELI LILLY & CO,112720,112720,135.2M,135.2M,NEW,3.2%
60937P106,MDB,MONGODB INC,417606,380439,140.27M,127.79M,+1023.6%,3.3%
Y2573F102,FLEX,FLEX LTD,354000,354000,57.37M,57.37M,NEW,1.4%
980745103,WWD,WOODWARD INC,299398,124700,127.38M,53.05M,+71.4%,3%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,108897,49697,105.09M,47.96M,+83.9%,2.5%
146869102,CVNA,CARVANA CO,868295,695876,57.15M,45.8M,+403.6%,1.4%
594918104,MSFT,MICROSOFT CORP,136421,120740,50.89M,45.04M,+770%,1.2%
02079K107,GOOG,ALPHABET INC,166260,126660,58.74M,44.75M,+319.8%,1.4%
F21107101,CSTM,CONSTELLIUM SE,2542400,1230000,81.03M,39.2M,+93.7%,1.9%
670346105,NUE,NUCOR CORP,170700,170700,38.02M,38.02M,NEW,0.91%
21873S108,CRWV,COREWEAVE INC,904900,374300,90.07M,37.26M,+70.5%,2.2%
482480100,KLAC,KLA CORP,113000,93120,34.09M,28.1M,+468.4%,0.81%
N97284108,NBIS,NEBIUS GROUP N.V.,100100,100100,27.64M,27.64M,NEW,0.66%
N90064101,QURE,UNIQURE NV,581000,581000,26.76M,26.76M,NEW,0.64%
75513E101,RTX,RTX CORPORATION,469300,72800,89.04M,13.81M,+18.4%,2.1%
156431108,CENX,CENTURY ALUM CO,776700,245000,35.74M,11.27M,+46.1%,0.85%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,6018200,775000,56.51M,7.28M,+14.8%,1.3%
82982L103,SITE,SITEONE LANDSCAPE SUPPLY INC,146101,62000,16.72M,7.09M,+73.7%,0.4%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,787200,59400,69.75M,5.26M,+8.2%,1.7%
023135106,AMZN,AMAZON COM INC,767552,11800,182.94M,2.81M,+1.6%,4.4%
G6683N103,NU,NU HLDGS LTD,2517028,0,33.63M,0,NO CHANGE,0.8%
40131M109,GH,GUARDANT HEALTH INC,129900,0,19.49M,0,NO CHANGE,0.47%
632307104,NTRA,NATERA INC,60800,0,16.5M,0,NO CHANGE,0.39%
546347105,LPX,LOUISIANA PAC CORP,133395,0,10.49M,0,NO CHANGE,0.25%
77311W101,RKT,ROCKET COS INC,602600,0,9.49M,0,NO CHANGE,0.23%
63947X101,NCNO,NCINO INC,0,-140800,0,-2.11M,CLOSE,0%
22266T109,CPNG,COUPANG INC,0,-123200,0,-2.33M,CLOSE,0%
771049103,RBLX,ROBLOX CORP,120800,-58700,6.57M,-3.19M,-32.7%,0.16%
75734B100,RDDT,REDDIT INC,0,-24560,0,-3.31M,CLOSE,0%
31488V107,FERG,FERGUSON ENTERPRISES INC,80710,-15890,19.15M,-3.77M,-16.4%,0.46%
88160R101,TSLA,TESLA INC,0,-12648,0,-4.7M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,855724,-25001,171.22M,-5M,-2.8%,4.1%
36828A101,GEV,GE VERNOVA INC,25905,-4500,30.43M,-5.29M,-14.8%,0.73%
81141R100,SE,SEA LTD,1194356,-57800,114.46M,-5.54M,-4.6%,2.7%
68389X105,ORCL,ORACLE CORP,0,-42600,0,-6.27M,CLOSE,0%
02553E106,AEO,AMERICAN EAGLE OUTFITTERS IN,0,-451400,0,-7.54M,CLOSE,0%
25809K105,DASH,DOORDASH INC,151652,-45660,27.98M,-8.43M,-23.1%,0.67%
70932M107,PFSI,PENNYMAC FINL SVCS INC NEW,209900,-98900,18.28M,-8.61M,-32%,0.44%
G4253H101,JHX,JAMES HARDIE INDS PLC,1300000,-412100,34.03M,-10.79M,-24.1%,0.81%
03831W108,APP,APPLOVIN CORP,34786,-21100,17.92M,-10.87M,-37.8%,0.43%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,323254,-25000,154.38M,-11.94M,-7.2%,3.7%
824348106,SHW,SHERWIN WILLIAMS CO,21073,-51840,7.26M,-17.85M,-71.1%,0.17%
23804L103,DDOG,DATADOG INC,74348,-81452,19.36M,-21.21M,-52.3%,0.46%
254687106,DIS,DISNEY WALT CO,0,-222973,0,-21.49M,CLOSE,0%
144285103,CRS,CARPENTER TECHNOLOGY CORP,31000,-40800,19.12M,-25.17M,-56.8%,0.46%
82509L107,SHOP,SHOPIFY INC,148226,-228800,16.92M,-26.12M,-60.7%,0.4%
038222105,AMAT,APPLIED MATLS INC,43700,-39200,31.6M,-28.34M,-47.3%,0.75%
M6191J100,FROG,JFROG LTD,107525,-343104,9.77M,-31.18M,-76.1%,0.23%
04010E109,AGX,ARGAN INC,0,-62000,0,-33.77M,CLOSE,0%
15101Q207,CLS,CELESTICA INC,0,-123000,0,-34.65M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,170500,-60700,99.05M,-35.26M,-26.3%,2.4%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,15160,-83200,6.96M,-38.2M,-84.6%,0.17%
80004C200,SNDK,SANDISK CORP,22946,-26260,52.17M,-59.71M,-53.4%,1.2%
11135F101,AVGO,BROADCOM INC,0,-361040,0,-111.75M,CLOSE,0%
Total,,,,,4.19B,1.98B,+110.8%,100%
