CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
91332U101,U,UNITY SOFTWARE INC,2531727,937500,72.36M,26.79M,+58.8%,8.6%
81141R100,SE,SEA LTD,3792812,229714,363.47M,22.01M,+6.4%,43.1%
01609W102,BABA,ALIBABA GROUP HLDG LTD,216000,216000,20.73M,20.73M,NEW,2.5%
771049103,RBLX,ROBLOX CORP,610000,220000,33.17M,11.96M,+56.4%,3.9%
G6683N103,NU,NU HLDGS LTD,7265000,0,97.06M,0,NO CHANGE,11.5%
722304102,PDD,PDD HOLDINGS INC,490650,0,37.43M,0,NO CHANGE,4.4%
58733R102,MELI,MERCADOLIBRE INC,21257,0,36.08M,0,NO CHANGE,4.3%
399909100,GGAL,GRUPO FINANCIERO GALICIA S.A,657333,0,32.89M,0,NO CHANGE,3.9%
48581R205,KSPI,KASPI KZ JSC,241500,0,20.92M,0,NO CHANGE,2.5%
N97284108,NBIS,NEBIUS GROUP N.V.,466616,-589200,128.87M,-162.72M,-55.8%,15.3%
Total,,,,,842.97M,-81.22M,-11.6%,100%
