CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,12300,0,4.59M,0,NO CHANGE,9.3%
023135106,AMZN,AMAZON COM INC,13900,0,3.31M,0,NO CHANGE,6.7%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,23000,0,2.68M,0,NO CHANGE,5.4%
46120E602,ISRG,INTUITIVE SURGICAL INC,5600,0,2.23M,0,NO CHANGE,4.5%
30303M102,META,META PLATFORMS INC,800,0,450.63K,0,NO CHANGE,0.91%
03831W108,APP,APPLOVIN CORP,500,-300,257.62K,-154.57K,-37.5%,0.52%
N3167Y103,RACE,FERRARI N V,0,-700,0,-239.7K,CLOSE,0%
042068205,ARM,ARM HOLDINGS PLC,0,-2000,0,-310.14K,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-2200,0,-462.46K,CLOSE,0%
747525103,QCOM,QUALCOMM INC,0,-3800,0,-483.66K,CLOSE,0%
57636Q104,MA,MASTERCARD INCORPORATED,0,-1000,0,-491.65K,CLOSE,0%
11135F101,AVGO,BROADCOM INC,2500,-1500,944.38K,-566.62K,-37.5%,1.9%
15101Q207,CLS,CELESTICA INC,8100,-3000,2.95M,-1.09M,-27%,6%
02079K305,GOOGL,ALPHABET INC,27300,-3500,9.76M,-1.25M,-11.4%,19.7%
74349Y837,PSQ,PROSHARES TR,0,-59000,0,-1.88M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,64500,-10000,12.91M,-2M,-13.4%,26.1%
037833100,AAPL,APPLE INC,32400,-7000,9.38M,-2.03M,-17.8%,19%
74349Y753,SH,PROSHARES TR,0,-55000,0,-2.07M,CLOSE,0%
Total,,,,,49.46M,-13.03M,-22.9%,100%
