CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,7779696,1716369,2.9B,640.24M,+28.3%,3.6%
09857L108,BKNG,BOOKING HOLDINGS INC,3414019,3291142,608.51M,586.61M,+2678.4%,0.76%
11135F101,AVGO,BROADCOM INC,871078,808131,329.05M,305.27M,+1283.8%,0.41%
482480100,KLAC,KLA-TENCOR CORPORATION,769321,644538,232.11M,194.46M,+516.5%,0.29%
64110L106,NFLX,NETFLIX.COM INC,40017462,2043917,2.86B,145.94M,+5.4%,3.6%
052769106,ADSK,AUTODESK INC,6335468,595237,1.23B,115.73M,+10.4%,1.5%
670100205,NVO,NOVO-NORDISK A/S SPONS ADR,18594352,1577037,891.41M,75.6M,+9.3%,1.1%
02079K602,ABE1.F,ALPHABET INC CVTPFD 6.25,206029,206029,72.8M,72.8M,NEW,0.09%
90353TAM2,UBER,UBER TECHNOLOGIES INC CVT,1131484,952075,81.65M,68.7M,+530.7%,0.1%
03831W108,APP,APPLOVIN CORP-CLASS A,130535,127991,67.26M,65.94M,+5031.1%,0.08%
02079K404,ABE2.F,ALPHABET INC CVTPFD 6.25,178094,178094,63.65M,63.65M,NEW,0.08%
79466L302,CRM,SALESFORCE.COM INC,6452463,395709,1.01B,61.99M,+6.5%,1.3%
57636Q104,MA,MASTERCARD INC-CLASS A,726071,110827,372.91M,56.92M,+18%,0.47%
78409V104,SPGI,S&P GLOBAL,813725,139259,331.4M,56.71M,+20.6%,0.42%
58733R102,MELI,MERCADOLIBRE INC,124382,33157,211.12M,56.28M,+36.3%,0.26%
816850101,SMTC,SEMTECH CORP,312528,312528,50.58M,50.58M,NEW,0.06%
464287614,IWF,ISHARES RUSSELL 1000 GROWTH INDEX FUND,475532,398179,59.05M,49.44M,+514.8%,0.07%
G8994E103,TT,TRANE TECHNOLOGIES PLC,591726,84221,290.63M,41.37M,+16.6%,0.36%
90184D100,TWST,TWIST BIOSCIENCE CORP,861309,369019,88.61M,37.96M,+75%,0.11%
78351F107,RYAN,RYAN SPECIALTY GROUP HLDGS-A,958275,958275,36.18M,36.18M,NEW,0.05%
002121101,ATEN,A10 NETWORKS INC,884023,884023,33.03M,33.03M,NEW,0.04%
30303M102,META,META PLATFORMS INC,7504423,54322,4.23B,30.6M,+0.7%,5.3%
69047Q102,OVV,OVINTIV INC,528517,528517,27.83M,27.83M,NEW,0.03%
98138H101,WDAY,WORKDAY INC,2295182,215882,280.98M,26.43M,+10.4%,0.35%
04302A104,AIP,ARTERIS INC,525712,525712,25.54M,25.54M,NEW,0.03%
