CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
44812J104,HUT,HUT 8 CORP,393081,295213,45.38M,34.08M,+301.6%,4.6%
595112103,MU,MICRON TECHNOLOGY INC,53932,29390,62.25M,33.92M,+119.8%,6.3%
219350105,GLW,CORNING INC,134243,73654,34.29M,18.81M,+121.6%,3.5%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,199480,34305,95.27M,16.38M,+20.8%,9.7%
983134107,WYNN,WYNN RESORTS LTD,494556,164114,48.02M,15.93M,+49.7%,4.9%
67066G104,NVDA,NVIDIA CORPORATION,546541,69627,109.36M,13.93M,+14.6%,11.1%
14040H105,COF,CAPITAL ONE FINL CORP,191076,67266,38.33M,13.49M,+54.3%,3.9%
88080T104,WULF,TERAWULF INC,418436,418436,10.34M,10.34M,NEW,1%
30303M102,META,META PLATFORMS INC,147077,15001,82.85M,8.45M,+11.4%,8.4%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,43166,43166,7.38M,7.38M,NEW,0.75%
71531U102,PS,PERSHING SQUARE INC,160433,160433,5.27M,5.27M,NEW,0.53%
75513E101,RTX,RTX CORPORATION,220762,10456,41.89M,1.98M,+5%,4.2%
808513105,SCHW,SCHWAB CHARLES CORP,87107,17661,8.04M,1.63M,+25.4%,0.81%
254687106,DIS,DISNEY WALT CO,111337,15634,10.72M,1.5M,+16.3%,1.1%
00370M103,ABVX,ABIVAX SA,6452,6452,859.79K,859.79K,NEW,0.09%
530307107,LBRDA,LIBERTY BROADBAND CORP,9547,9547,317.72K,317.72K,NEW,0.03%
530307305,LBRDK,LIBERTY BROADBAND CORP,9547,9547,317.53K,317.53K,NEW,0.03%
88160R101,TSLA,TESLA INC,3434,-115,1.44M,-48.37K,-3.2%,0.15%
02079K107,GOOG,ALPHABET INC,12468,-192,4.41M,-67.84K,-1.5%,0.45%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,804345,-23341,7.93M,-230.14K,-2.8%,0.8%
023135106,AMZN,AMAZON COM INC,269461,-1426,64.22M,-339.87K,-0.5%,6.5%
53635D202,LQDA,LIQUIDIA CORPORATION,11226,-6780,895.05K,-540.57K,-37.7%,0.09%
02079K305,GOOGL,ALPHABET INC,249806,-1767,89.27M,-631.47K,-0.7%,9%
573284106,MLM,MARTIN MARIETTA MATLS INC,401,-1204,231.26K,-694.35K,-75%,0.02%
N07059210,ASML,ASML HLDG NV,15697,-484,31.23M,-962.89K,-3%,3.2%
828806109,SPG,SIMON PPTY GROUP INC NEW,0,-6253,0,-1.17M,CLOSE,0%
603170101,MLYS,MINERALYS THERAPEUTICS INC,101289,-43586,2.73M,-1.18M,-30.1%,0.28%
037833100,AAPL,APPLE INC,118670,-5450,34.34M,-1.58M,-4.4%,3.5%
16935C109,CHYM,CHIME FINL INC,0,-110205,0,-2.06M,CLOSE,0%
097023105,BA,BOEING CO,190597,-15285,41.26M,-3.31M,-7.4%,4.2%
369604301,GE,GE AEROSPACE,27264,-10003,10.19M,-3.74M,-26.8%,1%
26142V105,DKNG,DRAFTKINGS INC NEW,0,-305751,0,-6.61M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,3524,-58699,516.44K,-8.6M,-94.3%,0.05%
64110L106,NFLX,NETFLIX INC.,0,-116440,0,-11.2M,CLOSE,0%
767292105,RIOT,RIOT PLATFORMS INC,0,-1740320,0,-21.51M,CLOSE,0%
042068205,ARM,ARM HOLDINGS PLC,275310,-76331,97.62M,-27.06M,-21.7%,9.9%
36828A101,GEV,GE VERNOVA INC,0,-55948,0,-48.84M,CLOSE,0%
Total,,,,,987.14M,44.24M,+5.9%,100%
