CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
09857L108,BKNG,BOOKING HOLDINGS INC,145347,139136,25.91M,24.8M,+2240.2%,2.9%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,43547,43547,20.8M,20.8M,NEW,2.3%
05722G100,BKR,BAKER HUGHES COMPANY,238389,238389,13.23M,13.23M,NEW,1.5%
922042742,VT,VANGUARD INTL EQUITY INDEX F,5224,3652,819.98K,573.23K,+232.3%,0.09%
464287200,IVV,ISHARES TR,0,-321,0,-209.71K,CLOSE,0%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,0,-622,0,-298.06K,CLOSE,0%
12572Q105,CME,CME GROUP INC,51112,-1762,11.29M,-389.14K,-3.3%,1.3%
863667101,SYK,STRYKER CORPORATION,47506,-2708,14.96M,-852.67K,-5.4%,1.7%
252131107,DXCM,DEXCOM INC,283168,-16384,19.07M,-1.1M,-5.5%,2.1%
G6683N103,NU,NU HLDGS LTD,1588187,-94251,21.22M,-1.26M,-5.6%,2.4%
02079K305,GOOGL,ALPHABET INC,86646,-3795,30.96M,-1.36M,-4.2%,3.4%
90353T100,UBER,UBER TECHNOLOGIES INC,312962,-21877,22.58M,-1.58M,-6.5%,2.5%
464288257,ACWI,ISHARES TR,32029,-10088,5.03M,-1.58M,-24%,0.56%
532457108,LLY,ELI LILLY & CO,25770,-1413,30.92M,-1.7M,-5.2%,3.4%
58733R102,MELI,MERCADOLIBRE INC,23135,-1166,39.28M,-1.98M,-4.8%,4.4%
037833100,AAPL,APPLE INC,148882,-7292,43.08M,-2.11M,-4.7%,4.8%
57636Q104,MA,MASTERCARD INCORPORATED,76229,-4189,39.15M,-2.15M,-5.2%,4.3%
46120E602,ISRG,INTUITIVE SURGICAL INC,64436,-5946,25.63M,-2.36M,-8.4%,2.8%
023135106,AMZN,AMAZON COM INC,281682,-15381,67.14M,-3.67M,-5.2%,7.5%
697435105,PANW,PALO ALTO NETWORKS INC,185946,-11019,63.41M,-3.76M,-5.6%,7%
30303M102,META,META PLATFORMS INC,113252,-6718,63.8M,-3.78M,-5.6%,7.1%
N07059210,ASML,ASML HLDG NV,34952,-2420,69.54M,-4.82M,-6.5%,7.7%
02079K107,GOOG,ALPHABET INC,273112,-17666,96.5M,-6.24M,-6.1%,10.7%
67066G104,NVDA,NVIDIA CORPORATION,878980,-53086,175.88M,-10.62M,-5.7%,19.5%
81762P102,NOW,SERVICENOW INC,0,-240834,0,-25.18M,CLOSE,0%
Total,,,,,900.19M,-17.6M,-2.1%,100%
