CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
573874104,MRVL,MARVELL TECHNOLOGY INC,1900891,1900891,566.26M,566.26M,NEW,21.2%
697435105,PANW,PALO ALTO NETWORKS INC,570105,567738,194.42M,193.61M,+23985.6%,7.3%
464287200,IVV,ISHARES TR,275717,217717,206.48M,163.05M,+375.4%,7.7%
002824100,ABT,ABBOTT LABORATORIES,1587904,1587904,144.09M,144.09M,NEW,5.4%
40637H109,HALO,HALOZYME THERAPEUTICS INC,834500,834500,65.32M,65.32M,NEW,2.5%
902252105,TYL,TYLER TECHNOLOGIES INC,196296,196296,57.41M,57.41M,NEW,2.2%
65339F101,NEE,NEXTERA ENERGY INC,517715,517715,45.44M,45.44M,NEW,1.7%
958102105,WDC,WESTERN DIGITAL CORP,70341,70341,44.93M,44.93M,NEW,1.7%
21873S108,CRWV,COREWEAVE INC,448160,448160,44.61M,44.61M,NEW,1.7%
097023105,BA,BOEING CO,143558,143558,31.08M,31.08M,NEW,1.2%
683344105,ONTO,ONTO INNOVATION INC,72989,72989,27.62M,27.62M,NEW,1%
95082P105,WCC,WESCO INTL INC,76345,76345,26.37M,26.37M,NEW,0.99%
499049104,KNX,KNIGHT-SWIFT TRANSN HLDGS IN,330000,330000,25.7M,25.7M,NEW,0.96%
34631F102,FPS,FORGENT POWER SOLUTIONS INC,327712,327712,18.31M,18.31M,NEW,0.69%
871607107,SNPS,SYNOPSYS INC,33408,33408,14.9M,14.9M,NEW,0.56%
Q4982L109,IREN,IREN LIMITED,257958,257958,11.8M,11.8M,NEW,0.44%
007973100,AEIS,ADVANCED ENERGY INDS,31635,31635,11.8M,11.8M,NEW,0.44%
44952J104,CRGY,CRESCENT ENERGY COMPANY,1104672,1104672,10.85M,10.85M,NEW,0.41%
42226K105,HR,HEALTHCARE RLTY TR,484142,484142,9.77M,9.77M,NEW,0.37%
92892B103,VOYG,VOYAGER TECHNOLOGIES INC,286921,286921,9.25M,9.25M,NEW,0.35%
G3265R107,APTV,APTIV PLC,136049,136049,8.35M,8.35M,NEW,0.31%
98138H101,WDAY,WORKDAY INC,58663,58663,7.18M,7.18M,NEW,0.27%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,23520,23520,6.83M,6.83M,NEW,0.26%
174610105,CFG,CITIZENS FINL GROUP INC,95903,95903,6.72M,6.72M,NEW,0.25%
H42097107,UBS,UBS GROUP AG,129919,129919,6.44M,6.44M,NEW,0.24%
06849F108,B,BARRICK MNG CORP,179797,169678,6.6M,6.23M,+1676.8%,0.25%
46428Q109,SLV,ISHARES SILVER TR,143287,113854,7.66M,6.09M,+386.8%,0.29%
023135106,AMZN,AMAZON COM INC,25566,24103,6.09M,5.74M,+1647.5%,0.23%
009066101,ABNB,AIRBNB INC,95094,39910,13.61M,5.71M,+72.3%,0.51%
003260106,PPLT,ABRDN PLATINUM ETF TRUST,400420,379400,5.66M,5.36M,+1804.9%,0.21%
53115L104,LBRT,LIBERTY ENERGY INC,185547,185547,4.86M,4.86M,NEW,0.18%
67066G104,NVDA,NVIDIA CORPORATION,24138,24138,4.83M,4.83M,NEW,0.18%
754730109,RJF,RAYMOND JAMES FINL INC,28354,28354,4.31M,4.31M,NEW,0.16%
75281A109,RRC,RANGE RES CORP,244579,104011,9.1M,3.87M,+74%,0.34%
N62509109,NAMS,NEWAMSTERDAM PHARMA COMPANY,150539,98312,5.1M,3.33M,+188.2%,0.19%
227046109,CROX,CROCS INC,102692,26434,12.39M,3.19M,+34.7%,0.46%
G4863A108,BRSL,BRIGHTSTAR LOTTERY PLC,542697,295136,5.82M,3.16M,+119.2%,0.22%
