CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
770700102,HOOD,ROBINHOOD MKTS INC,85000,85000,8.52M,8.52M,NEW,6.5%
90138F102,TWLO,TWILIO INC,32000,32000,6.6M,6.6M,NEW,5%
146869102,CVNA,CARVANA CO,90000,90000,5.92M,5.92M,NEW,4.5%
871607107,SNPS,SYNOPSYS INC,13000,13000,5.8M,5.8M,NEW,4.4%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,6500,6500,2.98M,2.98M,NEW,2.3%
880770102,TER,TERADYNE INC,6000,6000,2.9M,2.9M,NEW,2.2%
18915M107,NET,CLOUDFLARE INC,11500,11500,2.82M,2.82M,NEW,2.2%
042068205,ARM,ARM HOLDINGS PLC,27000,7000,9.57M,2.48M,+35%,7.3%
40131M109,GH,GUARDANT HEALTH INC,14000,14000,2.1M,2.1M,NEW,1.6%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,46000,10000,7.96M,1.73M,+27.8%,6.1%
594918104,MSFT,MICROSOFT CORP,15000,4400,5.6M,1.64M,+41.5%,4.3%
36828A101,GEV,GE VERNOVA INC,12500,0,14.69M,0,NO CHANGE,11.2%
67066G104,NVDA,NVIDIA CORPORATION,60000,0,12.01M,0,NO CHANGE,9.2%
532457108,LLY,ELI LILLY & CO,9000,0,10.79M,0,NO CHANGE,8.2%
773121108,RKLB,ROCKET LAB CORP,100000,0,10.16M,0,NO CHANGE,7.8%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,50000,0,5.83M,0,NO CHANGE,4.4%
023135106,AMZN,AMAZON COM INC,24000,-2300,5.72M,-548.18K,-8.7%,4.4%
53626N102,LION,LIONSGATE STUDIOS CORP,0,-400000,0,-3.84M,CLOSE,0%
64110L106,NFLX,NETFLIX INC.,0,-42500,0,-4.09M,CLOSE,0%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,0,-13500,0,-4.11M,CLOSE,0%
458140100,INTC,INTEL CORP,80000,-30000,11.17M,-4.19M,-27.3%,8.5%
46269C102,IRDM,IRIDIUM COMMUNICATIONS INC,0,-154000,0,-4.27M,CLOSE,0%
Total,,,,,131.16M,22.47M,+27.7%,100%
