CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
16935C109,CHYM,Chime Financial Inc,50185,38307,1.03M,784.53K,+322.5%,0.35%
639193101,NAVN,Navan Inc,5874257,0,134.34M,0,NO CHANGE,46.1%
770700102,HOOD,Robinhood Markets Inc,1049802,0,105.27M,0,NO CHANGE,36.2%
090168105,BLLN,BillionToOne Inc,233333,0,28M,0,NO CHANGE,9.6%
055477103,BCAX,Bicara Therapeutics Inc,113780,0,3.38M,0,NO CHANGE,1.2%
67066G104,NVDA,NVIDIA Corporation,8418,0,1.68M,0,NO CHANGE,0.58%
74275K108,PCOR,Procore Technologies Inc,26649,0,1.08M,0,NO CHANGE,0.37%
11135F101,AVGO,Broadcom Inc,985,-3942,372.08K,-1.49M,-80%,0.13%
871607107,SNPS,Synopsys Inc,1488,-5954,663.75K,-2.66M,-80%,0.23%
518415104,LSCC,Lattice Semiconductor Corp,5868,-26730,897.57K,-4.09M,-82%,0.31%
093712107,BE,Bloom Energy Corp,3761,-15045,1.14M,-4.55M,-80%,0.39%
040413205,ANET,Arista Networks Inc,2434,-30604,413.49K,-5.2M,-92.6%,0.14%
682189105,ON,ON Semiconductor Corp,25542,-102167,2.41M,-9.66M,-80%,0.83%
874039100,TSM,Taiwan Semiconductor Manufacturing,8077,-32306,3.86M,-15.43M,-80%,1.3%
19247G107,COHR,Coherent Corp,3860,-39884,1.52M,-15.73M,-91.2%,0.52%
512807306,LRCX,Lam Research Corporation,11669,-46676,5.06M,-20.23M,-80%,1.7%
Total,,,,,291.12M,-78.25M,-33.6%,100%
