CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
16935C109,CHYM,CHIME FINL INC,32376,32376,663.06K,663.06K,NEW,<.01%
770700102,HOOD,ROBINHOOD MKTS INC,24158860,0,2.42B,0,NO CHANGE,14.6%
02079K305,GOOGL,ALPHABET INC,6207074,0,2.22B,0,NO CHANGE,13.4%
88160R101,TSLA,TESLA INC,3766106,0,1.58B,0,NO CHANGE,9.6%
023135106,AMZN,AMAZON COM INC,6589070,0,1.57B,0,NO CHANGE,9.5%
25809K105,DASH,DOORDASH INC,7068299,0,1.3B,0,NO CHANGE,7.9%
82509L107,SHOP,SHOPIFY INC,6325050,0,722.19M,0,NO CHANGE,4.4%
64110L106,NFLX,NETFLIX INC,6707220,0,478.9M,0,NO CHANGE,2.9%
594918104,MSFT,MICROSOFT CORP,1050322,0,391.79M,0,NO CHANGE,2.4%
47215P106,JD,JD.COM INC,11693590,0,297.95M,0,NO CHANGE,1.8%
037833100,AAPL,APPLE INC,248975,0,72.04M,0,NO CHANGE,0.43%
02079K107,GOOG,ALPHABET INC,90740,0,32.06M,0,NO CHANGE,0.19%
01609W102,BABA,ALIBABA GROUP HLDG LTD,269858,0,25.9M,0,NO CHANGE,0.16%
19260Q107,COIN,COINBASE GLOBAL INC,13757,0,2.01M,0,NO CHANGE,0.01%
60770K107,MRNA,MODERNA INC,6053,0,423.89K,0,NO CHANGE,<.01%
30303M102,META,META PLATFORMS INC,9664414,-133000,5.44B,-74.92M,-1.4%,32.9%
808513105,SCHW,SCHWAB CHARLES CORP,0,-3196166,0,-300.38M,CLOSE,0%
Total,,,,,16.57B,-374.63M,-2.4%,100%
