CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81369Y209,XLV,SELECT SECTOR SPDR TR,565000,540000,89.64M,85.68M,+2160%,5.7%
037833100,AAPL,APPLE INC,376100,280000,108.83M,81.02M,+291.4%,7%
02079K107,GOOG,ALPHABET INC,290000,180000,102.47M,63.6M,+163.6%,6.5%
30303M102,META,META PLATFORMS INC,198000,108000,111.53M,60.84M,+120%,7.1%
76155X100,RVMD,REVOLUTION MEDICINES INC,180000,180000,33.71M,33.71M,NEW,2.2%
88160R101,TSLA,TESLA INC,49000,45000,20.61M,18.93M,+1125%,1.3%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,189000,36000,90.26M,17.19M,+23.5%,5.8%
67066G104,NVDA,NVIDIA CORPORATION,184000,72000,36.82M,14.41M,+64.3%,2.4%
75513E101,RTX,RTX CORPORATION,126000,63000,23.91M,11.95M,+100%,1.5%
G6683N103,NU,NU HLDGS LTD,7039000,837600,94.04M,11.19M,+13.5%,6%
00370M103,ABVX,ABIVAX SA,72000,72000,9.6M,9.6M,NEW,0.61%
349381103,FIGR,FIGURE TECHNOLOGY SOLUTIO,585000,195000,17.96M,5.99M,+50%,1.1%
666807102,NOC,NORTHROP GRUMMAN CORP,31100,9600,15.84M,4.89M,+44.7%,1%
G0593M107,AZN,ASTRAZENECA PLC,25000,25000,4.74M,4.74M,NEW,0.3%
651639106,NEM,NEWMONT CORP,22500,22500,2.1M,2.1M,NEW,0.13%
92840M102,VST,VISTRA CORP,12600,12600,2M,2M,NEW,0.13%
48020Q107,JLL,JONES LANG LASALLE INC,6300,6300,1.95M,1.95M,NEW,0.12%
580135101,MCD,MCDONALDS CORP,7200,7200,1.95M,1.95M,NEW,0.12%
632307104,NTRA,NATERA INC,762603,0,207.01M,0,NO CHANGE,13.2%
457669307,INSM,INSMED INC,1014000,0,108.11M,0,NO CHANGE,6.9%
P5626F128,IFS,INTERCORP FINL SVCS INC,1022210,0,57.3M,0,NO CHANGE,3.7%
075887109,BDX,BECTON DICKINSON & CO,225000,0,34.05M,0,NO CHANGE,2.2%
N62509109,NAMS,NEWAMSTERDAM PHARMA COMPANY,702000,0,23.79M,0,NO CHANGE,1.5%
023135106,AMZN,AMAZON COM INC,87000,0,20.74M,0,NO CHANGE,1.3%
46625H100,JPM,JPMORGAN CHASE & CO.,55000,0,18M,0,NO CHANGE,1.2%
68389X105,ORCL,ORACLE CORP,100000,0,14.65M,0,NO CHANGE,0.94%
539830109,LMT,LOCKHEED MARTIN CORP,27000,0,13.76M,0,NO CHANGE,0.88%
931142103,WMT,WALMART INC,120000,0,13.59M,0,NO CHANGE,0.87%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,54000,0,11.49M,0,NO CHANGE,0.73%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,15000,0,11.45M,0,NO CHANGE,0.73%
46429B598,INDA,ISHARES TR,210000,0,10.37M,0,NO CHANGE,0.66%
19240Q201,COGT,COGENT BIOSCIENCES INC,241671,0,9.35M,0,NO CHANGE,0.6%
941848103,WAT,WATERS CORP,19489,0,7.31M,0,NO CHANGE,0.47%
399909100,GGAL,GRUPO FINANCIERO GALICIA S.A,99312,0,4.97M,0,NO CHANGE,0.32%
01609W102,BABA,ALIBABA GROUP HLDG LTD,45000,0,4.32M,0,NO CHANGE,0.28%
46428Q109,SLV,ISHARES SILVER TR,65000,0,3.48M,0,NO CHANGE,0.22%
92189F676,SMH,VANECK ETF TRUST,3000,0,1.97M,0,NO CHANGE,0.13%
78463V107,GLD,SPDR GOLD TR,5000,0,1.84M,0,NO CHANGE,0.12%
464286772,EWY,ISHARES INC,9000,0,1.82M,0,NO CHANGE,0.12%
872590104,TMUS,T-MOBILE US INC,8000,0,1.34M,0,NO CHANGE,0.09%
058934100,BBAR,BANCO BBVA ARGENTINA S A,63000,0,1.24M,0,NO CHANGE,0.08%
46438R105,ETHA,ISHARES ETHEREUM TR,99000,0,1.18M,0,NO CHANGE,0.08%
37950E259,ARGT,GLOBAL X FDS,8900,0,813K,0,NO CHANGE,0.05%
019770106,ALLO,ALLOGENE THERAPEUTICS INC,100000,0,208K,0,NO CHANGE,0.01%
86384P109,STUB,STUBHUB HLDGS INC,0,-500000,0,-3.12M,CLOSE,0%
25461A387,KORU,DIREXION SHARES ETF TRUST,0,-12552,0,-3.57M,CLOSE,0%
046353108,AZN,ASTRAZENECA PLC,0,-25000,0,-4.93M,CLOSE,0%
697435105,PANW,PALO ALTO NETWORKS INC,90000,-20000,30.69M,-6.82M,-18.2%,2%
595112103,MU,MICRON TECHNOLOGY INC,134400,-9600,155.14M,-11.08M,-6.7%,9.9%
500767306,KWEB,KRANESHARES TRUST,0,-900000,0,-25.59M,CLOSE,0%
042068205,ARM,ARM HOLDINGS PLC,0,-206730,0,-31.27M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,62500,-138600,23.31M,-51.7M,-68.9%,1.5%
532457108,LLY,ELI LILLY & CO,1500,-54000,1.8M,-64.76M,-97.3%,0.11%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,40000,-2025000,1.35M,-68.6M,-98.1%,0.09%
464286400,EWZ,ISHARES INC,0,-1860000,0,-71.41M,CLOSE,0%
46090E103,QQQ,INVESCO QQQ TR,0,-614700,0,-354.79M,CLOSE,0%
Total,,,,,1.56B,-265.91M,-16.3%,100%
