CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,840006,360413,168.08M,72.12M,+75.1%,12.3%
007903107,AMD,ADVANCED MICRO DEVICES INC,114122,84745,66.29M,49.23M,+288.5%,4.9%
595112103,MU,MICRON TECHNOLOGY INC,264856,42316,305.72M,48.84M,+19%,22.5%
11276H106,BIPC,BROOKFIELD INFRASTRUCTURE CO,716000,618300,27.57M,23.8M,+632.9%,2%
25179M103,DVN,DEVON ENERGY CORP NEW,572690,572690,23.66M,23.66M,NEW,1.7%
G16258108,BEP,BROOKFIELD RENEWABLE ENERGY,699800,661300,24.3M,22.97M,+1717.7%,1.8%
N97284108,NBIS,NEBIUS GROUP N.V.,281948,78132,77.87M,21.58M,+38.3%,5.7%
92840M102,VST,VISTRA CORP,199110,132680,31.58M,21.05M,+199.7%,2.3%
77926X320,DRAM,ROUNDHILL ETF TRUST,253900,253900,18.75M,18.75M,NEW,1.4%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,159150,122100,23.58M,18.09M,+329.6%,1.7%
26884L109,EQT,EQT CORP,467725,338800,24.87M,18.01M,+262.8%,1.8%
11285B108,BEPC,BROOKFIELD RENEWABLE CORP,486100,429150,18.04M,15.93M,+753.6%,1.3%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,104720,52020,29.45M,14.63M,+98.7%,2.2%
26441C204,DUK,DUKE ENERGY CORP NEW,212611,92461,26.91M,11.7M,+77%,2%
00287Y109,ABBV,ABBVIE INC,44750,44750,11.26M,11.26M,NEW,0.83%
037833100,AAPL,APPLE INC,84378,34853,24.42M,10.09M,+70.4%,1.8%
58933Y105,MRK,MERCK & CO INC,158885,75925,20.42M,9.76M,+91.5%,1.5%
29273V100,ET,ENERGY TRANSFER L P,894709,478909,17.11M,9.16M,+115.2%,1.3%
21037T109,CEG,CONSTELLATION ENERGY CORP,39900,32300,9.91M,8.02M,+425%,0.73%
11271J107,BN,BROOKFIELD CORP,725859,162050,30.91M,6.9M,+28.7%,2.3%
458140100,INTC,INTEL CORP,45500,45500,6.35M,6.35M,NEW,0.47%
N07059210,ASML,ASML HLDG NV,3738,3163,7.44M,6.29M,+550.1%,0.55%
88160R101,TSLA,TESLA INC,12936,12341,5.44M,5.19M,+2074.1%,0.4%
55024U109,LITE,LUMENTUM HLDGS INC,12320,5920,10.57M,5.08M,+92.5%,0.78%
52468L505,LVHI,LEGG MASON ETF INVT,119500,119500,4.85M,4.85M,NEW,0.36%
532457108,LLY,ELI LILLY & CO,24336,3895,29.19M,4.67M,+19.1%,2.1%
87975E776,NASA,TEMA ETF TRUST,145000,145000,4.41M,4.41M,NEW,0.32%
816851109,SRE,SEMPRA,99710,44310,9.24M,4.11M,+80%,0.68%
81762P102,NOW,SERVICENOW INC,68050,36400,6.76M,3.61M,+115%,0.5%
30303M102,META,META PLATFORMS INC,10571,5515,5.95M,3.11M,+109.1%,0.44%
25746U109,D,DOMINION ENERGY INC,286083,43883,19.54M,3M,+18.1%,1.4%
64110L106,NFLX,NETFLIX INC.,271020,38700,19.35M,2.76M,+16.7%,1.4%
969457100,WMB,WILLIAMS COS INC,36500,36500,2.71M,2.71M,NEW,0.2%
49456B101,KMI,KINDER MORGAN INC DEL,420837,78000,13.45M,2.49M,+22.8%,0.99%
36828A101,GEV,GE VERNOVA INC,2914,1964,3.42M,2.31M,+206.7%,0.25%
031652100,AMKR,AMKOR TECHNOLOGY INC,20000,20000,1.72M,1.72M,NEW,0.13%
69351T106,PPL,PPL CORP,37300,37300,1.36M,1.36M,NEW,0.1%
09290C665,IALT,BLACKROCK ETF TRUST,43000,43000,1.21M,1.21M,NEW,0.09%
666807102,NOC,NORTHROP GRUMMAN CORP,3024,2324,1.54M,1.18M,+332%,0.11%
594918104,MSFT,MICROSOFT CORP,12689,2393,4.73M,892.66K,+23.2%,0.35%
65473P105,NI,NISOURCE INC,18600,18600,884.43K,884.43K,NEW,0.06%
72201R833,MINT,PIMCO ETF TR,18384,8500,1.85M,856.88K,+86%,0.14%
871607107,SNPS,SYNOPSYS INC,2866,1650,1.28M,736.02K,+135.7%,0.09%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,20200,14000,1.01M,698.04K,+225.8%,0.07%
654902204,NOK,NOKIA CORP,52000,52000,690.56K,690.56K,NEW,0.05%
02079K305,GOOGL,ALPHABET INC,87241,1852,31.18M,661.85K,+2.2%,2.3%
219350105,GLW,CORNING INC,2400,2400,613.03K,613.03K,NEW,0.05%
52468L406,LVHD,LEGG MASON ETF INVT,13791,13791,606.84K,606.84K,NEW,0.04%
