CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
N07059210,ASML,ASML HLDG NV,19939,19939,39.67M,39.67M,NEW,7%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,97984,97984,37.27M,37.27M,NEW,6.6%
346375108,FORM,FORMFACTOR INC,228647,228647,36.57M,36.57M,NEW,6.4%
136385101,CNQ,CANADIAN NAT RES LTD MED TER,486326,486326,19.21M,19.21M,NEW,3.4%
92189F106,GDX,VANECK ETF TRUST,602946,124800,45.49M,9.42M,+26.1%,8%
97785W106,WOLF,WOLFSPEED INC,144085,144085,6.95M,6.95M,NEW,1.2%
92189F791,GDXJ,VANECK ETF TRUST,405853,64488,39.88M,6.34M,+18.9%,7%
G27907107,DOLE,DOLE PLC,1716784,360961,23.55M,4.95M,+26.6%,4.1%
91822M502,VEON,VEON LTD,630616,73004,32.92M,3.81M,+13.1%,5.8%
26884L109,EQT,EQT CORP,513039,40439,27.28M,2.15M,+8.6%,4.8%
67066G104,NVDA,NVIDIA CORPORATION,257697,-22303,51.56M,-4.46M,-8%,9.1%
56585A102,MPC,MARATHON PETE CORP,0,-21805,0,-5.32M,CLOSE,0%
36118L106,FUTU,FUTU HLDGS LTD,0,-90000,0,-12.31M,CLOSE,0%
654902204,NOK,NOKIA CORP,4436204,-1524728,58.91M,-20.25M,-25.6%,10.4%
03831W108,APP,APPLOVIN CORP,169885,-49799,87.53M,-25.66M,-22.7%,15.4%
21873S108,CRWV,COREWEAVE INC,614485,-282277,61.17M,-28.1M,-31.5%,10.8%
458140100,INTC,INTEL CORP,0,-811115,0,-35.79M,CLOSE,0%
Total,,,,,567.96M,34.44M,+7.4%,100%
