CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
928254101,VIRT,VIRTU FINL INC,2142215,930328,127.61M,55.42M,+76.8%,4.8%
82452J109,FOUR,SHIFT4 PMTS INC,1114116,899832,54.19M,43.77M,+419.9%,2%
706915105,PENG,PENGUIN SOLUTIONS INC,546173,546173,41.51M,41.51M,NEW,1.6%
74758T303,QLYS,QUALYS INC,529807,290779,72.84M,39.98M,+121.7%,2.7%
29357K103,ENVA,ENOVA INTL INC,198795,117872,47.86M,28.38M,+145.7%,1.8%
H8088L103,SRAD,SPORTRADAR GROUP AG,1819949,1819949,27.24M,27.24M,NEW,1%
05988J103,BAND,BANDWIDTH INC,412701,412701,26.12M,26.12M,NEW,0.98%
G3934V109,GENI,GENIUS SPORTS LIMITED,7025809,4234791,42.58M,25.66M,+151.7%,1.6%
50050N103,KTB,KONTOOR BRANDS INC,292115,292115,24.34M,24.34M,NEW,0.91%
292554102,ECPG,ENCORE CAP GROUP INC,255715,255715,23.86M,23.86M,NEW,0.89%
09228F103,BB,BLACKBERRY LTD,1714461,1714461,21.69M,21.69M,NEW,0.81%
688239201,OSK,OSHKOSH CORP,157641,139456,24.19M,21.4M,+766.9%,0.91%
459506101,IFF,INTERNATIONAL FLAVORS&FRAGRA,269229,269229,21.33M,21.33M,NEW,0.8%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,1502738,1016467,29.57M,20M,+209%,1.1%
739128106,POWL,POWELL INDS INC,145631,69801,41.7M,19.99M,+92%,1.6%
758750103,RRX,REGAL REXNORD CORPORATION,137498,83523,32.75M,19.89M,+154.7%,1.2%
928298108,VSH,VISHAY INTERTECHNOLOGY INC,351515,351515,18.9M,18.9M,NEW,0.71%
G39108108,GTES,GATES INDL CORP PLC,641587,641587,17.95M,17.95M,NEW,0.67%
578605107,MEC,MAYVILLE ENGR CO INC,1299256,478120,48.67M,17.91M,+58.2%,1.8%
192576106,COHU,COHU INC,206120,206120,15.23M,15.23M,NEW,0.57%
88025T102,TENB,TENABLE HLDGS INC,387923,387923,14.31M,14.31M,NEW,0.54%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,222393,222393,14.24M,14.24M,NEW,0.53%
224441105,CXT,CRANE NXT CO,271524,271524,13.89M,13.89M,NEW,0.52%
567908108,HZO,MARINEMAX INC,344358,344358,12.61M,12.61M,NEW,0.47%
00108J109,ACMR,ACM RESH INC,177432,94176,22.51M,11.95M,+113.1%,0.84%
28618M106,ESI,ELEMENT SOLUTIONS INC,469213,247981,22.4M,11.84M,+112.1%,0.84%
78435P105,SEZL,SEZZLE INC,135743,65697,23.3M,11.28M,+93.8%,0.87%
922417100,VECO,VEECO INSTRS INC DEL,401639,148260,30.44M,11.24M,+58.5%,1.1%
747906600,QMCO,QUANTUM CORP,1020120,1020120,11.22M,11.22M,NEW,0.42%
N3167Y103,RACE,FERRARI N V,29079,29079,10.83M,10.83M,NEW,0.41%
099406100,BOOT,BOOT BARN HLDGS INC,63759,63759,10.47M,10.47M,NEW,0.39%
93403J106,WRBY,WARBY PARKER INC,843862,343156,25.6M,10.41M,+68.5%,0.96%
801056102,SANM,SANMINA CORP,68255,40923,17.27M,10.36M,+149.7%,0.65%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,72487,40268,18.12M,10.07M,+125%,0.68%
40637H109,HALO,HALOZYME THERAPEUTICS INC,127498,127498,9.98M,9.98M,NEW,0.37%
14167L103,CDNA,CAREDX INC,684805,344453,19.52M,9.82M,+101.2%,0.73%
91307C102,UTHR,UNITED THERAPEUTICS CORP DEL,81518,18083,44.17M,9.8M,+28.5%,1.7%
87043Q108,SG,SWEETGREEN INC,1029016,1029016,9.07M,9.07M,NEW,0.34%
002121101,ATEN,A10 NETWORKS INC,226920,226920,8.48M,8.48M,NEW,0.32%
H5919C104,ONON,ON HLDG AG,441137,238693,15.63M,8.45M,+117.9%,0.59%
615394202,MOGA,MOOG INC,49274,19837,20.88M,8.41M,+67.4%,0.78%
90138F102,TWLO,TWILIO INC,115397,40628,23.81M,8.38M,+54.3%,0.89%
090572207,BIO,BIO RAD LABS INC,42620,28447,12.51M,8.35M,+200.7%,0.47%
G87264100,TGLS,TECNOGLASS INC,176254,176254,8.25M,8.25M,NEW,0.31%
M84116108,SILC,SILICOM LTD,162466,162466,7.79M,7.79M,NEW,0.29%
74935Q107,RBA,RB GLOBAL INC,63009,63009,7.34M,7.34M,NEW,0.27%
75960P104,RELY,REMITLY GLOBAL INC,1017592,319426,22.8M,7.16M,+45.8%,0.85%
98423F109,XMTR,XOMETRY INC,73163,73163,7.06M,7.06M,NEW,0.26%
81663L200,WGS,GENEDX HOLDINGS CORP,200315,97740,13.75M,6.71M,+95.3%,0.51%
876030107,TPR,TAPESTRY INC,61688,44650,9.03M,6.54M,+262.1%,0.34%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,107401,79471,8.64M,6.39M,+284.5%,0.32%
