CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
595112103,MU,MICRON TECHNOLOGY INC,52000,37000,60.02M,42.71M,+246.7%,12.3%
512807306,LRCX,LAM RESEARCH CORP,65000,65000,28.17M,28.17M,NEW,5.8%
458140100,INTC,INTEL CORP,150000,150000,20.94M,20.94M,NEW,4.3%
038222105,AMAT,APPLIED MATLS INC,25000,25000,18.07M,18.07M,NEW,3.7%
67066G104,NVDA,NVIDIA CORPORATION,345000,90000,69.03M,18.01M,+35.3%,14.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,45226,29526,26.27M,17.15M,+188.1%,5.4%
02079K107,GOOG,ALPHABET INC,105000,40000,37.1M,14.13M,+61.5%,7.6%
882508104,TXN,TEXAS INSTRS INC,27500,27500,8.2M,8.2M,NEW,1.7%
032654105,ADI,ANALOG DEVICES INC,20000,20000,7.94M,7.94M,NEW,1.6%
24703L202,DELL,DELL TECHNOLOGIES INC,16000,16000,6.9M,6.9M,NEW,1.4%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,20000,20000,5.44M,5.44M,NEW,1.1%
219350105,GLW,CORNING INC,20000,20000,5.11M,5.11M,NEW,1%
86800U302,SMCI,SUPER MICRO COMPUTER INC,160000,160000,4.69M,4.69M,NEW,0.96%
594918104,MSFT,MICROSOFT CORP,100000,10000,37.3M,3.73M,+11.1%,7.7%
19247G107,COHR,COHERENT CORP,7500,7500,2.96M,2.96M,NEW,0.61%
042068205,ARM,ARM HOLDINGS PLC,7500,7500,2.66M,2.66M,NEW,0.55%
77926X320,DRAM,ROUNDHILL ETF TRUST,25000,25000,1.85M,1.85M,NEW,0.38%
25809K105,DASH,DOORDASH INC,43392,9810,8.01M,1.81M,+29.2%,1.6%
81141R100,SE,SEA LTD,139000,14000,13.32M,1.34M,+11.2%,2.7%
M98068105,WIX,WIX COM LTD,95000,17500,4.31M,793.98K,+22.6%,0.89%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,40881,5000,4.77M,583.35K,+13.9%,0.98%
58733R102,MELI,MERCADOLIBRE INC,5500,200,9.34M,339.48K,+3.8%,1.9%
55318A108,MNTN,MNTN INC,340441,15000,3.13M,138K,+4.6%,0.64%
26603R106,DUOL,DUOLINGO INC,68450,0,7.87M,0,NO CHANGE,1.6%
G6683N103,NU,NU HLDGS LTD,425614,0,5.69M,0,NO CHANGE,1.2%
433000106,HIMS,HIMS & HERS HEALTH INC,110000,0,3.81M,0,NO CHANGE,0.78%
G7341A129,PAACU,PROEM ACQUISITION CORP I,242924,0,2.45M,0,NO CHANGE,0.5%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,55000,0,1.08M,0,NO CHANGE,0.22%
770700102,HOOD,ROBINHOOD MKTS INC,92000,-500,9.23M,-50.14K,-0.5%,1.9%
12047B105,BMBL,BUMBLE INC,0,-177608,0,-579K,CLOSE,0%
023135106,AMZN,AMAZON COM INC,10000,-10000,2.38M,-2.38M,-50%,0.49%
852234103,XYZ,BLOCK INC,0,-40000,0,-2.41M,CLOSE,0%
30303M102,META,META PLATFORMS INC,20000,-5000,11.27M,-2.82M,-20%,2.3%
037833100,AAPL,APPLE INC,110000,-10000,31.83M,-2.89M,-8.3%,6.5%
68389X105,ORCL,ORACLE CORP,0,-20000,0,-2.94M,CLOSE,0%
78435P105,SEZL,SEZZLE INC,0,-68232,0,-4.32M,CLOSE,0%
G29018101,DLO,DLOCAL LTD,0,-425485,0,-5.52M,CLOSE,0%
03831W108,APP,APPLOVIN CORP,27500,-11000,14.17M,-5.67M,-28.6%,2.9%
79589L106,IOT,SAMSARA INC,0,-182000,0,-5.77M,CLOSE,0%
31188V100,FSLY,FASTLY INC,0,-259343,0,-7.54M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,30000,-100000,11.33M,-37.77M,-76.9%,2.3%
Total,,,,,486.65M,133.02M,+43.9%,100%
