CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
739128106,POWL,POWELL INDS INC,115843,57854,33.17M,16.57M,+99.8%,3.4%
87151X101,SYM,SYMBOTIC INC,266959,266959,12M,12M,NEW,1.2%
81762P102,NOW,SERVICENOW INC,228610,113687,22.7M,11.29M,+98.9%,2.3%
11135F101,AVGO,BROADCOM INC,30959,27285,11.69M,10.31M,+742.7%,1.2%
15643U104,LEU,CENTRUS ENERGY CORP,87087,36627,14.62M,6.15M,+72.6%,1.5%
G5960L103,MDT,MEDTRONIC PLC,228303,73181,17.86M,5.72M,+47.2%,1.8%
74164F103,PRIM,PRIMORIS SVCS CORP,52120,52120,5.17M,5.17M,NEW,0.53%
46120E602,ISRG,INTUITIVE SURGICAL INC,52724,11773,20.97M,4.68M,+28.7%,2.2%
670100205,NVO,NOVO-NORDISK A S,346673,86053,16.62M,4.13M,+33%,1.7%
67079K100,SMR,NUSCALE PWR CORP,1396560,353087,14.01M,3.54M,+33.8%,1.4%
833445109,SNOW,SNOWFLAKE INC,94486,13024,24.05M,3.31M,+16%,2.5%
78463V107,GLD,SPDR GOLD TR,13431,4492,4.95M,1.65M,+50.3%,0.51%
880779103,TEX,TEREX CORP NEW,44885,18480,3.25M,1.34M,+70%,0.33%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,154795,7583,18.06M,884.71K,+5.2%,1.9%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,798103,38313,15.71M,754K,+5%,1.6%
78468R663,BIL,SPDR SERIES TRUST,15850,6330,1.45M,580.08K,+66.5%,0.15%
68236H204,ONDS,ONDAS INC,957463,62820,7.89M,517.64K,+7%,0.81%
464287614,IWF,ISHARES TR,4506,3377,559.51K,419.32K,+299.1%,0.06%
83406F102,SOFI,SOFI TECHNOLOGIES INC,60750,19960,1.09M,357.88K,+48.9%,0.11%
98419M100,XYL,XYLEM INC,140843,2912,16.65M,344.23K,+2.1%,1.7%
482480100,KLAC,KLA CORP,1100,1100,331.88K,331.88K,NEW,0.03%
25459W102,TECL,DIREXION SHARES ETF TRUST,1400,1400,323.06K,323.06K,NEW,0.03%
679295105,OKTA,OKTA INC,134520,2279,18.36M,310.97K,+1.7%,1.9%
N07059210,ASML,ASML HLDG NV,145,145,288.47K,288.47K,NEW,0.03%
464287515,IGV,ISHARES TR,2718,2718,246.25K,246.25K,NEW,0.03%
46434G103,IEMG,ISHARES INC,2630,2630,217.87K,217.87K,NEW,0.02%
594918104,MSFT,MICROSOFT CORP,64577,489,24.09M,182.41K,+0.8%,2.5%
75513E101,RTX,RTX CORPORATION,112515,935,21.35M,177.4K,+0.8%,2.2%
46432F834,IXUS,ISHARES TR,5718,1855,545.73K,177.04K,+48%,0.06%
786700104,SGMT,SAGIMET BIOSCIENCES INC,17350,17350,134.12K,134.12K,NEW,0.01%
34354P105,FLS,FLOWSERVE CORP,26115,1725,1.94M,127.93K,+7.1%,0.2%
097023105,BA,BOEING CO,64760,588,14.02M,127.28K,+0.9%,1.4%
86800U302,SMCI,SUPER MICRO COMPUTER INC,521324,4312,15.29M,126.47K,+0.8%,1.6%
30231G102,XOM,EXXON MOBIL CORP,3801,917,519.67K,125.37K,+31.8%,0.05%
79466L302,CRM,SALESFORCE INC,56031,650,8.78M,101.83K,+1.2%,0.9%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,49569,347,14.4M,100.83K,+0.7%,1.5%
M85548101,SSYS,STRATASYS LTD,1138435,7533,9.75M,64.48K,+0.7%,1%
46090E103,QQQ,INVESCO QQQ TR,3507,86,2.58M,63.33K,+2.5%,0.27%
25179M103,DVN,DEVON ENERGY CORP NEW,281822,1288,11.64M,53.22K,+0.5%,1.2%
35671D857,FCX,FREEPORT MCMORAN INC,216476,737,13.61M,46.35K,+0.3%,1.4%
81369Y704,XLI,SELECT SECTOR SPDR TR,5129,216,950.04K,40.01K,+4.4%,0.1%
05722G100,BKR,BAKER HUGHES COMPANY,212128,692,11.77M,38.41K,+0.3%,1.2%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,9958,135,2.36M,31.94K,+1.4%,0.24%
060505104,BAC,BANK OF AMER CORP,224667,542,12.8M,30.88K,+0.2%,1.3%
464287804,IJR,ISHARES TR,11167,207,1.66M,30.7K,+1.9%,0.17%
92189H607,OIH,VANECK ETF TRUST,1363,32,507.08K,11.9K,+2.4%,0.05%
922908652,VXF,VANGUARD INDEX FDS,3712,45,913.93K,11.08K,+1.2%,0.09%
46625H100,JPM,JPMORGAN CHASE & CO,46404,23,15.19M,7.53K,+0%,1.6%
30303M102,META,META PLATFORMS INC,608,11,342.67K,6.2K,+1.8%,0.04%
032108664,HACK,AMPLIFY ETF TR,4183,55,438.92K,5.77K,+1.3%,0.05%
81369Y209,XLV,SELECT SECTOR SPDR TR,3882,30,615.97K,4.76K,+0.8%,0.06%
922908744,VTV,VANGUARD INDEX FDS,3898,16,849.49K,3.49K,+0.4%,0.09%
464287671,IUSG,ISHARES TR,4997,15,939.89K,2.82K,+0.3%,0.1%
92204A884,VOX,VANGUARD WORLD FD,1561,5,287.18K,919.85,+0.3%,0.03%
26701L100,BROS,DUTCH BROS INC,43110,0,3.1M,0,NO CHANGE,0.32%
666807102,NOC,NORTHROP GRUMMAN CORP,1479,0,753.27K,0,NO CHANGE,0.08%
74767V109,QS,QUANTUMSCAPE CORP,12129,0,91.69K,0,NO CHANGE,<.01%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,897,-2,669.95K,-1.49K,-0.2%,0.07%
88160R101,TSLA,TESLA INC,1574,-5,662.02K,-2.1K,-0.3%,0.07%
02079K305,GOOGL,ALPHABET INC,690,-6,246.59K,-2.14K,-0.9%,0.03%
91332U101,U,UNITY SOFTWARE INC,62650,-120,1.79M,-3.43K,-0.2%,0.18%
78464A870,XBI,SPDR SERIES TRUST,23196,-39,3.67M,-6.17K,-0.2%,0.38%
969457100,WMB,WILLIAMS COS INC,3350,-100,249.04K,-7.43K,-2.9%,0.03%
254687106,DIS,DISNEY WALT CO,2694,-92,259.31K,-8.86K,-3.3%,0.03%
81369Y506,XLE,SELECT SECTOR SPDR TR,9319,-238,494.93K,-12.64K,-2.5%,0.05%
478160104,JNJ,JOHNSON & JOHNSON,3445,-50,874.87K,-12.7K,-1.4%,0.09%
33733E203,FBT,FIRST TR EXCHANGE-TRADED FD,23110,-79,5.73M,-19.58K,-0.3%,0.59%
464287655,IWM,ISHARES TR,3165,-84,950.95K,-25.24K,-2.6%,0.1%
81369Y605,XLF,SELECT SECTOR SPDR TR,10415,-602,558.35K,-32.27K,-5.5%,0.06%
78468R648,KOMP,SPDR SERIES TRUST,7404,-649,529.39K,-46.4K,-8.1%,0.05%
023135106,AMZN,AMAZON COM INC,136962,-215,32.64M,-51.24K,-0.2%,3.4%
05605H100,BWXT,BWX TECHNOLOGIES INC,133712,-350,26.03M,-68.13K,-0.3%,2.7%
301505707,ROBO,EXCHANGE TRADED CONCEPTS TRU,17739,-1440,1.52M,-123.35K,-7.5%,0.16%
75776W103,RDW,REDWIRE CORPORATION,269437,-16063,3.3M,-196.45K,-5.6%,0.34%
G51502105,JCI,JOHNSON CONTROLS INTERNATION,148805,-1389,21.74M,-202.95K,-0.9%,2.2%
18539C204,CWEN,CLEARWAY ENERGY INC,0,-5310,0,-208.63K,CLOSE,0%
38141G104,GS,GOLDMAN SACHS GROUP INC,16677,-209,16.87M,-211.38K,-1.2%,1.7%
037833100,AAPL,APPLE INC,132243,-739,38.27M,-213.84K,-0.6%,3.9%
49456B101,KMI,KINDER MORGAN INC DEL,0,-6400,0,-214.59K,CLOSE,0%
00206R102,T,AT&T INC,0,-8712,0,-252.56K,CLOSE,0%
25278X109,FANG,DIAMONDBACK ENERGY INC,71229,-1546,12.52M,-271.76K,-2.1%,1.3%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,316,-300,304.94K,-289.5K,-48.7%,0.03%
64110L106,NFLX,NETFLIX INC.,54312,-4821,3.88M,-344.22K,-8.2%,0.4%
387328107,GVA,GRANITE CONSTR INC,145351,-2192,22.98M,-346.51K,-1.5%,2.4%
15118V207,CELH,CELSIUS HLDGS INC,0,-10850,0,-384.96K,CLOSE,0%
855244109,SBUX,STARBUCKS CORP,91261,-4963,9.33M,-507.17K,-5.2%,0.96%
67066G104,NVDA,NVIDIA CORPORATION,313887,-3870,62.81M,-774.35K,-1.2%,6.5%
166764100,CVX,CHEVRON CORPORATION,112522,-6168,18.65M,-1.02M,-5.2%,1.9%
704551100,BTU,PEABODY ENGR CORP,178109,-86162,4.12M,-1.99M,-32.6%,0.42%
02079K107,GOOG,ALPHABET INC,135730,-7036,47.96M,-2.49M,-4.9%,4.9%
18915M107,NET,CLOUDFLARE INC,80054,-14869,19.64M,-3.65M,-15.7%,2%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,33032,-4996,25.21M,-3.81M,-13.1%,2.6%
17275R102,CSCO,CISCO SYS INC,141785,-32465,16.65M,-3.81M,-18.6%,1.7%
548661107,LOW,LOWES COS INC,0,-18214,0,-4.3M,CLOSE,0%
74762E102,PWR,QUANTA SVCS INC,45596,-8470,32.83M,-6.1M,-15.7%,3.4%
98980G102,ZS,ZSCALER INC,0,-51396,0,-7.21M,CLOSE,0%
687793109,OSCR,OSCAR HEALTH INC,490218,-309477,13.98M,-8.83M,-38.7%,1.4%
902681105,UGI,UGI CORP NEW,0,-285356,0,-10.39M,CLOSE,0%
34959E109,FTNT,FORTINET INC,109113,-112112,16.76M,-17.22M,-50.7%,1.7%
007903107,AMD,ADVANCED MICRO DEVICES INC,58125,-53848,33.77M,-31.28M,-48.1%,3.5%
Total,,,,,972.85M,-13.68M,-1.7%,100%
