CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,30540,17640,15.28M,8.83M,+136.7%,7.4%
00287Y109,ABBV,ABBVIE INC,54700,31510,13.76M,7.93M,+135.9%,6.6%
369604301,GE,GE AEROSPACE,37447,20890,14M,7.81M,+126.2%,6.7%
38141G104,GS,GOLDMAN SACHS GROUP INC,7085,7085,7.17M,7.17M,NEW,3.5%
464287523,SOXX,ISHARES TR,11155,11155,7.15M,7.15M,NEW,3.4%
458140100,INTC,INTEL CORP,36345,36345,5.07M,5.07M,NEW,2.4%
594918104,MSFT,MICROSOFT CORP,25590,11985,9.55M,4.47M,+88.1%,4.6%
11135F101,AVGO,BROADCOM INC,29621,10680,11.19M,4.03M,+56.4%,5.4%
88160R101,TSLA,TESLA INC,20960,9075,8.82M,3.82M,+76.4%,4.3%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,22525,22525,2.63M,2.63M,NEW,1.3%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,9375,9375,1.6M,1.6M,NEW,0.77%
67066G104,NVDA,NVIDIA CORPORATION,71101,5086,14.23M,1.02M,+7.7%,6.9%
02079K305,GOOGL,ALPHABET INC,26401,2315,9.43M,827.3K,+9.6%,4.6%
023135106,AMZN,AMAZON COM INC,29765,1650,7.09M,393.26K,+5.9%,3.4%
922908363,VOO,VANGUARD INDEX FDS,550,150,377.75K,103.02K,+37.5%,0.18%
30303M102,META,META PLATFORMS INC,7706,-264,4.34M,-148.7K,-3.3%,2.1%
21037T109,CEG,CONSTELLATION ENERGY CORP,0,-6750,0,-1.88M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO,24813,-5815,8.12M,-1.9M,-19%,3.9%
595112103,MU,MICRON TECHNOLOGY INC,8265,-1775,9.54M,-2.05M,-17.7%,4.6%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,95537,-41613,5.87M,-2.56M,-30.3%,2.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,33350,-6130,15.93M,-2.93M,-15.5%,7.7%
92189F601,NLR,VANECK ETF TRUST,0,-27475,0,-3.66M,CLOSE,0%
64110L106,NFLX,NETFLIX INC.,0,-42735,0,-4.11M,CLOSE,0%
36828A101,GEV,GE VERNOVA INC,9266,-4129,10.89M,-4.85M,-30.8%,5.3%
037833100,AAPL,APPLE INC,34661,-20440,10.03M,-5.91M,-37.1%,4.8%
46090E103,QQQ,INVESCO QQQ TR,7465,-10435,5.5M,-7.68M,-58.3%,2.7%
92189F676,SMH,VANECK ETF TRUST,14910,-21830,9.78M,-14.32M,-59.4%,4.7%
Total,,,,,207.34M,10.84M,+7.1%,100%
