CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92763W103,VIPS,VIPSHOP HLDGS LTD,3850000,3850000,51.05M,51.05M,NEW,5.7%
461202103,INTU,INTUIT,150000,150000,39.15M,39.15M,NEW,4.3%
98978V103,ZTS,ZOETIS INC,540000,540000,38.8M,38.8M,NEW,4.3%
30303M102,META,META PLATFORMS INC,60000,60000,33.8M,33.8M,NEW,3.7%
24906P109,XRAY,DENTSPLY SIRONA INC,2600000,2600000,27.59M,27.59M,NEW,3.1%
88034P109,TME,TENCENT MUSIC ENTMT GROUP,3260259,3260259,27.22M,27.22M,NEW,3%
30212P303,EXPE,EXPEDIA GROUP INC,227558,97558,58.23M,24.96M,+75%,6.4%
722304102,PDD,PDD HOLDINGS INC,300000,300000,22.88M,22.88M,NEW,2.5%
380237107,GDDY,GODADDY INC,676000,246000,57.38M,20.88M,+57.2%,6.4%
00724F101,ADBE,ADOBE INC,195000,95000,39.98M,19.48M,+95%,4.4%
75886F107,REGN,REGENERON PHARMACEUTICALS,30000,30000,18.71M,18.71M,NEW,2.1%
913903100,UHS,UNIVERSAL HLTH SVCS INC,379993,119993,56.5M,17.84M,+46.2%,6.3%
83304A106,SNAP,SNAP INC,4000000,4000000,17.76M,17.76M,NEW,2%
20030N101,CMCSA,COMCAST CORP NEW,2483669,700000,60.97M,17.19M,+39.2%,6.8%
303075105,FDS,FACTSET RESH SYS INC,223991,38000,51.54M,8.74M,+20.4%,5.7%
79546E104,SBH,SALLY BEAUTY HLDGS INC,2995854,568267,42.36M,8.04M,+23.4%,4.7%
125523100,CI,THE CIGNA GROUP,203000,28000,55.96M,7.72M,+16%,6.2%
48581R205,KSPI,KASPI KZ JSC,620000,0,53.72M,0,NO CHANGE,5.9%
093671105,HRB,BLOCK H & R INC,1400000,0,53.31M,0,NO CHANGE,5.9%
57667L107,MTCH,MATCH GROUP INC NEW,1000007,0,38.05M,0,NO CHANGE,4.2%
60871R209,TAP,MOLSON COORS BEVERAGE CO,900000,0,35.06M,0,NO CHANGE,3.9%
38911N206,GRVY,GRAVITY CO LTD,139744,0,9.38M,0,NO CHANGE,1%
23918K108,DVA,DAVITA INC,0,-50000,0,-7.68M,CLOSE,0%
501889208,LKQ,LKQ CORP,516724,-1000000,13.61M,-26.33M,-65.9%,1.5%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,0,-136600,0,-39.99M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-110000,0,-40.72M,CLOSE,0%
894164102,TNL,TRAVEL PLUS LEISURE CO,0,-590849,0,-40.88M,CLOSE,0%
959802109,WU,WESTERN UN CO,0,-5000000,0,-43.65M,CLOSE,0%
925283103,VSNT,VERSANT MEDIA GROUP INC,0,-1694946,0,-62.75M,CLOSE,0%
Total,,,,,903.02M,139.81M,+18.5%,100%
