CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
30303M102,META,META PLATFORMS INC,2023153,1769780,1.14B,996.89M,+698.5%,1.6%
67066G104,NVDA,NVIDIA CORPORATION,7091256,4564308,1.42B,913.26M,+180.6%,2%
02079K305,GOOGL,ALPHABET INC,2317438,1774967,828.17M,634.31M,+327.2%,1.1%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,748960,748960,571.56M,571.56M,NEW,0.79%
023135106,AMZN,AMAZON COM INC,2290710,2290710,545.97M,545.97M,NEW,0.75%
02079K107,GOOG,ALPHABET INC,1575815,1374813,556.78M,485.76M,+684%,0.77%
64110L106,NFLX,NETFLIX INC.,6787884,6785423,484.66M,484.48M,+275718.1%,0.67%
88160R101,TSLA,TESLA INC,1110960,899670,467.27M,378.4M,+425.8%,0.64%
007903107,AMD,ADVANCED MICRO DEVICES INC,829697,612753,463.82M,342.54M,+282.4%,0.64%
146869102,CVNA,CARVANA CO,5122450,3921232,337.16M,258.1M,+326.4%,0.46%
G5960L103,MDT,MEDTRONIC PLC,3167741,3167741,247.81M,247.81M,NEW,0.34%
872540109,TJX,TJX COS INC NEW,1729400,1490900,262M,225.87M,+625.1%,0.36%
20825C104,COP,CONOCOPHILLIPS,2022465,2022465,210.26M,210.26M,NEW,0.29%
780259305,SHEL,SHELL PLC,2695452,2695452,209.01M,209.01M,NEW,0.29%
461202103,INTU,INTUIT,765048,765048,199.68M,199.68M,NEW,0.27%
86800U302,SMCI,SUPER MICRO COMPUTER INC,6785600,6726200,199.02M,197.28M,+11323.6%,0.27%
58155Q103,MCK,MCKESSON CORP,361086,243840,272.84M,184.25M,+208%,0.38%
808513105,SCHW,SCHWAB CHARLES CORP,1911141,1911141,176.34M,176.34M,NEW,0.24%
882508104,TXN,TEXAS INSTRS INC,1402100,550800,417.92M,164.18M,+64.7%,0.58%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,219040,219040,163.57M,163.57M,NEW,0.23%
053332102,AZO,AUTOZONE INC,84260,50070,269.29M,160.02M,+146.4%,0.37%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,1269289,1269289,156.26M,156.26M,NEW,0.22%
654106103,NKE,NIKE INC,4070200,3755100,167.08M,154.15M,+1191.7%,0.23%
46090E103,QQQ,INVESCO QQQ TR,204600,204600,150.67M,150.67M,NEW,0.21%
573874104,MRVL,MARVELL TECHNOLOGY INC,505425,505425,150.56M,150.56M,NEW,0.21%
369550108,GD,GENERAL DYNAMICS CORP,453720,423540,160.73M,150.03M,+1403.4%,0.22%
46120E602,ISRG,INTUITIVE SURGICAL INC,504430,365028,200.6M,145.16M,+261.9%,0.28%
12572Q105,CME,CME GROUP INC,680049,645249,150.18M,142.49M,+1854.2%,0.21%
166764100,CVX,CHEVRON CORPORATION,2870517,855121,475.82M,141.74M,+42.4%,0.66%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,457353,146859,441.35M,141.72M,+47.3%,0.61%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,849080,281120,405.5M,134.25M,+49.5%,0.56%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,844238,481900,229.59M,131.05M,+133%,0.32%
055622104,BP,BP PLC,5073767,3540782,187.48M,130.83M,+231%,0.26%
778296103,ROST,ROSS STORES INC,615728,574428,131.06M,122.27M,+1390.9%,0.18%
75776W103,RDW,REDWIRE CORPORATION,9399700,9399700,114.96M,114.96M,NEW,0.16%
09290D101,BLK,BLACKROCK INC,118722,118722,114.16M,114.16M,NEW,0.16%
136385101,CNQ,CANADIAN NAT RES LTD MED TER,2859500,2859500,112.95M,112.95M,NEW,0.16%
666807102,NOC,NORTHROP GRUMMAN CORP,203380,193380,103.58M,98.49M,+1933.8%,0.14%
464288414,MUB,ISHARES TR,1004526,909826,108.11M,97.92M,+960.7%,0.15%
16411R208,LNG,CHENIERE ENERGY INC,719366,405118,171.94M,96.83M,+128.9%,0.24%
687793109,OSCR,OSCAR HEALTH INC,3284500,3284500,93.67M,93.67M,NEW,0.13%
49177J102,KVUE,KENVUE INC,9024812,4883300,172.46M,93.32M,+117.9%,0.24%
34631F102,FPS,FORGENT POWER SOLUTIONS INC,1669700,1669700,93.27M,93.27M,NEW,0.13%
26441C204,DUK,DUKE ENERGY CORP NEW,739550,736750,93.61M,93.26M,+26312.5%,0.13%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,1045956,1017600,95.39M,92.81M,+3588.7%,0.13%
71654V101,PBRA,PETROLEO BRASILEIRO S A,10886700,6279000,159.38M,91.92M,+136.3%,0.22%
422704106,HL,HECLA MINING COMPANY,9731400,5831300,150.16M,89.98M,+149.5%,0.21%
78409V104,SPGI,S&P GLOBAL INC,215462,215462,87.75M,87.75M,NEW,0.12%
891160509,TD,TORONTO DOMINION BK ONT,815280,719100,99M,87.32M,+747.7%,0.14%
609839105,MPWR,MONOLITHIC PWR SYS INC,63066,63066,87.18M,87.18M,NEW,0.12%
81369Y209,XLV,SELECT SECTOR SPDR TR,628300,536600,99.69M,85.14M,+585.2%,0.14%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,3364700,2461600,114.4M,83.69M,+272.6%,0.16%
98978V103,ZTS,ZOETIS INC,1403300,1151300,100.84M,82.73M,+456.9%,0.14%
26875P101,EOG,EOG RES INC,714000,630401,92.63M,81.78M,+754.1%,0.13%
90384S303,ULTA,ULTA BEAUTY INC,177780,177780,80.18M,80.18M,NEW,0.11%
260557103,DOW,DOW HLDGS INC,2895600,2895600,79.22M,79.22M,NEW,0.11%
008474108,AEM,AGNICO EAGLE MINES LTD,496541,484344,77.03M,75.14M,+3971%,0.11%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,201373,185800,77.88M,71.85M,+1193.1%,0.11%
G87110105,FTI,TECHNIPFMC PLC,1064200,1064200,70.56M,70.56M,NEW,0.1%
30161N101,EXC,EXELON CORP,1513124,1513124,70.54M,70.54M,NEW,0.1%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,7568370,582444,883M,67.95M,+8.3%,1.2%
922907746,VTEB,VANGUARD MUN BD FDS,1776200,1333800,89.84M,67.46M,+301.5%,0.12%
60855R100,MOH,MOLINA HEALTHCARE INC,315050,292800,72.05M,66.96M,+1316%,0.1%
33829M101,FIVE,FIVE BELOW INC,366300,364600,65.86M,65.55M,+21447.1%,0.09%
91733P107,USAR,USA RARE EARTH INC,3951100,2995722,85.26M,64.65M,+313.6%,0.12%
G7709Q104,RPRX,ROYALTY PHARMA PLC,1935800,1144863,108.54M,64.19M,+144.7%,0.15%
