CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
697435105,PANW,PALO ALTO NETWORKS INC,39995,39217,13.64M,13.37M,+5040.7%,1.9%
30303M102,META,META PLATFORMS INC,37856,17856,21.32M,10.06M,+89.3%,2.9%
037833100,AAPL,APPLE INC,173567,32510,50.22M,9.41M,+23%,6.8%
14040H105,COF,CAPITAL ONE FINL CORP,66878,26878,13.42M,5.39M,+67.2%,1.8%
98978V103,ZTS,ZOETIS INC,82144,71092,5.9M,5.11M,+643.3%,0.8%
02079K305,GOOGL,ALPHABET INC,98837,12978,35.32M,4.64M,+15.1%,4.8%
58733R102,MELI,MERCADOLIBRE INC,2791,2421,4.74M,4.11M,+654.3%,0.64%
654106103,NKE,NIKE INC,109689,89689,4.5M,3.68M,+448.4%,0.61%
478160104,JNJ,JOHNSON & JOHNSON,22884,13538,5.81M,3.44M,+144.9%,0.79%
458140100,INTC,INTEL CORP,23011,23011,3.21M,3.21M,NEW,0.44%
931142103,WMT,WALMART INC,21718,21718,2.46M,2.46M,NEW,0.33%
443201108,HWM,HOWMET AEROSPACE INC,8843,8843,2.38M,2.38M,NEW,0.32%
437076102,HD,HOME DEPOT INC,9437,6437,3.33M,2.27M,+214.6%,0.45%
22160K105,COST,COSTCO WHOLESALE CORPORATION,7296,2296,6.83M,2.15M,+45.9%,0.93%
482480100,KLAC,KLA CORP,7828,6930,2.36M,2.09M,+771.7%,0.32%
422806109,HEI,HEICO CORP NEW,15594,5594,5.55M,1.99M,+55.9%,0.75%
461202103,INTU,INTUIT,21275,7600,5.55M,1.98M,+55.6%,0.75%
742718109,PG,PROCTER & GAMBLE CO,13084,13084,1.92M,1.92M,NEW,0.26%
191216100,KO,COCA COLA CO,111355,21355,9.05M,1.74M,+23.7%,1.2%
871829107,SYY,SYSCO CORP,50000,20000,4.18M,1.67M,+66.7%,0.57%
060505104,BAC,BANK OF AMER CORP,262963,29223,14.98M,1.67M,+12.5%,2%
91324P102,UNH,UNITEDHEALTH GROUP INC,6594,3594,2.74M,1.49M,+119.8%,0.37%
032095101,APH,AMPHENOL CORP,8361,8361,1.47M,1.47M,NEW,0.2%
693506107,PPG,PPG INDS INC,71344,11344,8.65M,1.38M,+18.9%,1.2%
872540109,TJX,TJX COS INC NEW,9028,9028,1.37M,1.37M,NEW,0.19%
701094104,PH,PARKER-HANNIFIN CORP,7381,1381,7.22M,1.35M,+23%,0.98%
11135F101,AVGO,BROADCOM INC,61598,3519,23.27M,1.33M,+6.1%,3.2%
375558103,GILD,GILEAD SCIENCES INC,10870,10061,1.37M,1.27M,+1243.6%,0.19%
713448108,PEP,PEPSICO INC,9245,9245,1.25M,1.25M,NEW,0.17%
38141G104,GS,GOLDMAN SACHS GROUP INC,1226,1226,1.24M,1.24M,NEW,0.17%
617446448,MS,MORGAN STANLEY,5324,5324,1.11M,1.11M,NEW,0.15%
219350105,GLW,CORNING INC,4101,4101,1.05M,1.05M,NEW,0.14%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,64000,19000,3.41M,1.01M,+42.2%,0.46%
09857L108,BKNG,BOOKING HOLDINGS INC,5584,5584,995.29K,995.29K,NEW,0.14%
244199105,DE,DEERE & CO,1542,1542,978.14K,978.14K,NEW,0.13%
002824100,ABT,ABBOTT LABORATORIES,19297,10732,1.75M,973.82K,+125.3%,0.24%
858119100,STLD,STEEL DYNAMICS INC,4227,4227,969.93K,969.93K,NEW,0.13%
58155Q103,MCK,MCKESSON CORP,1264,1264,955.08K,955.08K,NEW,0.13%
717081103,PFE,PFIZER INC,39521,39521,951.67K,951.67K,NEW,0.13%
254687106,DIS,DISNEY WALT CO,9824,9824,945.56K,945.56K,NEW,0.13%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,10192,10192,938.58K,938.58K,NEW,0.13%
863667101,SYK,STRYKER CORPORATION,2943,2943,926.58K,926.58K,NEW,0.13%
00206R102,T,AT&T INC,43790,43790,906.45K,906.45K,NEW,0.12%
911363109,URI,UNITED RENTALS INC,789,789,893.85K,893.85K,NEW,0.12%
