CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
146869102,CVNA,CARVANA CO,1801100,1435880,118.55M,94.51M,+393.2%,41.2%
595112103,MU,MICRON TECHNOLOGY INC,5100,5100,5.89M,5.89M,NEW,2%
80004C200,SNDK,SANDISK CORP,1950,1950,4.43M,4.43M,NEW,1.5%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,12000,12000,3.26M,3.26M,NEW,1.1%
77926X320,DRAM,ROUNDHILL ETF TRUST,22000,22000,1.62M,1.62M,NEW,0.56%
67066G104,NVDA,NVIDIA CORPORATION,57000,5000,11.41M,1M,+9.6%,4%
30303M102,META,META PLATFORMS INC,44750,0,25.21M,0,NO CHANGE,8.8%
02079K305,GOOGL,ALPHABET INC,81275,-4000,29.05M,-1.43M,-4.7%,10.1%
64110L106,NFLX,NETFLIX INC.,67300,-25000,4.81M,-1.79M,-27.1%,1.7%
03831W108,APP,APPLOVIN CORP,43100,-5600,22.21M,-2.89M,-11.5%,7.7%
G3643J108,FLUT,FLUTTER ENTMT PLC,48276,-37500,4.93M,-3.83M,-43.7%,1.7%
023135106,AMZN,AMAZON COM INC,234500,-18500,55.89M,-4.41M,-7.3%,19.4%
00091G104,ACVA,ACV AUCTIONS INC,112000,-775000,805.28K,-5.57M,-87.4%,0.28%
36165L108,GDS,GDS HLDGS LTD,0,-287000,0,-11.56M,CLOSE,0%
98954M101,ZG,ZILLOW GROUP INC,0,-365800,0,-15.14M,CLOSE,0%
Total,,,,,288.05M,64.1M,+21.8%,100%
