CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,16981350,16981350,2.9B,2.9B,NEW,49.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,111500,111500,64.77M,64.77M,NEW,1.1%
171779309,CIEN,CIENA CORP,89000,89000,43.66M,43.66M,NEW,0.74%
22266T109,CPNG,COUPANG INC,2088200,2088200,36.27M,36.27M,NEW,0.62%
80004C200,SNDK,SANDISK CORP,75800,12900,172.35M,29.33M,+20.5%,2.9%
609839105,MPWR,MONOLITHIC PWR SYS INC,18300,18300,25.3M,25.3M,NEW,0.43%
18915M107,NET,CLOUDFLARE INC,100800,100800,24.72M,24.72M,NEW,0.42%
81141R100,SE,SEA LTD,1775000,0,170.1M,0,NO CHANGE,2.9%
81762P102,NOW,SERVICENOW INC,1135000,0,112.68M,0,NO CHANGE,1.9%
G5279N105,KLAR,KLARNA GROUP PLC,5266524,0,106.59M,0,NO CHANGE,1.8%
81764X103,TTAN,SERVICETITAN INC,1229285,0,86.92M,0,NO CHANGE,1.5%
316841105,FIG,FIGMA INC,0,-60000,0,-1.27M,CLOSE,0%
565394103,CART,MAPLEBEAR INC,0,-280037,0,-10.49M,CLOSE,0%
30303M102,META,META PLATFORMS INC,222600,-34200,125.39M,-19.26M,-13.3%,2.1%
023135106,AMZN,AMAZON COM INC,1079500,-99100,257.29M,-23.62M,-8.4%,4.4%
88160R101,TSLA,TESLA INC,308800,-62800,129.88M,-26.41M,-16.9%,2.2%
594918104,MSFT,MICROSOFT CORP,633300,-129600,236.23M,-48.34M,-17%,4%
98954M200,Z,ZILLOW GROUP INC,0,-1264900,0,-52.34M,CLOSE,0%
N07059210,ASML,ASML HLDG NV,106700,-30500,212.27M,-60.68M,-22.2%,3.6%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,0,-664100,0,-62.34M,CLOSE,0%
16935C109,CHYM,CHIME FINL INC,0,-4181827,0,-78.33M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,201200,-333800,51.21M,-84.95M,-62.4%,0.87%
64119N608,NTSK,NETSKOPE INC,0,-10950921,0,-92.97M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,486400,-306300,183.74M,-115.7M,-38.6%,3.1%
67066G104,NVDA,NVIDIA CORPORATION,2374600,-659100,475.13M,-131.88M,-21.7%,8.1%
02079K305,GOOGL,ALPHABET INC,1114200,-488800,398.18M,-174.68M,-30.5%,6.8%
25809K105,DASH,DOORDASH INC,447626,-1146374,82.6M,-211.54M,-71.9%,1.4%
Total,,,,,5.9B,1.93B,+58.5%,100%
