CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
007903107,AMD,ADVANCED MICRO DEVICES INC,105751,105751,61.43M,61.43M,NEW,5.5%
501242101,KLIC,KULICKE & SOFFA INDS INC,334781,334781,44.78M,44.78M,NEW,4%
90138F102,TWLO,TWILIO INC,201352,201352,41.54M,41.54M,NEW,3.7%
171779309,CIEN,CIENA CORP,81298,81298,39.88M,39.88M,NEW,3.6%
74768A104,QNT,QUANTINUUM INC,469355,469355,38.37M,38.37M,NEW,3.4%
913915104,UTI,UNIVERSAL TECHNICAL INST INC,890113,890113,38.07M,38.07M,NEW,3.4%
45867G101,IDCC,INTERDIGITAL INC,184388,130284,52.21M,36.89M,+240.8%,4.7%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,138029,138029,34.5M,34.5M,NEW,3.1%
15101Q207,CLS,CELESTICA INC,139964,86469,51.06M,31.54M,+161.6%,4.6%
68989M202,OUST,OUSTER INC,449264,449264,28.09M,28.09M,NEW,2.5%
693282105,PDFS,PDF SOLUTIONS INC,369776,369776,26.18M,26.18M,NEW,2.3%
654902204,NOK,NOKIA CORP,1906902,1906902,25.32M,25.32M,NEW,2.3%
019330109,ALNT,ALLIENT INC,220237,220237,22.67M,22.67M,NEW,2%
773121108,RKLB,ROCKET LAB CORP,221143,221143,22.48M,22.48M,NEW,2%
267475101,DY,DYCOM INDS INC,39473,39473,19.96M,19.96M,NEW,1.8%
17253J106,CIFR,CIPHER DIGITAL INC,667931,667931,16.36M,16.36M,NEW,1.5%
19247G107,COHR,COHERENT CORP,129283,41378,51M,16.32M,+47.1%,4.6%
M5216V106,GLBE,GLOBAL-E ONLINE LTD,353200,353200,12.27M,12.27M,NEW,1.1%
433313103,HNGE,HINGE HEALTH INC,561224,144042,46.58M,11.96M,+34.5%,4.2%
03214Q108,AMPX,AMPRIUS TECHNOLOGIES INC,838887,838887,11.63M,11.63M,NEW,1%
Y2573F102,FLEX,FLEX LTD,379834,68611,61.56M,11.12M,+22%,5.5%
253868103,DLR,DIGITAL RLTY TR INC,88764,58926,15.94M,10.58M,+197.5%,1.4%
038169207,APLD,APPLIED DIGITAL CORP,265474,265474,9.9M,9.9M,NEW,0.88%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,113230,50367,13.93M,6.2M,+80.1%,1.2%
18915M107,NET,CLOUDFLARE INC,23589,23589,5.79M,5.79M,NEW,0.52%
031652100,AMKR,AMKOR TECHNOLOGY INC,65895,65895,5.68M,5.68M,NEW,0.51%
595112103,MU,MICRON TECHNOLOGY INC,4484,4484,5.18M,5.18M,NEW,0.46%
05614L209,BW,BABCOCK & WILCOX ENTERPRISES,333153,333153,4.7M,4.7M,NEW,0.42%
30226D106,EXTR,EXTREME NETWORKS INC,1424095,111034,46.1M,3.59M,+8.5%,4.1%
57776J100,MXL,MAXLINEAR INC,27377,27377,3.51M,3.51M,NEW,0.31%
315616102,FFIV,F5 INC,51258,1062,21.32M,441.75K,+2.1%,1.9%
53626N102,LION,LIONSGATE STUDIOS CORP,1050445,9511,16.08M,145.61K,+0.9%,1.4%
009066101,ABNB,AIRBNB INC,247836,830,35.47M,118.77K,+0.3%,3.2%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,73878,533,12.78M,92.22K,+0.7%,1.1%
833445109,SNOW,SNOWFLAKE INC,0,-26377,0,-3.98M,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,0,-29150,0,-4.26M,CLOSE,0%
29444U700,EQIX,EQUINIX INC,0,-5102,0,-5M,CLOSE,0%
671044105,OSIS,OSI SYSTEMS INC,0,-19274,0,-5.12M,CLOSE,0%
04626A103,ALAB,ASTERA LABS INC,0,-47394,0,-5.19M,CLOSE,0%
750917106,RMBS,RAMBUS INC DEL,291713,-42104,38.72M,-5.59M,-12.6%,3.5%
03831W108,APP,APPLOVIN CORP,0,-14480,0,-5.76M,CLOSE,0%
G037AX101,AMBA,AMBARELLA INC,0,-114940,0,-5.92M,CLOSE,0%
292671708,UUUU,ENERGY FUELS INC,0,-507555,0,-9.26M,CLOSE,0%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,216037,-78361,39.56M,-14.35M,-26.6%,3.5%
00486H105,ADTN,ADTRAN HOLDINGS INC,0,-1219976,0,-15.35M,CLOSE,0%
52476L109,LGN,LEGENCE CORP,0,-337638,0,-19.06M,CLOSE,0%
888787108,TOST,TOAST INC,0,-732027,0,-19.41M,CLOSE,0%
05464C101,AXON,AXON ENTERPRISE INC,0,-47442,0,-20.15M,CLOSE,0%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,382933,-121306,99.81M,-31.62M,-24.1%,8.9%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-563573,0,-55.82M,CLOSE,0%
Total,,,,,1.12B,421.44M,+80.4%,100%
