CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,1000296,373330,357.48M,133.42M,+59.5%,10.4%
880770102,TER,TERADYNE INC,118047,118047,57.12M,57.12M,NEW,1.7%
80004C200,SNDK,SANDISK CORP,19555,19555,44.46M,44.46M,NEW,1.3%
171779309,CIEN,CIENA CORP,85974,85974,42.18M,42.18M,NEW,1.2%
11135F101,AVGO,BROADCOM INC,472537,97847,178.5M,36.96M,+26.1%,5.2%
958102105,WDC,WESTERN DIGITAL CORP,57622,57622,36.8M,36.8M,NEW,1.1%
833445109,SNOW,SNOWFLAKE INC,68655,68655,17.47M,17.47M,NEW,0.51%
438516205,HON,HONEYWELL INTL INC,57025,57025,12.77M,12.77M,NEW,0.37%
43849R105,HONA,HONEYWELL AEROSPACE INC,57025,57025,12.61M,12.61M,NEW,0.37%
55024U109,LITE,LUMENTUM HLDGS INC,17534,12833,15.05M,11.01M,+273%,0.44%
770700102,HOOD,ROBINHOOD MKTS INC,106833,106833,10.71M,10.71M,NEW,0.31%
N07059210,ASML,ASML HLDG NV,24166,4916,48.08M,9.78M,+25.5%,1.4%
038222105,AMAT,APPLIED MATLS INC,31699,13360,22.92M,9.66M,+72.9%,0.67%
82982T106,SITM,SITIME CORP,12194,12194,9.09M,9.09M,NEW,0.26%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,50926,50926,8.7M,8.7M,NEW,0.25%
147448104,CWST,CASELLA WASTE SYS INC,86558,86558,8.39M,8.39M,NEW,0.24%
67066G104,NVDA,NVIDIA CORPORATION,2174219,40560,435.04M,8.12M,+1.9%,12.7%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,27267,27267,7.42M,7.42M,NEW,0.22%
199908104,FIX,COMFORT SYS USA INC,6454,3558,12.79M,7.05M,+122.9%,0.37%
19247G107,COHR,COHERENT CORP,17591,17591,6.94M,6.94M,NEW,0.2%
04010E109,AGX,ARGAN INC,8592,8592,6.86M,6.86M,NEW,0.2%
05605H100,BWXT,BWX TECHNOLOGIES INC,33773,33773,6.57M,6.57M,NEW,0.19%
607828100,MOD,MODINE MFG CO,23680,23680,6.32M,6.32M,NEW,0.18%
147528103,CASY,CASEYS GEN STORES INC,7747,7747,6.16M,6.16M,NEW,0.18%
09857L108,BKNG,BOOKING HOLDINGS INC,35144,33871,6.26M,6.04M,+2660.7%,0.18%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,35961,35961,5.65M,5.65M,NEW,0.16%
576323109,MTZ,MASTEC INC,13541,13541,5.63M,5.63M,NEW,0.16%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,286514,46184,33.43M,5.39M,+19.2%,0.97%
G93A5A101,VIK,VIKING HOLDINGS LTD,51214,51214,5.36M,5.36M,NEW,0.16%
60855R100,MOH,MOLINA HEALTHCARE INC,23245,23245,5.32M,5.32M,NEW,0.15%
031100100,AME,AMETEK INC,21847,21847,5.29M,5.29M,NEW,0.15%
74743L100,Q,QNITY ELECTRONICS INC,32608,32314,5.33M,5.28M,+10991.2%,0.15%
482480100,KLAC,KLA CORP,18795,17158,5.67M,5.18M,+1048.1%,0.17%
60937P106,MDB,MONGODB INC,15003,15003,5.04M,5.04M,NEW,0.15%
03831W108,APP,APPLOVIN CORP,65584,9230,33.79M,4.76M,+16.4%,0.98%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,120879,52062,11.02M,4.75M,+75.7%,0.32%
23804L103,DDOG,DATADOG INC,66599,17591,17.34M,4.58M,+35.9%,0.5%
983793100,XPO,XPO INC,19446,19446,3.99M,3.99M,NEW,0.12%
773121108,RKLB,ROCKET LAB CORP,106533,36569,10.83M,3.72M,+52.3%,0.32%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,87585,46078,6.87M,3.61M,+111%,0.2%
422806109,HEI,HEICO CORP NEW,26347,9552,9.38M,3.4M,+56.9%,0.27%
03990B101,ARES,ARES MANAGEMENT CORPORATION,97322,29539,10.83M,3.29M,+43.6%,0.32%
532457108,LLY,ELI LILLY & CO,115077,2739,138.03M,3.29M,+2.4%,4%
12008R107,BLDR,BUILDERS FIRSTSOURCE INC,35152,35152,3.15M,3.15M,NEW,0.09%
303250104,FICO,FAIR ISAAC CORP,39074,2527,46.69M,3.02M,+6.9%,1.4%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,314249,9206,99.78M,2.92M,+3%,2.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,4894,4894,2.84M,2.84M,NEW,0.08%
03073E105,COR,CENCORA INC,42144,9959,11.93M,2.82M,+30.9%,0.35%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,61552,34269,4.95M,2.76M,+125.6%,0.14%
31488V107,FERG,FERGUSON ENTERPRISES INC,30365,11554,7.21M,2.74M,+61.4%,0.21%
518439104,EL,LAUDER ESTEE COS INC,55056,34124,4.35M,2.69M,+163%,0.13%
903731107,ULS,UL SOLUTIONS INC,25844,25844,2.63M,2.63M,NEW,0.08%
375916103,GIL,GILDAN ACTIVEWEAR INC,47908,47908,2.47M,2.47M,NEW,0.07%
876030107,TPR,TAPESTRY INC,47947,15940,7.02M,2.33M,+49.8%,0.2%
219350105,GLW,CORNING INC,11920,8985,3.04M,2.3M,+306.1%,0.09%
88080T104,WULF,TERAWULF INC,87605,87605,2.16M,2.16M,NEW,0.06%
109641100,EAT,BRINKER INTL INC,12677,12677,2.13M,2.13M,NEW,0.06%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,50118,11609,9.18M,2.13M,+30.1%,0.27%
G32089107,ETOR,ETORO GROUP LTD,47604,47604,1.88M,1.88M,NEW,0.05%
632307104,NTRA,NATERA INC,45399,6698,12.32M,1.82M,+17.3%,0.36%
45168D104,IDXX,IDEXX LABS INC,16682,3434,8.78M,1.81M,+25.9%,0.26%
N3167Y103,RACE,FERRARI N V,14075,4792,5.24M,1.78M,+51.6%,0.15%
30303M102,META,META PLATFORMS INC,186856,3121,105.25M,1.76M,+1.7%,3.1%
252131107,DXCM,DEXCOM INC,79562,25387,5.36M,1.71M,+46.9%,0.16%
369604301,GE,GE AEROSPACE,281716,4509,105.29M,1.69M,+1.6%,3.1%
751212101,RL,RALPH LAUREN CORP,12837,4098,5.15M,1.64M,+46.9%,0.15%
773903109,ROK,ROCKWELL AUTOMATION INC,22271,3257,11.03M,1.61M,+17.1%,0.32%
02079K107,GOOG,ALPHABET INC,55512,4477,19.61M,1.58M,+8.8%,0.57%
36828A101,GEV,GE VERNOVA INC,92085,1283,108.19M,1.51M,+1.4%,3.1%
042068205,ARM,ARM HOLDINGS PLC,172817,4219,61.28M,1.5M,+2.5%,1.8%
92826C839,V,VISA INC,275048,4221,94.37M,1.45M,+1.6%,2.7%
562750109,MANH,MANHATTAN ASSOCIATES INC,30673,9025,4.27M,1.26M,+41.7%,0.12%
499049104,KNX,KNIGHT-SWIFT TRANSN HLDGS IN,68013,16112,5.3M,1.25M,+31%,0.15%
316773100,FITB,FIFTH THIRD BANCORP,131116,17460,7.39M,984.22K,+15.4%,0.22%
18915M107,NET,CLOUDFLARE INC,89461,3938,21.94M,965.91K,+4.6%,0.64%
91332U101,U,UNITY SOFTWARE INC,94623,32457,2.7M,927.62K,+52.2%,0.08%
57636Q104,MA,MASTERCARD INCORPORATED,27486,1501,14.12M,770.91K,+5.8%,0.41%
22266T109,CPNG,COUPANG INC,277616,44181,4.82M,767.42K,+18.9%,0.14%
00827B106,AFRM,AFFIRM HLDGS INC,45191,9038,3.69M,737.05K,+25%,0.11%
46120E602,ISRG,INTUITIVE SURGICAL INC,98722,1719,39.26M,683.62K,+1.8%,1.1%
464287309,IVW,ISHARES TR,4955,4955,681.53K,681.53K,NEW,0.02%
05464C101,AXON,AXON ENTERPRISE INC,21406,1071,12M,600.41K,+5.3%,0.35%
314352105,FDXF,FEDEX FGHT HLDG CO INC,3650,3650,551.08K,551.08K,NEW,0.02%
872540109,TJX,TJX COS INC NEW,67457,3535,10.22M,535.55K,+5.5%,0.3%
025816109,AXP,AMERICAN EXPRESS CO,28058,1556,9.49M,526.32K,+5.9%,0.28%
025537101,AEP,AMERICAN ELEC PWR CO INC,16653,3563,2.28M,487.45K,+27.2%,0.07%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,56796,4929,5.23M,453.91K,+9.5%,0.15%
929160109,VMC,VULCAN MATLS CO,119115,1443,35.14M,425.7K,+1.2%,1%
464287614,IWF,ISHARES TR,3486,3212,432.81K,398.79K,+1172.3%,0.01%
052769106,ADSK,AUTODESK INC,121094,1776,23.54M,345.29K,+1.5%,0.69%
149123101,CAT,CATERPILLAR INC,4157,276,4.43M,293.91K,+7.1%,0.13%
22160K105,COST,COSTCO WHOLESALE CORPORATION,17118,312,16.01M,291.87K,+1.9%,0.47%
949746101,WFC,WELLS FARGO & CO,62130,3285,5.13M,271.47K,+5.6%,0.15%
244199105,DE,DEERE & CO,5972,417,3.79M,264.52K,+7.5%,0.11%
75734B100,RDDT,REDDIT INC,50614,1520,8.79M,263.84K,+3.1%,0.26%
517834107,LVS,LAS VEGAS SANDS CORP,419004,5110,19.35M,236.03K,+1.2%,0.56%
683344105,ONTO,ONTO INNOVATION INC,6715,618,2.54M,233.88K,+10.1%,0.07%
172573107,CRCL,CIRCLE INTERNET GROUP INC,30452,3550,1.91M,222.34K,+13.2%,0.06%
291011104,EMR,EMERSON ELEC CO,19734,1487,2.82M,212.86K,+8.1%,0.08%
92840M102,VST,VISTRA CORP,76466,1289,12.13M,204.47K,+1.7%,0.35%
58733R102,MELI,MERCADOLIBRE INC,12744,119,21.63M,201.99K,+0.9%,0.63%
