CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88160R101,TSLA,TESLA INC,93903,-2748,39.5M,-1.16M,-2.8%,2.4%
G6683N103,NU,NU HLDGS LTD,4162373,-122263,55.61M,-1.63M,-2.9%,3.4%
30303M102,META,META PLATFORMS INC,145255,-4302,81.82M,-2.42M,-2.9%,5%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,138538,-4089,105.72M,-3.12M,-2.9%,6.5%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,331597,-9774,158.36M,-4.67M,-2.9%,9.8%
023135106,AMZN,AMAZON COM INC,673397,-19768,160.5M,-4.71M,-2.9%,9.9%
04626A103,ALAB,ASTERA LABS INC,342338,-9930,165.36M,-4.8M,-2.8%,10.2%
82509L107,SHOP,SHOPIFY INC,1602908,-47079,183.02M,-5.38M,-2.9%,11.3%
23804L103,DDOG,DATADOG INC,709850,-20846,184.82M,-5.43M,-2.9%,11.4%
05464C101,AXON,AXON ENTERPRISE INC,386596,-11302,216.73M,-6.34M,-2.8%,13.4%
18915M107,NET,CLOUDFLARE INC,1106100,-32517,271.3M,-7.98M,-2.9%,16.7%
Total,,,,,1.62B,-47.62M,-3.9%,100%
