CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,800,800,597.42K,597.42K,NEW,13.1%
316841105,FIG,FIGMA INC,27500,27500,497.48K,497.48K,NEW,10.9%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,500,500,381.57K,381.57K,NEW,8.3%
532457108,LLY,ELI LILLY & CO,302,302,362.23K,362.23K,NEW,7.9%
833445109,SNOW,SNOWFLAKE INC,1400,1400,356.3K,356.3K,NEW,7.8%
77543R102,ROKU,ROKU INC,2500,2500,345.35K,345.35K,NEW,7.6%
679295105,OKTA,OKTA INC,1800,1800,245.61K,245.61K,NEW,5.4%
23804L103,DDOG,DATADOG INC,875,875,227.81K,227.81K,NEW,5%
18915M107,NET,CLOUDFLARE INC,900,900,220.75K,220.75K,NEW,4.8%
81764X103,TTAN,SERVICETITAN INC,3050,3050,215.67K,215.67K,NEW,4.7%
034948109,ANGX,ANGEL STUDIOS INC.,55000,55000,201.85K,201.85K,NEW,4.4%
08975B109,BBAI,BIGBEAR AI HLDGS INC,25000,25000,91.75K,91.75K,NEW,2%
M8001Q126,PYPD,POLYPID LTD,100881,13688,512.48K,69.53K,+15.7%,11.2%
093919108,AIB,AIB DATA CENTERS INC,17500,17500,37.1K,37.1K,NEW,0.81%
868927203,SRFM,SURF AIR MOBILITY INC,15000,15000,17.4K,17.4K,NEW,0.38%
22890A302,ORBS,EIGHTCO HOLDINGS INC,0,-15000,0,-13.98K,CLOSE,0%
45569U101,INDI,INDIE SEMICONDUCTOR INC,11000,-19100,49.39K,-85.76K,-63.5%,1.1%
26923Q564,BMNU,ETF OPPORTUNITIES TRUST,0,-60000,0,-105.9K,CLOSE,0%
88160R101,TSLA,TESLA INC,500,-500,210.3K,-210.3K,-50%,4.6%
N07059210,ASML,ASML HLDG NV,0,-200,0,-264.17K,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-3000,0,-297.15K,CLOSE,0%
92835K103,VPG,VISHAY PRECISION GROUP INC,0,-7000,0,-303.94K,CLOSE,0%
464287655,IWM,ISHARES TR,0,-2500,0,-620K,CLOSE,0%
46090E103,QQQ,INVESCO QQQ TR,0,-12500,0,-7.21M,CLOSE,0%
Total,,,,,4.57M,-5.25M,-54.3%,100%
