CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92204A702,VGT,VANGUARD WORLD FD,31496,28046,3.76M,3.35M,+812.9%,2.7%
922908629,VO,VANGUARD INDEX FDS,17300,11938,1.39M,961.84K,+222.6%,1%
697435105,PANW,PALO ALTO NETWORKS INC,966,966,329.43K,329.43K,NEW,0.24%
09857L108,BKNG,BOOKING HOLDINGS INC,1617,1552,288.21K,276.63K,+2387.7%,0.21%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,959,959,239.73K,239.73K,NEW,0.17%
921910733,ESGV,VANGUARD WORLD FD,1735,1735,229.44K,229.44K,NEW,0.17%
M6191J100,FROG,JFROG LTD,2505,2505,227.65K,227.65K,NEW,0.16%
91680M107,UPST,UPSTART HLDGS INC,6374,6374,225.83K,225.83K,NEW,0.16%
46432F339,QUAL,ISHARES TR,965,965,211.75K,211.75K,NEW,0.15%
921946406,VYM,VANGUARD WHITEHALL FDS,1330,1330,210.18K,210.18K,NEW,0.15%
808524102,SCHB,SCHWAB STRATEGIC TR,7168,7168,207.59K,207.59K,NEW,0.15%
78464A300,SLYV,SPDR SERIES TRUST,1855,1855,202.4K,202.4K,NEW,0.15%
907818108,UNP,UNION PAC CORP,739,739,200.92K,200.92K,NEW,0.14%
464288604,ISCG,ISHARES TR,9745,1692,638.69K,110.89K,+21%,0.46%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,1270,167,606.51K,79.75K,+15.1%,0.44%
037833100,AAPL,APPLE INC,22973,173,6.65M,50.06K,+0.8%,4.8%
007903107,AMD,ADVANCED MICRO DEVICES INC,3794,43,2.2M,24.98K,+1.1%,1.6%
532457108,LLY,ELI LILLY & CO,282,17,338.24K,20.39K,+6.4%,0.24%
46432F842,IEFA,ISHARES TR,5889,180,568.76K,17.38K,+3.2%,0.41%
922908769,VTI,VANGUARD INDEX FDS,1294,33,478.86K,12.21K,+2.6%,0.34%
91324P102,UNH,UNITEDHEALTH GROUP INC,887,27,368.66K,11.22K,+3.1%,0.27%
512807306,LRCX,LAM RESEARCH CORP,1190,16,515.66K,6.93K,+1.4%,0.37%
595112103,MU,MICRON TECHNOLOGY INC,1368,5,1.58M,5.77K,+0.4%,1.1%
922908751,VB,VANGUARD INDEX FDS,1710,14,518.22K,4.24K,+0.8%,0.37%
46625H100,JPM,JPMORGAN CHASE & CO,1457,11,476.92K,3.6K,+0.8%,0.34%
871607107,SNPS,SYNOPSYS INC,602,8,268.53K,3.57K,+1.3%,0.19%
921909768,VXUS,VANGUARD STAR FDS,3369,37,288.03K,3.16K,+1.1%,0.21%
060505104,BAC,BANK OF AMER CORP,4190,49,238.73K,2.79K,+1.2%,0.17%
47215P106,JD,JD.COM INC,8773,56,223.54K,1.43K,+0.6%,0.16%
74933W601,TMFC,RBB FD INC,51883,9,3.95M,685.44,+0%,2.8%
46434G103,IEMG,ISHARES INC,6260,5,518.58K,414.2,+0.1%,0.37%
46090E103,QQQ,INVESCO QQQ TR,1513,0,1.11M,0,NO CHANGE,0.8%
922042742,VT,VANGUARD INTL EQUITY INDEX F,4367,0,685.4K,0,NO CHANGE,0.49%
464287200,IVV,ISHARES TR,913,0,683.74K,0,NO CHANGE,0.49%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,12357,0,630.83K,0,NO CHANGE,0.45%
922908744,VTV,VANGUARD INDEX FDS,2763,0,602.16K,0,NO CHANGE,0.43%
464287655,IWM,ISHARES TR,1900,0,570.86K,0,NO CHANGE,0.41%
464287499,IWR,ISHARES TR,4331,0,477.8K,0,NO CHANGE,0.34%
464287226,AGG,ISHARES TR,4150,0,410.77K,0,NO CHANGE,0.3%
922908553,VNQ,VANGUARD INDEX FDS,4145,0,399.7K,0,NO CHANGE,0.29%
81369Y704,XLI,SELECT SECTOR SPDR TR,2038,0,377.5K,0,NO CHANGE,0.27%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,6315,0,356.67K,0,NO CHANGE,0.26%
14020W106,CGDV,CAPITAL GROUP DIVIDEND VALUE,7036,0,346.73K,0,NO CHANGE,0.25%
37950E291,DIV,GLOBAL X FDS,17163,0,326.95K,0,NO CHANGE,0.24%
464288877,EFV,ISHARES TR,4169,0,319.14K,0,NO CHANGE,0.23%
464288885,EFG,ISHARES TR,2473,0,307.69K,0,NO CHANGE,0.22%
808524847,SCHH,SCHWAB STRATEGIC TR,12179,0,288.4K,0,NO CHANGE,0.21%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,378,0,281.97K,0,NO CHANGE,0.2%
464287804,IJR,ISHARES TR,1749,0,259.46K,0,NO CHANGE,0.19%
808524409,SCHV,SCHWAB STRATEGIC TR,7398,0,257.52K,0,NO CHANGE,0.19%
464287473,IWS,ISHARES TR,1455,0,239.49K,0,NO CHANGE,0.17%
14021L109,CGDG,CAPITAL GROUP DIVIDEND GROWE,5885,0,220.75K,0,NO CHANGE,0.16%
254687106,DIS,DISNEY WALT CO,9758,-2,939.22K,-192.5,-0%,0.68%
52567D107,LMND,LEMONADE INC,9717,-11,632.09K,-715.55,-0.1%,0.45%
93148P102,WD,WALKER & DUNLOP INC,7476,-18,408.93K,-984.58,-0.2%,0.29%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,31735,-35,1.08M,-1.19K,-0.1%,0.78%
65339F101,NEE,NEXTERA ENERGY INC,5101,-24,447.71K,-2.11K,-0.5%,0.32%
18915M107,NET,CLOUDFLARE INC,3102,-9,760.86K,-2.21K,-0.3%,0.55%
92826C839,V,VISA INC,904,-13,310.31K,-4.46K,-1.4%,0.22%
808524797,SCHD,SCHWAB STRATEGIC TR,7433,-171,235.7K,-5.42K,-2.2%,0.17%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,1457,-11,729.07K,-5.5K,-0.7%,0.52%
650111107,NYT,NEW YORK TIMES CO MTN BE,2880,-103,201.54K,-7.21K,-3.5%,0.15%
91688F104,UPWK,UPWORK INC,28831,-973,241.03K,-8.13K,-3.3%,0.17%
94106L109,WM,WASTE MGMT INC DEL,1779,-38,396.54K,-8.47K,-2.1%,0.29%
808524300,SCHG,SCHWAB STRATEGIC TR,20432,-252,691.42K,-8.53K,-1.2%,0.5%
855244109,SBUX,STARBUCKS CORP,7546,-90,771.08K,-9.2K,-1.2%,0.55%
922908363,VOO,VANGUARD INDEX FDS,7280,-16,5M,-10.99K,-0.2%,3.6%
